"年度[西暦]","違反建築物数[件]","違反項目 建築確認を受けない[件]","違反項目 建築確認と異なる[件]","違反項目 防火関係[件]","違反項目 建ぺい率[件]","違反項目 その他[件]","違反項目 合計[件]"
"2014","0","0","0","0","0","0","0"
"2015","0","0","0","0","0","0","0"
"2016","0","0","0","0","0","0","0"
"2017","1","1","0","1","0","1","3"
"2018","2","2","0","2","0","2","6"

"令和元年度港区行政資料集　違反建築物取扱数","Ver201903",,,,,,
