出火階,火災・計,火災・地上階層・4階建,火災・地上階層・5階建,火災・地上階層・6階建,火災・地上階層・7階建,火災・地上階層・8階建,火災・地上階層・9階建,火災・地上階層・10階建,火災・地上階層・11階建,火災・地上階層・12階建,火災・地上階層・13階建,火災・地上階層・14階建,火災・地上階層・15階建,火災・地上階層・16階建,火災・地上階層・17以階上,火災・地下階数・地階なし,火災・地下階数・地下1階,"件数・地下階数・地下2階","件数・地下階数・地下3階","件数・地下階数・地下4階",件数・地下階数・地下5階,件数・地下階数・地下6階以上,件数・焼損程度・全焼,件数・焼損程度・半焼,件数・焼損程度・部分焼,件数・焼損程度・ぼや,焼損棟数,り災世帯数,り災人員,焼損床面積（㎡）,損害額（円）,死者,負傷者
平成28年,1365,208,242,101,106,116,94,82,66,45,32,72,19,8,174,654,426,129,61,66,24,5,0,1,187,1177,1368,776,1396,3272,"1,617,261,600",15,349
平成29年,1395,205,236,108,106,106,88,62,57,58,34,89,27,5,214,703,389,144,69,61,19,10,1,1,189,1204,1413,948,1855,2641,1281977647,17,320
平成30年,1317,196,186,107,105,105,90,78,78,39,34,75,19,5,200,661,359,131,57,65,34,10,0,3,176,1138,1329,833,1522,2293,"853,072,478",22,265
令和元年,1442,184,204,124,123,121,92,90,62,43,32,78,23,13,253,658,393,180,86,72,37,14,-,2,177,1263,1450,804,1387,2979,"3,177,946,947",28,253
令和2年,1361,188,208,132,106,93,94,83,49,46,33,96,35,7,191,675,393,124,79,57,28,5,0,0,166,1195,1370,865,1538,4537,"3,165,750,124",15,268
46階,2,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,1,1,-,-,-,-,-,-,2,2,1,1,-,118530,-,-
45階,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,1,1,-,-,-,500,-,-
43階,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,1,1,1,4,-,467500,-,-
41階,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,1,1,-,-,-,100,-,-
38階,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,1,1,-,-,-,100,-,-
36階,2,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,2,-,-,-,-,-,-,-,2,2,-,-,-,20700,-,-
33階,2,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,1,1,-,-,-,-,2,2,-,-,-,2200,-,-
31階,4,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,2,1,1,-,-,-,-,-,4,4,2,6,-,72600,-,-
30階,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,1,1,-,-,-,2000,-,-
29階,3,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,3,-,-,-,-,-,-,-,3,3,4,9,-,36310,-,1
28階,2,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,1,-,-,-,-,-,2,2,-,-,-,33650,-,-
27階,2,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,-,1,-,-,-,-,2,2,1,2,-,138600,-,1
26階,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,1,1,-,-,-,900,-,-
25階,5,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,3,2,-,-,-,-,-,5,5,-,-,-,2600,-,-
23階,5,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,1,1,-,-,2,1,-,-,-,5,5,2,6,-,36800,-,-
22階,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,1,1,-,-,-,400,-,-
21階,3,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,1,2,-,-,-,-,-,3,3,-,-,-,15100,-,-
20階,5,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,1,1,2,1,-,-,-,-,-,5,5,2,4,-,17650,-,-
19階,3,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1,-,1,-,1,-,-,-,-,-,3,3,2,4,-,4619620,-,-
18階,2,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,1,1,-,-,-,-,-,2,2,-,-,-,24500,-,-
