高速道路,出場件数・計,出場件数・搬送,出場件数・不搬送・小計,出場件数・不搬送・現場処置,出場件数・不搬送・不救護,救護人員・計,救護人員・搬送,救護人員・現場処置,程度別人員・死亡,程度別人員・重篤,程度別人員・重症,程度別人員・中等症,程度別人員・軽症
平成28年,"1,554","1,345",209,1,208,"1,752","1,751",1,7,19,34,292,"1,399"
平成29年,"1,445","1,239",206,1,205,"1,564","1,563",1,5,19,52,285,"1,202"
平成30年,"1,418","1,230",188,3,185,"1,527","1,523",4,5,25,73,316,"1,104"
令和元年,"1,312","1,117",195,3,192,"1,399","1,396",3,2,13,66,282,"1,033"
令和2年,"1,076",894,182,2,180,"1,066","1,065",1,2,18,54,227,764
東名高速道路,25,19,6,-,6,25,25,-,-,-,1,3,21
中央自動車道,122,103,19,-,19,125,125,-,-,1,7,30,87
関越自動車道,11,10,1,-,1,10,10,-,-,-,-,2,8
東京外環自動車道,7,7,-,-,-,7,7,-,-,-,-,2,5
首都圏中央連絡自動車道路,40,34,6,1,5,37,37,-,-,2,5,8,22
第三京浜道路,3,2,1,-,1,2,2,-,-,-,-,1,1
京葉道路,2,2,-,-,-,2,2,-,-,-,-,-,2
国道１６号線八王子バイパス,20,16,4,-,4,18,18,-,-,-,1,5,12
首都高速湾岸線,90,80,10,1,9,107,106,1,-,1,2,19,84
首都高速都心環状線,139,111,28,-,28,124,124,-,-,2,6,37,79
首都高速１号線,48,39,9,-,9,46,46,-,-,2,2,8,34
首都高速２号線,17,13,4,-,4,14,14,-,-,1,2,3,8
首都高速３号線,38,34,4,-,4,38,38,-,-,-,-,5,33
首都高速４号線,92,73,19,-,19,87,87,-,-,2,8,15,62
首都高速５号線,122,101,21,-,21,114,114,-,1,3,5,33,72
首都高速６号線,75,63,12,-,12,69,69,-,-,-,3,9,57
首都高速７号線,28,23,5,-,5,27,27,-,-,1,4,3,19
首都高速９号線,10,9,1,-,1,10,10,-,-,-,-,5,5
首都高速中央環状線,140,111,29,-,29,145,145,-,-,2,5,28,110
首都高速川口線,25,24,1,-,1,37,37,-,1,-,2,4,30
首都高速１１号台場線,12,12,-,-,-,13,13,-,-,1,1,5,6
首都高速１０号晴海線,2,1,1,-,1,1,1,-,-,-,-,-,1
首都高速八重洲線,1,1,-,-,-,1,1,-,-,-,-,1,-
東京高速道路,2,2,-,-,-,3,3,-,-,-,-,-,3
その他高速道路,5,4,1,-,1,4,4,-,-,-,-,1,3
