消防署,"合計・実施回数","合計・延べ台数",合計・延べ人員・計,合計・延べ人員・当番,合計・延べ人員・非番,合計・延べ人員・日勤,合計・延べ人員・毎日,"合計・警戒時間",祭礼・催物・実施回数,祭礼・催物・延べ台数,祭礼・催物・延べ人員・計,祭礼・催物・延べ人員・当番,祭礼・催物・延べ人員・非番,祭礼・催物・延べ人員・日勤,祭礼・催物・延べ人員・毎日,祭礼・催物・警戒時間,集団行動・実施回数,集団行動・延べ台数,集団行動・延べ人員・計,集団行動・延べ人員・当番,集団行動・延べ人員・非番,集団行動・延べ人員・日勤,集団行動・延べ人員・毎日,集団行動・警戒時間,"その他・実施回数","その他・延べ台数",その他・延べ人員・計,その他・延べ人員・当番,その他・延べ人員・非番,その他・延べ人員・日勤,その他・延べ人員・毎日,"その他・警戒時間"
５本部,5,74,299,170,-,5,124,832,3,6,14,14,-,-,-,14,-,-,-,-,-,-,-,-,2,68,285,156,-,5,124,816
小石川,106,640,"1,736","1,736",-,-,-,973,104,232,444,444,-,-,-,155,-,-,-,-,-,-,-,-,2,408,"1,292","1,292",-,-,-,816
本郷,5,393,"1,996","1,383",-,-,613,834,3,33,34,29,-,-,5,16,-,-,-,-,-,-,-,-,2,360,"1,962","1,354",-,-,608,816
豊島,5,346,"1,566","1,560",-,-,6,836,3,6,36,30,-,-,6,18,-,-,-,-,-,-,-,-,2,340,"1,530","1,530",-,-,-,816
池袋,4,344,2420,1550,-,2,868,823,2,4,86,86,-,-,-,5,-,-,-,-,-,-,-,-,2,340,2334,1464,-,2,868,816
王子,6,399,"2,301","1,500",-,5,796,837,3,41,210,164,-,2,44,19,1,12,49,44,-,3,2,8,2,346,"2,042","1,292",-,-,750,816
赤羽,5,490,"2,105","2,095",-,8,2,835,3,14,31,21,-,8,2,17,-,-,-,-,-,-,-,-,2,476,"2,074","2,074",-,-,-,816
滝野川,2,374,"1,580","1,580",-,-,-,818,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,374,"1,580","1,580",-,-,-,816
10本部,3,68,317,175,-,2,140,824,1,-,7,5,-,2,-,6,-,-,-,-,-,-,-,-,2,68,310,170,-,-,140,816
板橋,2,442,"1,734","1,734",-,-,-,818,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,442,"1,734","1,734",-,-,-,816
志村,9,1402,"2,409","2,355",-,36,18,866,7,42,131,77,-,36,18,48,-,-,-,-,-,-,-,-,2,1360,"2,278","2,278",-,-,-,816
練馬,4,854,"1,923","1,919",-,-,4,851,2,38,83,83,-,-,-,33,-,-,-,-,-,-,-,-,2,816,"1,840","1,836",-,-,4,816
光が丘,2,306,"1,778","1,181",-,41,556,818,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,306,"1,778","1,181",-,41,556,816
石神井,2,544,"2,278","2,278",-,-,-,818,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,544,"2,278","2,278",-,-,-,816
６本部,2,40,184,184,-,-,-,820,1,6,14,14,-,-,-,3,-,-,-,-,-,-,-,-,1,34,170,170,-,-,-,816
上野,9,344,"1,632","1,608",4,-,20,891,3,2,24,6,4,-,14,55,-,-,-,-,-,-,-,-,6,342,"1,608","1,602",-,-,6,830
浅草,6,273,"1,286","1,236",12,19,19,830,4,35,172,122,12,19,19,12,-,-,-,-,-,-,-,-,2,238,"1,114","1,114",-,-,-,816
日本堤,7,401,"1,813","1,704",2,45,62,920,5,129,585,476,2,45,62,102,-,-,-,-,-,-,-,-,2,272,"1,228","1,228",-,-,-,816
荒川,3,525,"2,996","2,312",-,-,684,821,1,15,104,58,-,-,46,3,-,-,-,-,-,-,-,-,2,510,"2,892","2,254",-,-,638,816
尾久,3,377,"1,504","1,504",-,-,-,820,1,3,8,8,-,-,-,2,-,-,-,-,-,-,-,-,2,374,"1,496","1,496",-,-,-,816
千住,10,54,107,107,-,-,-,44,3,16,30,30,-,-,-,8,-,-,-,-,-,-,-,-,7,38,77,77,-,-,-,29
足立,4,680,"4,629","2,775",-,-,1854,839,2,28,73,55,-,-,18,21,-,-,-,-,-,-,-,-,2,652,"4,556","2,720",-,-,1836,816
西新井,5,749,"3,015","3,010",-,3,2,882,3,171,635,630,-,3,2,64,-,-,-,-,-,-,-,-,2,578,"2,380","2,380",-,-,-,816
７本部,3,104,424,244,-,-,180,823,2,5,12,12,-,-,-,6,-,-,-,-,-,-,-,-,1,99,412,232,-,-,180,816
本所,19,"1,442","6,053","6,018",30,-,5,"1,003",13,941,"3,985","3,972",11,-,2,169,-,-,-,-,-,-,-,-,6,501,"2,068","2,046",19,-,3,828
向島,2,908,"1,720","1,679",-,-,41,822,1,24,88,47,-,-,41,5,-,-,-,-,-,-,-,-,1,884,"1,632","1,632",-,-,-,816
深川,13,860,4241,4047,11,49,134,879,10,212,1123,933,11,47,132,44,-,-,-,-,-,-,-,-,3,648,3118,3114,-,2,2,832
城東,4,722,"3,345","2,511",-,-,834,830,2,42,167,131,-,-,36,12,-,-,-,-,-,-,-,-,2,680,"3,178","2,380",-,-,798,816
本田,3,634,"2,555","2,555",-,-,-,824,1,19,73,73,-,-,-,6,-,-,-,-,-,-,-,-,2,615,"2,482","2,482",-,-,-,816
金町,3,498,"2,782","2,027",-,-,755,841,1,22,44,44,-,-,-,23,-,-,-,-,-,-,-,-,2,476,"2,738","1,983",-,-,755,816
江戸川,5,629,"2,660","2,079",-,7,574,832,3,85,354,305,-,-,49,14,-,-,-,-,-,-,-,-,2,544,"2,306","1,774",-,7,525,816
葛西,3,48,96,96,-,-,-,21,1,8,16,16,-,-,-,6,-,-,-,-,-,-,-,-,2,40,80,80,-,-,-,13
小岩,2,544,"1,972","1,972",-,-,-,818,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,544,"1,972","1,972",-,-,-,816
８本部,2,1428,748,748,-,-,-,818,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1428,748,748,-,-,-,816
立川,5,"2,274","14,178","8,898",-,-,"5,280","1,688",2,1746,"10,916","6,756",-,-,"4,160",866,-,-,-,-,-,-,-,-,3,528,"3,262","2,142",-,-,1120,819
武蔵野,3,376,"1,644","1,642",-,-,2,819,1,2,12,10,-,-,2,1,-,-,-,-,-,-,-,-,2,374,"1,632","1,632",-,-,-,816
三鷹,3,688,936,660,-,-,276,2,1,144,771,495,-,-,276,-,-,-,-,-,-,-,-,-,2,544,165,165,-,-,-,-
府中,6,636,"2,633","2,629",-,-,4,836,3,10,35,33,-,-,2,12,-,-,-,-,-,-,-,-,3,626,"2,598","2,596",-,-,2,821
昭島,6,410,"1,694","1,688",6,-,-,876,4,70,224,218,6,-,-,58,-,-,-,-,-,-,-,-,2,340,"1,470","1,470",-,-,-,816
調布,41,543,"2,253","2,160",-,-,93,963,39,67,349,256,-,-,93,145,-,-,-,-,-,-,-,-,2,476,"1,904","1,904",-,-,-,816
小金井,2,272,"1,199","1,199",-,-,-,818,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,272,"1,199","1,199",-,-,-,816
小平,3,422,"1,693","1,678",-,15,-,821,1,14,61,46,-,15,-,3,-,-,-,-,-,-,-,-,2,408,"1,632","1,632",-,-,-,816
東村山,6,354,1509,1508,-,-,1,837,4,14,22,21,-,-,1,19,-,-,-,-,-,-,-,-,2,340,1487,1487,-,-,-,816
国分寺,1,340,"1,997","1,467",-,-,530,817,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,340,"1,997","1,467",-,-,530,816
狛江,2,612,"1,709","1,185",-,94,430,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,612,"1,709","1,185",-,94,430,-
北多摩西部,2,60,255,255,-,-,-,62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,60,255,255,-,-,-,60
清瀬,3,309,1085,1077,-,-,8,819,1,3,12,10,-,-,2,1,-,-,-,-,-,-,-,-,2,306,1073,1067,-,-,6,816
東久留米,3,616,"1,729","1,213",-,2,514,823,1,18,38,36,-,2,-,5,-,-,-,-,-,-,-,-,2,598,"1,691","1,177",-,-,514,816
西東京,4,432,"1,894","1,894",-,-,-,834,2,24,106,106,-,-,-,16,-,-,-,-,-,-,-,-,2,408,"1,788","1,788",-,-,-,816
９本部,4,-,244,244,-,-,-,818,-,-,-,-,-,-,-,-,2,-,12,12,-,-,-,10,2,-,232,232,-,-,-,816
八王子,11,1461,"6,941","5,273",11,16,1641,886,6,203,1185,959,11,2,213,58,-,-,-,-,-,-,-,-,5,1258,"5,756","4,314",-,14,1428,823
青梅,5,402,"1,822","1,776",-,42,4,842,3,28,188,144,-,42,2,24,-,-,-,-,-,-,-,-,2,374,"1,634","1,632",-,-,2,816
町田,141,753,3154,3137,13,-,4,1062,105,35,128,111,13,-,4,210,-,-,-,-,-,-,-,-,36,718,3026,3026,-,-,-,816
日野,5,467,"1,717","1,712",-,-,5,869,3,93,289,284,-,-,5,51,-,-,-,-,-,-,-,-,2,374,"1,428","1,428",-,-,-,816
福生,3,446,"2,716","1,724",21,-,971,827,1,14,78,52,21,-,5,9,-,-,-,-,-,-,-,-,2,432,"2,638","1,672",-,-,966,816
多摩,3,429,"2,017","1,526",-,-,491,938,1,55,226,190,-,-,36,120,-,-,-,-,-,-,-,-,2,374,"1,791","1,336",-,-,455,816
秋川,8,459,"2,076","2,076",-,-,-,866,5,29,184,184,-,-,-,11,-,-,-,-,-,-,-,-,3,430,"1,892","1,892",-,-,-,852
奥多摩,6,382,617,456,-,9,152,842,4,40,57,48,-,9,-,24,-,-,-,-,-,-,-,-,2,342,560,408,-,-,152,816
