消防署,計,工事種別処理件数・新築,工事種別処理件数・増築,工事種別処理件数・改築,工事種別処理件数・移転,工事種別処理件数・修繕,工事種別処理件数・模様替,工事種別処理件数・用途変更,工事種別処理件数・その他,"同意・不同意別処理件数・同意",同意・不同意別処理件数・不同意
平成28年,"51,864","48,982","2,035",40,40,4,17,622,124,"51,864",‐
平成29年,"50,858","48,179","1,892",9,14,8,7,632,117,"50,858",‐
平成30年,"49,480","46,693","1,966",8,10,10,7,683,103,"49,480",‐
令和元年,"50,068","47,269","2,185",11,6,7,27,459,104,"50,068",‐
令和2年,"44,704","42,797","1,522",12,5,14,13,252,89,"44,704",
特別区,35163,33806,1042,6,3,14,12,203,77,35163,
丸の内,114,97,13,-,-,-,-,4,-,114,
麹町,169,144,23,-,-,-,-,1,1,169,
神田,119,110,2,-,-,-,-,7,-,119,
京橋,123,109,7,-,-,-,-,7,-,123,
日本橋,132,119,9,-,-,-,-,4,-,132,
臨港,135,129,-,-,-,-,-,2,4,135,
芝,227,183,37,1,1,-,-,5,-,227,
麻布,151,126,18,-,-,-,-,4,3,151,
赤坂,139,118,17,-,-,-,-,4,-,139,
高輪,158,142,16,-,-,-,-,-,-,158,
品川,372,351,13,-,-,1,1,6,-,372,
大井,413,369,42,-,-,-,1,1,-,413,
荏原,630,625,1,-,1,-,-,2,1,630,
大森,807,769,29,-,-,-,-,8,1,807,
田園調布,893,870,22,-,-,-,-,1,-,893,
蒲田,551,538,10,1,-,-,-,2,-,551,
矢口,467,451,11,-,-,-,-,4,1,467,
目黒,"1,078","1,021",54,-,-,-,-,3,-,"1,078",
世田谷,"1,683","1,645",36,-,-,-,-,1,1,"1,683",
玉川,"1,245","1,206",30,1,-,-,1,6,1,"1,245",
成城,860,841,18,-,-,-,-,1,-,860,
渋谷,807,734,55,-,-,1,3,14,-,807,
四谷,176,157,15,-,-,-,-,3,1,176,
牛込,288,272,8,-,-,-,-,8,-,288,
新宿,614,567,35,-,-,-,-,9,3,614,
中野,534,522,10,-,-,-,-,2,-,534,
野方,767,753,13,-,-,1,-,-,-,767,
杉並,"1,623","1,570",48,-,-,-,-,3,2,"1,623",
荻窪,1130,1115,14,1,-,-,-,-,-,1130,
小石川,457,413,44,-,-,-,-,-,-,457,
本郷,337,306,16,-,-,-,-,3,12,337,
豊島,502,487,8,-,-,-,-,6,1,502,
池袋,581,571,6,-,-,-,-,3,1,581,
王子,413,395,18,-,-,-,-,-,-,413,
赤羽,427,410,15,-,-,-,-,2,-,427,
滝野川,390,380,10,-,-,-,-,-,-,390,
板橋,729,717,9,-,-,-,-,3,-,729,
志村,"1,003",966,26,-,-,10,-,1,-,"1,003",
練馬,1044,1021,16,-,-,-,-,7,-,1044,
光が丘,676,663,6,-,-,-,-,7,-,676,
石神井,1350,1321,27,2,-,-,-,-,-,1350,
上野,281,264,9,-,-,1,-,7,-,281,
浅草,165,161,2,-,-,-,-,2,-,165,
日本堤,190,183,1,-,-,-,-,5,1,190,
荒川,435,415,13,-,-,-,2,5,-,435,
尾久,406,389,14,-,-,-,1,1,1,406,
千住,406,383,15,-,-,-,-,1,7,406,
足立,"1,310","1,263",25,-,-,-,1,1,20,"1,310",
西新井,1062,1056,4,-,1,-,1,-,-,1062,
本所,425,394,23,-,-,-,-,6,2,425,
向島,556,533,17,-,-,-,-,6,-,556,
深川,764,723,26,-,-,-,-,9,6,764,
城東,536,509,24,-,-,-,-,2,1,536,
本田,1128,1109,17,-,-,-,-,2,-,1128,
金町,763,750,7,-,-,-,-,2,4,763,
江戸川,938,912,17,-,-,-,1,8,-,938,
葛西,719,702,15,-,-,-,-,1,1,719,
小岩,765,757,6,-,-,-,-,1,1,765,
受託地区,9541,8991,480,6,2,-,1,49,12,9541,
立川,850,814,33,-,-,-,1,2,-,850,
武蔵野,351,311,34,-,1,-,-,3,2,351,
三鷹,594,574,16,-,-,-,-,1,3,594,
府中,700,623,73,2,-,-,-,2,-,700,
昭島,242,237,5,-,-,-,-,-,-,242,
調布,513,479,33,1,-,-,-,-,-,513,
小金井,239,233,2,-,-,-,-,4,-,239,
小平,408,380,27,-,-,-,-,1,-,408,
東村山,179,165,14,-,-,-,-,-,-,179,
国分寺,182,168,10,-,-,-,-,4,-,182,
狛江,136,129,6,-,-,-,-,-,1,136,
北多摩西部,279,270,7,-,-,-,-,2,-,279,
清瀬,443,434,9,-,-,-,-,-,-,443,
東久留米,236,225,7,-,-,-,-,4,-,236,
西東京,492,475,16,-,-,-,-,1,-,492,
八王子,1243,1186,43,-,1,-,-,8,5,1243,
青梅,429,420,8,-,-,-,-,1,-,429,
町田,583,548,26,-,-,-,-,9,-,583,
日野,349,305,43,-,-,-,-,1,-,349,
福生,609,567,41,-,-,-,-,1,-,609,
多摩,247,225,19,-,-,-,-,3,-,247,
秋川,237,223,8,3,-,-,-,2,1,237,
奥多摩,-,-,-,-,-,-,-,-,-,-,
