年別,住宅火災_計（件）,住宅火災_住宅（件）,住宅火災_共同住宅等（件）,飲食店（件）,事務所等（件）,物品販売店舗等（件）,工場・作業場（件）,病院（件）,駅舎等（件）,学校（件）,ホテル・旅館等（件）,建物から出火した火災(合計)（件）
23,1864,721,1143,288,129,104,107,25,25,35,16,3098
24,1916,724,1192,295,144,116,101,19,32,37,17,3206
25,1777,680,1097,311,130,130,113,19,32,38,25,3127
26,1694,634,1060,296,123,113,84,13,22,27,33,2878
27,1675,615,1060,339,121,87,95,20,18,29,26,2827
28,1497,539,958,345,126,103,89,17,21,33,37,2681
29,1597,579,1018,318,151,110,84,24,14,31,36,2730
30,1484,539,945,330,142,94,90,21,16,40,19,2609
元,1543,583,960,368,175,112,85,20,20,51,30,2811
2,1553,564,989,244,160,116,64,27,27,25,21,2598
前年比,10,-19,29,-124,-15,4,-21,7,7,-26,-9,-213
