区分,計,身体防護,出火防止,初期消火,通報連絡,避難,救出・救助,応急救護,その他の訓練等
訓練件数,"6,058",229,54,"1,448",443,723,56,"1,060","2,045"
参加人員,"411,490","27,306","7,648","79,240","17,325","97,962","5,173","45,117","131,719"
