用途,建物数,割合（％）
共同住宅等,"175,487",40.8
非特定用途複合,"75,042",17.4
特定用途複合,"63,806",14.8
事務所等,"43,610",10.1
その他（工場や学校など単独の用途）,"72,116",16.8
合計,"430,061",
