主な出火原因,件数,割合
合計,3693,-
放火（疑いを含む）,641,17.4
たばこ,508,13.8
ガステーブル等,399,10.8
大型ガスこんろ,72,1.9
電気ストーブ,69,1.9
その他,2004,54.3
