消防署,クラブ数,クラブ員数,指導者数,計,消防少年団員数・学年別・小学生・小計,消防少年団員数・学年別・小学生・1年,消防少年団員数・学年別・小学生・2年,消防少年団員数・学年別・小学生・3年,消防少年団員数・学年別・小学生・4年,消防少年団員数・学年別・小学生・5年,消防少年団員数・学年別・小学生・6年,消防少年団員数・学年別・中学生・小計,消防少年団員数・学年別・中学生・1年,消防少年団員数・学年別・中学生・2年,消防少年団員数・学年別・中学生・3年,消防少年団員数・学年別・高校生・小計,消防少年団員数・学年別・高校生・1年,消防少年団員数・学年別・高校生・2年,消防少年団員数・学年別・高校生・3年,消防少年団員数・性別・男・小計,消防少年団員数・性別・男・小学生,消防少年団員数・性別・男・中学生,消防少年団員数・性別・男・高校生,消防少年団員数・性別・女・小計,消防少年団員数・性別・女・小学生,消防少年団員数・性別・女・中学生,消防少年団員数・性別・女・高校生,指導者数・指導者,指導者数・準指導者・一般,指導者数・準指導者・高校生,組織数,人員
平成28年,"1,571","194,454",-,"4,541","3,146",247,383,664,692,659,501,928,383,271,274,467,197,169,101,"2,373","1,671",459,243,"2,168","1,475",469,224,971,998,-,81,"16,845"
平成29年,"1,564","193,880",-,"4,640","3,177",243,415,626,728,617,548,970,398,335,237,493,197,161,135,"2,397","1,642",502,253,"2,243","1,535",468,240,1000,971,-,81,"16,476"
平成30年,"1,754","197,073",-,"4,494","3,038",204,373,669,646,643,503,987,387,325,275,469,158,164,147,"2,294","1,531",531,232,"2,200","1,507",456,237,1012,840,-,81,"16,157"
令和元年,"1,554","193,082",-,"4,369","2,899",173,299,631,678,555,563,990,368,344,278,480,188,145,147,"2,235","1,483",511,241,"2,134","1,416",479,239,1028,947,-,81,"15,927"
令和2年,"1,572","194,007",-,"3,986","2,533",79,243,494,652,590,475,1063,419,329,315,390,203,181,130,"2,091","1,277",546,268,"2,019","1,256",517,246,"1,012",973,-,81,"15,742"
令和3年,1577,"190,893",-,"4,163","2,595",200,231,552,553,565,494,1003,328,379,296,565,224,181,160,"2,065","1,256",503,306,"2,098","1,339",500,259,1033,833,-,81,"14,893"
特別区,1091,124764,-,3145,2028,189,198,404,424,450,363,708,215,283,210,409,169,135,105,1548,963,359,226,1597,1065,349,183,700,706,-,57,11938
丸の内,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
麹町,15,1128,-,65,51,10,2,12,6,9,12,11,6,5,-,3,-,2,1,29,22,5,2,36,29,6,1,10,13,-,1,160
神田,13,868,-,21,15,2,1,4,2,3,3,5,2,2,1,1,-,-,1,12,8,4,-,9,7,1,1,7,3,-,1,259
京橋,9,688,-,91,62,18,5,11,9,11,8,24,5,3,16,5,2,3,-,41,30,10,1,50,32,14,4,14,13,-,1,45
日本橋,3,496,-,152,127,38,25,20,17,11,16,11,1,7,3,14,3,7,4,75,60,6,9,77,67,5,5,14,184,-,1,150
臨港,37,3445,-,81,49,7,3,8,10,14,7,21,8,7,6,11,4,5,2,37,26,8,3,44,23,13,8,22,53,-,1,154
芝,1,310,-,93,77,33,14,11,7,8,4,9,4,5,-,7,4,1,2,35,26,4,5,58,51,5,2,10,6,-,1,54
麻布,4,545,-,48,36,6,7,6,6,5,6,6,3,2,1,6,3,2,1,26,20,4,2,22,16,2,4,3,9,-,1,90
赤坂,3,142,-,30,24,-,5,5,8,1,5,5,2,2,1,1,-,1,-,13,11,1,1,17,13,4,-,14,-,-,1,152
高輪,3,284,-,85,59,24,1,8,8,10,8,14,-,10,4,12,5,4,3,43,32,7,4,42,27,7,8,11,2,-,1,64
品川,51,"4,045",-,34,26,3,3,2,2,14,2,5,1,3,1,3,-,1,2,21,17,4,-,13,9,1,3,4,2,-,1,470
大井,54,"4,494",-,41,16,-,-,4,1,9,2,18,2,14,2,7,5,2,-,25,8,12,5,16,8,6,2,10,1,-,1,69
荏原,9,"1,066",-,68,55,-,13,15,10,11,6,8,5,1,2,5,5,-,-,38,32,4,2,30,23,4,3,12,2,-,1,120
大森,57,"5,649",-,71,52,-,21,3,12,11,5,13,3,3,7,6,3,2,1,36,24,7,5,35,28,6,1,11,12,-,1,326
