,件数（件）,割合（%）
こんろ,412,26.5
たばこ,202,13
放火,144,9.3
ストーブ,81,5.2
コード,33,2.1
ろうそく,29,1.9
火遊び,10,0.6
その他,474,30.5
不明,168,10.8
