消防署,4階以上の建築物数・計,"4階以上の建築物数・4階建",4階以上の建築物数・5階建,4階以上の建築物数・6階建,4階以上の建築物数・7階建,4階以上の建築物数・8階建,4階以上の建築物数・9階建,"4階以上の建築物数・10階建",4階以上の建築物数・11階建,4階以上の建築物数・12階建,4階以上の建築物数・13階建,4階以上の建築物数・14階建,4階以上の建築物数・15階建,4階以上の建築物数・16階建,4階以上の建築物数・17階建,4階以上の建築物数・18階建,4階以上の建築物数・19階建,4階以上の建築物数・20階建,4階以上の建築物数・21階建,4階以上の建築物数・22階建,4階以上の建築物数・23階建,4階以上の建築物数・24階建,4階以上の建築物数・25階建,4階以上の建築物数・26階建,4階以上の建築物数・27階建,4階以上の建築物数・28階建,4階以上の建築物数・29階建,4階以上の建築物数・30階建,4階以上の建築物数・31階建,4階以上の建築物数・32階建,4階以上の建築物数・33階建,4階以上の建築物数・34階建,4階以上の建築物数・35階建,4階以上の建築物数・36階建,4階以上の建築物数・37階建,4階以上の建築物数・38階建,4階以上の建築物数・39階建,4階以上の建築物数・40階建,4階以上の建築物数・41階建,4階以上の建築物数・42階建,"4階以上の建築物数・43
階建",4階以上の建築物数・44階建,4階以上の建築物数・45階建,4階以上の建築物数・46階建,4階以上の建築物数・47階建,4階以上の建築物数・48階建,4階以上の建築物数・49階建,4階以上の建築物数・50階建,4階以上の建築物数・51階建,4階以上の建築物数・52階建,4階以上の建築物数・53階建,4階以上の建築物数・54階建,4階以上の建築物数・55階建,4階以上の建築物数・56階建,4階以上の建築物数・57階建,4階以上の建築物数・58階建,4階以上の建築物数・59階建,4階以上の建築物数・60階建,地階を有する建築物数・計,地階を有する建築物数・地下１階,地階を有する建築物数・地下２階,地階を有する建築物数・地下３階,地階を有する建築物数・地下４階,地階を有する建築物数・地下５階,地階を有する建築物数・地下６階,地階を有する建築物数・地下７階,地階を有する建築物数・地下８階
平成28年,"167,360","50,138","40,680","19,236","14,877","12,184","9,247","7,429","4,098","2,808","1,855","2,693",837,106,91,103,83,120,69,64,58,46,70,28,37,32,42,47,26,34,26,13,15,14,14,18,12,17,11,7,17,7,7,1,5,7,5,2,1,6,3,7,3,1,-,2,-,1,"70,371","62,328","6,445","1,084",364,104,34,7,5
平成29年,"169,229","50,818","41,018","19,349","14,961","12,282","9,338","7,527","4,173","2,884","1,925","2,772",876,109,94,107,87,123,71,64,60,47,70,28,38,31,42,48,26,34,25,13,17,16,14,19,12,18,10,8,16,7,7,1,5,7,5,2,1,6,3,7,3,1,-,2,-,2,"70,548","62,506","6,433","1,090",368,103,35,8,5
平成30年,"171,042","51,462","41,382","19,419","15,018","12,336","9,443","7,647","4,255","2,973","2,000","2,854",910,114,96,110,93,123,71,65,61,50,70,34,39,31,44,48,28,36,25,13,18,18,14,19,12,17,10,8,16,8,7,1,5,7,5,2,1,6,3,7,3,1,-,2,-,2,"70,693","62,658","6,425","1,088",374,102,35,7,4
令和元年,"173,582","52,373","41,978","19,547","15,123","12,441","9,519","7,810","4,329","3,075","2,093","2,943",958,116,100,115,97,127,78,66,67,51,71,35,41,31,46,48,30,36,26,13,18,20,15,19,13,17,11,8,16,8,7,1,6,8,5,2,1,6,3,7,3,1,-,2,-,2,"71,108","63,031","6,464","1,093",372,102,34,8,4
令和2年,"175,926","53,249","42,484","19,660","15,227","12,515","9,592","7,975","4,411","3,185","2,142","3,032",1005,123,105,126,97,130,80,70,70,53,71,36,43,31,47,49,30,38,29,13,18,23,17,19,14,19,11,8,16,8,8,1,6,8,5,2,1,6,3,7,3,1,-,2,-,2,"71,410","63,340","6,469","1,082",371,101,35,9,3
特別区,149904,43921,33958,17187,13567,11236,8890,7284,3909,2949,1992,2728,908,115,92,119,89,122,74,68,70,51,69,33,41,29,46,46,29,37,28,12,17,22,17,19,14,19,10,8,16,8,8,1,6,8,5,2,1,6,3,7,3,1,-,2,-,2,61055,53700,5842,1014,356,96,35,9,3
丸の内,189,13,13,5,4,10,18,12,12,4,4,5,6,2,4,3,4,6,5,3,5,4,4,3,3,1,9,3,4,2,2,1,5,-,2,5,-,1,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,238,65,52,37,61,19,4,-,-
麹町,"2,002",203,306,299,247,253,257,175,54,48,31,53,18,6,11,3,6,2,5,2,4,1,3,1,1,1,1,2,-,-,1,-,1,-,1,3,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"1,276",924,264,54,22,7,4,-,1
神田,"4,861",517,890,731,621,664,615,370,104,135,91,60,18,5,6,3,7,2,3,3,6,-,4,-,-,-,1,-,2,1,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"2,318","1,969",297,42,6,3,1,-,-
京橋,"3,576",268,470,410,432,506,529,410,150,171,96,72,19,10,4,2,1,3,3,6,3,2,2,-,1,-,1,1,-,1,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,"2,139","1,616",416,68,27,9,3,-,-
