区分,計・件数,計・時間,ちどり・件数,ちどり・時間,ひばり・件数,ひばり・時間,かもめ・件数,かもめ・時間,ゆりかもめ・件数,ゆりかもめ・時間,つばめ・件数,つばめ・時間,はくちょう・件数,はくちょう・時間,旧はくちょう・件数,旧はくちょう・時間,こうのとり・件数,こうのとり・時間,おおたか・件数,おおたか・時間
平成28年,"1,515",83.02777778,219,11.74652778,194,12.52152778,-,-,236,11.25625,103,6.259027778,253,12.10277778,143,8.632638889,105,6.874305556,262,13.63472222
平成29年,"1,767",90.43541667,218,10.85,147,8.197222222,-,-,273,12.58611111,190,10.99791667,278,12.04583333,240,13.48541667,185,10.72708333,236,11.54583333
平成30年,"1,755",90.14305556,131,7.001388889,130,7.327083333,-,-,225,11.08541667,205,10.70763889,307,12.75833333,241,14.70347222,231,13:21,285,13.00347222
令和元年,"1,607",84.32152778,256,12.26180556,213,12.75625,-,-,257,12.04861111,180,10.58055556,92,3.561805556,136,8.153472222,225,12.58472222,248,12.37430556
令和2年,1764,89.04513889,168,4:16,164,8.304861111,118,10:39,175,8.161805556,209,3:03,242,11.31597222,208,11.33819444,194,10.23541667,286,22:34
火災,32,1.281944444,7,0.265972222,1,0.034027778,-,-,8,0.297222222,-,-,11,0.418055556,-,-,-,-,5,6:24
救急,367,7:49,17,10:21,38,13:52,11,15:41,26,6:39,50,11:07,35,13:15,80,4.199305556,69,12:38,41,15:29
救難,37,1.243055556,3,3:32,2,1:48,1,0.005555556,4,3:30,4,5:17,10,0.240277778,6,0.300694444,2,0.047222222,5,1:28
非常時災害,2,1:40,-,0:00,-,0:00,-,0:00,-,-,-,0:00,1,0:50,-,-,-,-,1,0:50
演習,9,8:35,1,0:40,-,0:00,-,0:00,-,0:00,-,0:00,1,1:00,-,-,1,0:30,6,6:25
調査,6,6:15,-,0:00,2,0.09375,1,0:40,-,-,-,0:00,1,0.045138889,1,0.041666667,1,0.052083333,-,-
警戒,1,0.079861111,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0.079861111
広報,-,0:00,-,0:00,-,-,-,0:00,-,-,-,0:00,-,-,-,-,-,-,-,0:00
航空写真,13,0.627777778,2,2:00,-,0:00,1,1:00,2,2:45,-,0:00,3,3:09,-,-,-,0:00,5,6:10
輸送,179,4.094444444,18,10:55,17,9:50,13,8:30,15,9:45,22,11:17,23,12:32,18,0.355555556,25,13:15,28,13:40
検査,20,1.232638889,3,3:25,-,0:00,5,6:10,4,6:00,2,3:15,1,1:05,2,0.142361111,1,1:40,2,4:35
試験,75,16:40,12,9:00,10,0.204861111,-,-,11,0.576388889,7,0.427083333,10,0.388888889,10,0.333333333,4,0.048611111,11,0.340277778
実験,3,0.152777778,2,0.09375,-,0:00,-,0:00,-,0:00,-,0:00,-,0:00,-,-,-,-,1,1:25
特救隊訓練,13,0.769444444,-,-,-,-,-,-,-,-,-,-,8,0.474305556,4,0.239583333,-,-,1,0.055555556
自隊訓練,780,47.65277778,82,22:10,88,12:40,31,2.159722222,68,3.927777778,102,5.977083333,104,6:23,67,4.084027778,72,15:02,166,10.16041667
養成訓練,206,12.22222222,20,3:50,4,0.246527778,55,2.944444444,32,22:10,18,2:15,34,3:15,16,1.15625,16,1:25,11,12:05
行事教養,11,5:29,-,-,1,0.072916667,-,-,5,5:50,1,0.055555556,-,0.020833333,1,0.289583333,1,0.097222222,2,0.449305556
行政,10,0.752083333,1,0.072916667,1,0.0625,-,-,-,-,3,0.284722222,-,-,3,0.195833333,2,0.136111111,-,-
