年,その他の火災件数（件）,放火（疑いを含む）の火災件数（件）,放火（疑いを含む）火災の占める割合（％）,たばこの火災件数（件）,たばこ火災の占める割合（％）
23,1681,947,56.3,319,19
24,1437,837,58.3,232,16.1
25,1615,932,57.7,294,18.2
26,1463,808,55.2,275,18.8
27,1204,590,49,279,23.2
28,934,456,48.8,215,23
29,1148,511,44.5,311,27.1
30,1046,412,39.4,272,26
元,969,373,38.5,295,30.4
2,809,350,43.3,207,25.6
増減,-160,-23,4.8,-88,-4.8
