区分,ポンプ車,化学車,特殊災害対策車,はしご車,空中作業車,屈折放水塔車,救急車,救助車,ホース延長車,送水車,10t水槽車,救援車,指揮統制車,救出救助車,水難救助車,山岳救助車,照明電源車,指揮隊車,補給車,資材搬送車,工作車,方面警防車,査察広報車,貨物車,人員輸送車,司令車,指揮車,消防艇,消防活動二輪車,その他車両
火災以外の出場回数,146978,14176,478,156,18,1,719777,8682,-,-,1,-,16,33,184,244,100,21992,13,6,5,4,1656,5,137,4,-,0:00,378,605
火災以外の出場回数_附属装置の使用_出場回数,0:00,89,12,42,5,1,53,67,-,-,-,-,1,1,-,3,0:00,466,2,-,3,2,44,-,6,2,-,39,3,-
火災以外の出場回数_附属装置の使用_走行距離(km),3441.4,349.7,166,284,13,-,458,671.8,-,-,-,-,48,7,-,62,312,2488.1,26,-,118,50,611.9,-,43,38,-,503,35.2,-
火災以外の出場回数_附属装置の使用_附属装置運用時間_ポンプ運用(時間：分）,6.86875,1.188194444,-,-,-,-,-,0:00,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.681944444,-,-
火災以外の出場回数_附属装置の使用_附属装置運用時間_はしご架梯(時間：分）,-,0:00,0:00,0.798611111,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0:00,-,-,-,-,-,-,-,-,-
火災以外の出場回数_附属装置の使用_附属装置運用時間_塔体運用(時間：分）,-,-,-,-,0.006944444,-,-,-,-,-,-,-,-,-,-,-,0.96875,-,-,-,-,-,-,-,-,-,-,-,-,-
火災以外の出場回数_附属装置の使用_附属装置運用時間_照明作業(時間：分）,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,0.920138889,-,-,-,-,-,-,-,-,-,-,-,-,-
火災以外の出場回数_附属装置の使用_附属装置運用時間_無線開局(時間：分）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
火災以外の出場回数_附属装置の使用_附属装置運用時間_救援作業(時間：分）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
火災以外の出場回数_附属装置の使用_附属装置運用時間_その他(時間：分）,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.104166667,-,-,-,-,-,-,-,-,-
火災以外の出場回数_附属装置の未使用_出場回数,"146,092","14,087",466,114,13,-,"719,724","8,615",-,-,1,-,15,32,184,241,77,"21,526",11,6,2,2,"1,612",5,131,2,-,327,375,605
火災以外の出場回数_附属装置の未使用_走行距離(km),479068.1,51337.1,6885.5,758.5,44,-,6899890.2,69955.6,-,0:00,2,-,657,514,3879,5516,1079,114616.7,154,166,55,26,14912,185.4,2677.8,68,-,4416.2,5817.9,1520.9
その他の回数,184973,0:00,0:00,33483,1166,167,71124,0:00,12:00,12:00,118,140,235,253,348,83,245,16820,68,0:00,236,613,31722,480,3016,469,563,843,2337,0:00
その他の回数_非火災_出場回数,24142,1809,9,3351,82,1,83,2056,-,-,2,-,-,-,-,-,1,3347,-,2,-,6,208,-,6,98,-,67,23,22
その他の回数_非火災_走行距離(km),139473.7,10849.9,139,21157.6,348,7,533.7,17100.9,-,-,19,-,-,-,-,-,9.5,18501.2,-,-,-,57.9,2088,-,113,1194.1,-,468.1,183.6,46
その他の回数_演習その他_出場回数,160831,9790,515,30132,1084,166,71041,3978,70.5,70.5,116,140,235,253,348,83,244,13473,68,263,236,607,31514,480,3010,371,563,776,2314,1104
その他の回数_演習その他_走行距離(km),1227121.4,83805.3,15633,101006.5,4896,3129,438757.6,45659.9,1854,1863,3254,3945,9688.9,8050,13783.4,2551,2308,118405.5,1113.5,7758,4701.7,15118,723355.5,15134.1,85297,16202.5,10665,10515.9,25182,45008.7
その他の回数_演習その他_附属装置運用時間_ポンプ運用(時間：分）,590.4111111,52.94097222,-,-,-,0.611111111,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0.819444444,-,0.020833333
その他の回数_演習その他_附属装置運用時間_その他(時間：分）,1.680555556,0.013888889,0.069444444,807.2583333,27.12847222,2.628472222,-,1.020833333,0.298611111,0.3125,-,-,-,-,0.166666667,-,6.961111111,-,-,1.027777778,5.125,-,-,-,-,-,-,-,-,0.625
その他の回数_演習その他_点検走行距離(km),6312,662,135,456.2,28,-,4305.4,575.3,48,50,15,-,85,20,130,250,6,1333.3,50,85,226,107,12642.8,283,1225.5,275,57,251,459.8,40
