時間帯(時台),出場件数,構成比
0,21790,3
1,18646,2.6
2,16330,2.3
3,14788,2.1
4,14299,2
5,16331,2.3
6,19864,2.8
7,25237,3.5
8,32357,4.5
9,40411,5.6
10,42392,5.9
11,40792,5.7
12,39676,5.5
13,38842,5.4
14,37773,5.2
15,36664,5.1
16,36961,5.1
17,37470,5.2
18,36942,5.1
19,35054,4.9
20,33347,4.6
21,31076,4.3
22,28447,3.9
23,25476,3.5
合計,720965,100
