消防署,計,（一）・イ,（一）・ロ,（二）・イ,（二）・ロ,（二）・ハ,（二）・ニ,（三）・イ,（三）・ロ,（四）,（五）・イ,（五）・ロ,（六）イ（１）,（六）イ（２）,（六）イ（３）,（六）イ（４）,（六）・ロ・（１）,（六）・ロ・（２）,（六）・ロ・（３）,（六）・ロ・（４）,（六）・ロ・（５）,（六）・ハ・（１）,（六）・ハ・（２）,（六）・ハ・（３）,（六）・ハ・（４）,（六）・ハ・（５）,（六）ニ,（七）,（八）,（九）・イ,（九）・ロ,（十）,十一,十二・イ,十二・ロ,十三・イ,十三・ロ,十四,十五・①,十五・②,十五・③,十六・イ,十六・ロ,十六の二,十六の三,十七
平成28年度,402867,145,60,56,579,12,204,104,7127,7630,2033,161149,393,842,616,939,2019,13,5,33,277,747,33,2407,120,1229,1364,9043,403,162,442,609,4322,11193,64,2939,23,8369,2861,22719,16362,60265,72518,10,2,425
平成29年度,409038,147,61,54,552,12,201,106,7296,7765,2272,164512,346,562,675,1233,2061,13,4,32,310,764,33,2656,125,1325,1371,9010,411,160,406,606,4415,11040,65,2931,22,8614,2862,22706,16735,61069,73051,10,2,435
平成30年度,417109,148,56,56,524,14,197,102,7474,7828,2927,169204,301,498,697,1324,2097,12,4,32,343,800,33,2886,141,1430,1358,9037,437,159,384,615,4535,10940,66,2929,22,8637,2907,22693,17088,62115,73565,10,2,482
令和元年度,425621,161,60,56,499,14,189,104,7634,7853,3750,173031,293,425,703,1440,2168,12,4,34,368,787,30,3115,143,1553,1339,9100,450,157,363,627,4632,10941,67,2964,22,8942,2937,22829,17488,63351,74438,10,2,536
令和2年度,432909,165,56,56,466,14,184,99,7778,7912,4030,176949,298,390,704,1534,2243,12,4,34,398,780,31,3246,150,1679,1331,9092,451,158,336,626,4689,10955,67,2962,22,9145,2909,22983,17972,64090,75326,10,2,571
特別区,321614,107,30,42,340,10,150,72,5582,4676,3307,136450,189,253,412,916,1392,3,2,5,105,384,25,1956,63,844,778,5500,273,156,273,500,3445,6744,49,2147,12,5758,1840,19597,10503,52654,53717,10,2,341
丸の内,436,-,2,1,2,-,1,-,118,8,1,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,20,-,-,-,7,-,3,30,44,30,151,5,-,-,10
麹町,2221,2,-,-,-,-,-,5,33,6,14,332,-,1,4,7,4,-,-,-,-,-,-,6,-,-,2,97,9,-,-,13,28,2,1,20,-,18,58,681,47,533,290,-,-,8
神田,5436,-,-,-,14,-,10,-,259,147,77,444,9,-,1,-,2,-,-,-,-,1,-,5,-,-,1,108,2,1,-,16,10,19,-,42,-,34,13,1763,89,1717,648,-,-,4
京橋,3887,-,-,1,2,-,3,6,158,94,77,482,1,5,1,4,2,-,-,-,-,-,-,3,-,-,1,8,2,-,1,11,13,16,-,39,-,25,17,905,69,1598,339,-,2,2
日本橋,4105,-,-,-,1,-,5,3,181,82,79,696,-,-,-,10,1,-,-,-,-,-,-,7,-,1,1,10,1,-,2,15,13,11,-,38,-,30,14,1381,89,1020,404,1,-,9
臨港,1039,1,-,-,1,-,-,-,51,12,4,344,-,-,1,6,-,-,-,-,-,-,-,10,-,-,-,3,3,-,-,2,4,22,-,13,-,56,13,58,106,179,149,-,-,1
