消防署,消火設備・屋内消火栓設備・対象物数,消火設備・屋内消火栓設備・設備数,消火設備・スプリンクラー設備・対象物数,消火設備・スプリンクラー設備・設備数,消火設備・水噴霧消火設備・対象物数,消火設備・水噴霧消火設備・設備数,消火設備・泡消火設備・対象物数,消火設備・泡消火設備・設備数,消火設備・二酸化炭素消火設備・対象物数,消火設備・二酸化炭素消火設備・設備数,消火設備・ハロゲン化物消火設備・対象物数,消火設備・ハロゲン化物消火設備・設備数,消火設備・粉末消火設備・対象物数,消火設備・粉末消火設備・設備数,消火設備・屋外消火栓設備・対象物数,消火設備・屋外消火栓設備・設備数,消火設備・動力消防ポンプ設備・対象物数,消火設備・動力消防ポンプ設備・設備数
平成28年度,"47,688","44,974","16,213","20,119",170,320,"4,360","6,139","4,145","5,951","7,162","11,344","14,606","33,407","1,382","1,232","1,113",603
平成29年度,"47,728","45,093","16,950","20,823",173,324,"4,394","6,168","4,109","5,909","7,147","11,282","14,944","33,599","1,363","1,222","1,102",592
平成30年度,"47,786","43,751","17,689","18,095",178,326,"4,414","4,932","4,073","5,789","7,136","11,012","15,372","31,533","1,362","1,219","1,081",580
令和元年度,"47,797","38,969","18,322","15,875",176,138,"4,447","4,375","4,016","4,632","7,151","9,259","15,739","21,715","1,381","1,200","1,013",591
令和2年度,"47,892","38,964","18,841","16,425",179,142,"4,457","4,386","3,985","4,526","7,110","8,974","15,996","21,587",1386,1221,1034,605
特別区,36784,31252,15410,13463,145,97,3800,3758,3541,4029,6172,7790,11749,16134,838,763,390,278
丸の内,188,207,165,204,15,13,84,84,46,92,92,240,44,62,1,-,-,-
麹町,744,682,379,411,3,1,165,161,120,163,285,370,174,171,10,9,2,-
神田,941,904,537,508,2,2,86,81,210,207,278,294,207,205,-,-,-,-
京橋,938,847,726,651,2,2,123,128,193,215,278,351,260,282,5,5,-,-
日本橋,982,974,568,540,4,3,111,109,192,229,280,333,206,217,2,2,-,-
臨港,269,355,169,144,2,2,62,61,49,64,28,32,96,151,6,9,10,8
芝,1089,1107,663,663,6,5,219,219,233,266,385,466,358,510,8,8,14,6
麻布,625,542,342,298,8,6,128,111,80,76,158,180,135,140,6,6,-,-
