時間帯,救急出場件数・計,救急出場件数・交通事故,救急出場件数・火災,救急出場件数・運動競技,救急出場件数・自然災害,救急出場件数・水難事故,救急出場件数・労働災害,救急出場件数・一般負傷,救急出場件数・自損行為,救急出場件数・加害事故,救急出場件数・急病,救急出場件数・転院搬送,救急出場件数・資器材輸送,救急出場件数・医師搬送,救急出場件数・その他,救護人員・計,救護人員・交通事故,救護人員・火災,救護人員・運動競技,救護人員・自然災害,救護人員・水難事故,救護人員・労働災害,救護人員・一般負傷,救護人員・自損行為,救護人員・加害事故,救護人員・急病,救護人員・転院搬送
平成28年,"777,382","51,019","3,425","5,423",17,950,"4,789","134,257","5,091","7,136","511,673","43,692",504,229,"9,177","692,368","48,565",792,"5,394",10,525,"4,731","121,504","3,732","5,711","458,150","43,254"
平成29年,"785,184","50,604","3,274","5,330",18,876,"4,965","138,645","5,023","6,924","515,466","44,647",542,190,"8,680","699,878","48,196",680,"5,323",12,494,"4,908","125,729","3,632","5,488","461,179","44,237"
平成30年,"818,062","47,957","3,240","5,429",22,901,"5,328","146,765","5,049","6,594","543,660","43,314",546,210,"9,047","727,401","45,492",687,"5,412",20,489,"5,256","133,619","3,634","5,287","484,629","42,876"
令和元年,"825,929","45,696","3,539","5,281",21,880,"5,404","147,601","5,317","6,112","550,306","45,179",556,211,"9,826","732,842","42,978",611,"5,260",14,458,"5,349","133,954","3,858","4,826","490,825","44,709"
令和2年,"720,965","38,829","3,209","2,933",7,730,"4,535","133,902","5,700","5,223","476,455","38,980",503,160,"9,799","626,536","35,769",619,"2,917",7,365,"4,478","119,814","4,000","3,930","416,078","38,559"
0時,"21,790",642,116,6,-,25,50,"3,608",260,371,"15,787",542,5,3,375,"17,745",536,21,6,-,18,49,"2,958",202,283,"13,147",525
1時,"18,646",494,94,5,-,16,37,"2,764",222,361,"13,924",427,2,1,299,"15,111",442,12,5,-,7,36,"2,254",174,262,"11,501",418
2時,"16,330",439,100,7,-,16,51,"2,208",202,274,"12,448",317,2,1,265,"13,195",362,25,7,-,8,52,"1,771",150,205,"10,306",309
3時,"14,788",306,88,3,-,5,42,"1,958",177,293,"11,371",288,2,-,255,"12,172",266,14,3,-,4,41,"1,648",138,216,"9,560",282
4時,"14,299",319,85,1,-,13,31,"1,893",155,233,"11,070",272,1,1,225,"11,893",282,24,1,-,7,31,"1,566",123,157,"9,436",266
5時,"16,331",550,95,3,-,11,36,"2,343",172,178,"12,468",237,-,4,234,"13,739",483,25,3,-,5,35,"1,995",125,123,"10,716",229
6時,"19,864",978,88,9,-,18,68,"2,927",193,160,"14,850",246,6,4,317,"17,030",899,22,8,-,6,67,"2,600",126,122,"12,937",243
7時,"25,237","1,536",96,19,-,32,97,"4,010",207,142,"18,507",260,5,1,325,"22,059","1,413",29,18,-,10,96,"3,642",137,106,"16,351",257
8時,"32,357","2,362",150,55,-,28,236,"5,664",205,137,"22,587",580,11,5,337,"29,311","2,240",41,53,-,7,233,"5,292",149,107,"20,616",573
9時,"40,411","2,251",147,122,1,33,423,"7,343",168,116,"26,885","2,390",57,14,461,"36,844","2,129",27,121,1,8,412,"6,932",113,94,"24,635","2,372"
10時,"42,392","2,267",136,248,1,33,423,"8,063",246,121,"26,748","3,536",71,18,481,"38,135","2,125",23,251,1,14,420,"7,477",158,101,"24,058","3,507"
11時,"40,792","2,441",167,285,-,37,467,"8,064",260,128,"24,546","3,828",47,16,506,"36,380","2,279",34,283,-,11,458,"7,437",160,98,"21,824","3,796"
12時,"39,676","2,331",156,253,-,33,282,"7,761",252,148,"23,689","4,224",55,5,487,"35,369","2,152",22,252,-,7,280,"7,106",164,117,"21,072","4,197"
13時,"38,842","2,279",146,229,-,25,386,"7,769",245,136,"23,707","3,438",45,17,420,"34,482","2,130",18,228,-,8,383,"7,117",156,106,"20,940","3,396"
14時,"37,773","2,353",158,281,1,39,410,"7,888",252,142,"22,880","2,851",49,11,458,"33,311","2,168",25,281,1,12,407,"7,170",157,110,"20,148","2,832"
15時,"36,664","2,409",169,246,1,31,311,"7,656",259,141,"21,946","2,939",28,8,520,"32,233","2,299",30,247,1,14,309,"6,953",170,107,"19,192","2,911"
16時,"36,961","2,623",158,229,1,48,300,"7,519",253,173,"21,945","3,179",30,9,494,"32,396","2,406",29,226,1,18,297,"6,790",165,134,"19,176","3,154"
17時,"37,470","2,959",131,188,2,47,237,"7,643",258,167,"22,429","2,863",24,10,512,"32,743","2,725",25,186,2,33,232,"6,879",191,117,"19,516","2,837"
18時,"36,942","2,618",164,172,-,46,154,"7,425",301,208,"23,361","1,957",20,11,505,"32,043","2,406",23,171,-,31,151,"6,574",220,167,"20,369","1,931"
19時,"35,054","2,063",175,155,-,36,135,"6,975",287,251,"23,093","1,329",11,6,538,"30,310","1,906",34,153,-,23,135,"6,218",201,192,"20,135","1,313"
20時,"33,347","1,534",173,206,-,39,122,"6,562",298,315,"22,616","1,002",10,3,467,"28,575","1,398",30,205,-,28,119,"5,771",206,252,"19,581",985
21時,"31,076","1,249",140,122,-,45,101,"5,951",289,300,"21,566",842,7,3,461,"26,399","1,134",29,121,-,29,101,"5,190",210,235,"18,528",822
22時,"28,447","1,036",139,64,-,39,61,"5,358",287,347,"19,891",761,7,5,452,"23,921",913,22,63,-,29,59,"4,616",215,247,"17,010",747
23時,"25,476",790,138,25,-,35,75,"4,550",252,381,"18,141",672,8,4,405,"21,140",676,35,25,-,28,75,"3,858",190,272,"15,324",657
