消防署,火災件数・計,火災件数・建物・小計,火災件数・建物・全焼,火災件数・建物・半焼,火災件数・建物・部分焼,火災件数・建物・ぼや,火災件数・林野,火災件数・車両,火災件数・船舶,火災件数・航空機,火災件数・その他,"焼損床面積（㎡）",損害額（円）,死者,負傷者
平成28年,881,384,14,14,47,309,-,39,2,-,456,"3,501","328,667,947",24,73
平成29年,896,351,7,7,49,288,3,31,-,-,511,"1,608","275,259,075",14,57
平成30年,705,276,7,3,46,220,-,17,-,-,412,"1,178","171,864,302",14,60
令和元年,641,255,14,6,39,196,1,12,0,0,373,"1,937","525,966,877",26,67
令和2年,641,270,6,8,38,218,-,21,-,-,350,995,"380,515,829",19,58
特別区,425,203,2,8,25,168,-,9,-,-,213,647,"146,049,418",13,45
丸の内,3,1,-,-,-,1,-,-,-,-,2,-,"2,000",-,-
麹町,2,-,-,-,-,-,-,-,-,-,2,-,"80,000",-,-
神田,2,1,-,-,-,1,-,-,-,-,1,-,300,-,-
京橋,5,4,-,-,-,4,-,-,-,-,1,-,"3,003,930",-,-
日本橋,1,1,-,-,-,1,-,-,-,-,-,-,300,-,-
臨港,3,3,-,-,-,3,-,-,-,-,-,-,"79,010",-,2
芝,9,9,-,-,-,9,-,-,-,-,-,-,"17,400",-,1
麻布,4,1,-,-,1,-,-,-,-,-,3,5,"1,915,100",1,-
赤坂,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
高輪,7,2,-,-,-,2,-,-,-,-,5,-,132,-,-
品川,1,1,-,-,-,1,-,-,-,-,-,-,500,-,-
大井,3,2,-,-,-,2,-,-,-,-,1,-,500,-,-
荏原,4,1,-,-,-,1,-,-,-,-,3,-,"202,560",-,-
大森,7,6,-,-,1,5,-,-,-,-,1,-,"65,560",-,2
田園調布,6,3,-,1,-,2,-,-,-,-,3,20,"6,150,180",-,1
蒲田,5,1,-,1,-,-,-,1,-,-,3,45,"3,708,773",1,1
矢口,11,1,-,-,-,1,-,1,-,-,9,-,"3,400",-,-
目黒,1,1,-,-,-,1,-,-,-,-,-,-,"2,300",-,-
世田谷,5,3,-,-,-,3,-,-,-,-,2,-,"1,930",-,1
玉川,9,5,-,-,-,5,-,-,-,-,4,-,135540,-,-
成城,9,5,-,-,1,4,-,-,-,-,4,-,"665,600",-,1
渋谷,9,6,-,-,-,6,-,-,-,-,3,-,"18,305,563",-,1
四谷,2,2,-,-,-,2,-,-,-,-,-,-,"1,200",-,1
牛込,3,1,-,-,-,1,-,-,-,-,2,-,"237,370",-,-
新宿,12,8,-,-,1,7,-,-,-,-,4,-,"235,800",1,2
中野,3,-,-,-,-,-,-,-,-,-,3,-,"9,300",-,-
野方,5,-,-,-,-,-,-,-,-,-,5,-,"111,100",-,-
杉並,11,7,-,-,2,5,-,-,-,-,4,10,"1,323,370",-,2
荻窪,5,3,-,-,1,2,-,-,-,-,2,33,"2,820,200",1,-
小石川,7,5,-,-,-,5,-,-,-,-,2,-,"254,410",-,1
本郷,3,1,-,-,-,1,-,-,-,-,2,-,"249,340",-,-
豊島,11,7,-,-,-,7,-,-,-,-,4,-,"62,800",-,1
池袋,13,5,-,1,1,3,-,1,-,-,7,30,"2,401,944",1,-
王子,11,5,1,-,2,2,-,-,-,-,6,200,"31,268,800",1,3
赤羽,9,5,-,-,-,5,-,-,-,-,4,-,"2,070",-,-
滝野川,10,3,-,-,-,3,-,1,-,-,6,-,407400,-,-
板橋,5,4,1,-,2,1,-,-,-,-,1,22,"15,661,600",-,4
志村,20,8,-,-,1,7,-,-,-,-,12,-,"118,710",2,-
練馬,4,2,-,-,1,1,-,-,-,-,2,5,"150,000",-,1
光が丘,4,3,-,-,1,2,-,-,-,-,1,-,"514,040",1,-
石神井,9,1,-,-,1,-,-,-,-,-,8,25,"4,550,500",-,2
上野,4,1,-,-,-,1,-,-,-,-,3,-,"3,970",-,-
浅草,1,1,-,-,-,1,-,-,-,-,-,-,"2,060",-,-
日本堤,1,1,-,-,-,1,-,-,-,-,-,-,800,-,-
荒川,2,1,-,-,-,1,-,-,-,-,1,-,"1,000",-,-
尾久,5,2,-,-,-,2,-,-,-,-,3,-,"5,050",-,-
千住,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-
足立,27,14,-,-,1,13,-,-,-,-,13,-,"332,700",-,1
西新井,19,6,-,-,-,6,-,1,-,-,12,-,"26,050",1,1
本所,2,1,-,-,-,1,-,-,-,-,1,-,"1,040",-,-
向島,11,1,-,-,-,1,-,1,-,-,9,-,"7,400",-,-
深川,7,3,-,-,2,1,-,1,-,-,3,66,"9,867,607",-,5
城東,9,4,-,-,1,3,-,-,-,-,5,-,"174,250",-,1
本田,26,11,-,1,3,7,-,-,-,-,15,52,"11,949,149",1,-
金町,17,12,-,2,-,10,-,-,-,-,5,32,"2,608,838",-,2
江戸川,9,3,-,-,-,3,-,-,-,-,6,-,"26,600",1,-
葛西,16,7,-,-,2,5,-,2,-,-,7,41,"15,839,732",-,4
小岩,15,8,-,2,-,6,-,-,-,-,7,61,"10,482,640",1,4
受託地区,216,67,4,-,13,50,-,12,-,-,137,348,"234,466,411",6,13
立川,17,5,-,-,1,4,-,-,-,-,12,42,"21,908,300",-,-
武蔵野,1,1,-,-,-,1,-,-,-,-,-,-,"5,200",-,-
三鷹,2,1,-,-,-,1,-,1,-,-,-,-,"468,692",-,-
府中,8,3,-,-,1,2,-,-,-,-,5,-,"8,700",-,-
昭島,1,1,1,-,-,-,-,-,-,-,-,85,"1,101,600",2,-
調布,8,6,-,-,3,3,-,-,-,-,2,15,"3,357,992",1,1
小金井,7,6,-,-,-,6,-,-,-,-,1,-,"6,400",-,1
小平,9,3,-,-,-,3,-,-,-,-,6,-,"18,800",-,-
東村山,3,-,-,-,-,-,-,-,-,-,3,-,"2,780",-,-
国分寺,6,5,-,-,1,4,-,-,-,-,1,23,"6,185,600",-,2
狛江,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-
北多摩西部,8,2,-,-,1,1,-,-,-,-,6,15,"2,402,300",2,2
清瀬,6,3,-,-,-,3,-,-,-,-,3,-,"4,500",-,-
東久留米,8,-,-,-,-,-,-,1,-,-,7,-,862500,-,-
西東京,11,3,-,-,1,2,-,-,-,-,8,-,"860,710",-,-
八王子,42,12,1,-,2,9,-,7,-,-,23,10,"172,034,405",-,2
青梅,8,1,-,-,-,1,-,-,-,-,7,-,"162,600",-,-
町田,28,5,1,-,1,3,-,1,-,-,22,114,"14,911,600",-,3
日野,7,2,-,-,1,1,-,1,-,-,4,22,"6,938,312",-,1
福生,6,1,-,-,-,1,-,-,-,-,5,-,120,-,1
多摩,10,3,-,-,-,3,-,-,-,-,7,-,"65,000",-,-
秋川,18,4,1,-,1,2,-,-,-,-,14,22,"2,560,300",-,-
奥多摩,1,-,-,-,-,-,-,1,-,-,-,-,600000,1,-
