出場先区市,件数(件),出場件数（百件）
千代田区,9516,95
中央区,10896,109
港区,18141,181
新宿区,28673,287
文京区,10797,108
台東区,16021,160
墨田区,16217,162
江東区,27218,272
品川区,20173,202
目黒区,12384,124
大田区,37167,372
世田谷区,40501,405
渋谷区,16356,164
中野区,17651,177
杉並区,24705,247
豊島区,18341,183
北区,20553,206
荒川区,12472,125
板橋区,31367,314
練馬区,34035,340
足立区,41227,412
葛飾区,26280,263
江戸川区,35550,356
八王子市,27735,277
立川市,10717,107
武蔵野市,7404,74
三鷹市,8332,83
青梅市,5755,58
府中市,11451,115
昭島市,5770,58
調布市,10468,105
町田市,19763,198
小金井市,4761,48
小平市,8863,89
日野市,7904,79
東村山市,7782,78
国分寺市,4871,49
国立市,3575,36
福生市,2987,30
狛江市,3502,35
東大和市,4342,43
清瀬市,4056,41
東久留米市,5918,59
武蔵村山市,3463,35
多摩市,6837,68
羽村市,2349,23
あきる野市,3497,35
西東京市,9413,94
瑞穂町,1546,15
日の出町,781,8
檜原村,169,2
奥多摩町,485,5
