応援消防署,"応援を受けた消防本部",件数・計,件数・普通応援,件数・特別応援,出場車両・計,出場車両・ポンプ車,出場車両・救急車,出場車両・特殊車,出場車両・その他,従事・件数,従事・台数,従事・放水口数,従事・使用ホース数,従事・放水時間（分）,出場人員・計,出場人員・従事,出場人員・不従事
平成28年,合計,269,266,3,713,410,134,114,55,90,277,10,4,528,"2,907","1,084",1823
平成29年,合計,239,236,3,616,349,123,83,57,77,236,6,20,565,"2,393",932,"1,602"
平成30年,合計,247,234,12,566,345,106,71,42,74,222,7,5,623,"2,414",859,"1,555"
令和元年,合計,267,259,8,645,390,130,72,52,78,226,5,-,271,"2,563",893,"1,680"
令和2年,合計,234,231,3,514,326,96,56,36,66,178,6,-,360,"2,088",710,"1,378"
田園調布,川崎市,7,7,-,46,16,7,11,12,3,17,-,-,-,209,73,136
蒲田,川崎市,14,14,-,30,22,7,-,1,8,19,1,-,44,119,78,41
矢口,川崎市,24,23,1,47,31,3,6,7,1,5,-,-,-,214,23,191
玉川,川崎市,22,22,-,60,36,15,5,4,12,37,-,-,-,233,143,90
赤羽,川口市,3,3,-,15,5,2,7,1,2,12,-,-,-,63,53,10
赤羽,戸田市,5,5,-,14,7,7,-,-,4,10,-,-,-,49,36,13
板橋,戸田市,5,5,-,16,8,6,2,-,5,14,-,-,-,62,54,8
志村,戸田市,3,3,-,7,4,2,-,1,1,2,-,-,-,27,7,20
志村,埼玉県南西部,4,4,-,4,4,-,-,-,-,-,-,-,-,16,-,16
志村,埼玉西部,3,3,-,3,3,-,-,-,-,-,-,-,-,12,-,12
石神井,埼玉県南西部,6,6,-,13,8,5,-,-,2,5,-,-,-,47,18,29
石神井,埼玉西部,8,8,-,21,14,7,-,-,5,12,-,-,-,79,44,35
足立,草加八潮,1,1,-,1,1,-,-,-,-,-,-,-,-,4,-,4
西新井,川口市,8,8,-,20,12,7,-,1,5,8,-,-,62,77,30,47
西新井,草加八潮,1,1,-,1,1,-,-,-,-,-,-,-,-,4,-,4
城東,浦安市,1,1,-,2,1,1,-,-,1,2,-,-,-,7,7,-
金町,三郷市,1,1,-,1,1,-,-,-,-,-,-,-,-,4,-,4
金町,松戸市,14,14,-,33,20,3,8,2,-,-,-,-,-,137,-,137
江戸川,市川市,3,3,-,3,3,-,-,-,-,-,-,-,-,12,-,12
葛西,浦安市,21,20,1,33,24,3,5,1,2,5,1,-,60,133,22,111
小 岩,市川市,27,26,1,50,35,6,7,2,2,4,-,-,-,198,15,183
府中,稲城市,1,1,-,2,1,1,-,-,1,2,-,-,-,7,7,-
調布,稲城市,1,1,-,1,1,-,-,-,-,-,-,-,-,4,-,4
調布,川崎市,1,1,-,8,4,1,2,1,-,-,-,-,-,35,-,35
東村山,埼玉西部,1,1,-,1,1,-,-,-,-,-,-,-,-,5,-,5
狛江,川崎市,13,13,-,16,15,-,-,1,-,-,-,-,-,68,-,68
清瀬,埼玉西部,4,4,-,4,4,-,-,-,1,1,2,-,90,17,5,12
東久留米,埼玉西部,1,1,-,1,1,-,-,-,1,1,-,-,-,5,5,-
西東京,埼玉県南西部,2,2,-,2,2,-,-,-,-,-,-,-,104,10,-,10
西東京,埼玉西部,2,2,-,2,2,-,-,-,1,1,2,-,-,10,5,5
八王子,相模原市,8,8,-,27,16,9,2,-,7,15,-,-,-,101,60,41
青梅,埼玉西部,2,2,-,8,5,2,1,-,1,4,-,-,-,31,17,14
町田,横浜市,1,1,-,1,1,-,-,-,-,-,-,-,-,5,-,5
町田,川崎市,3,3,-,5,3,-,-,2,-,-,-,-,-,22,-,22
町田,相模原市,11,11,-,13,12,1,-,-,1,2,-,-,-,51,8,43
福生,埼玉西部,1,1,-,2,1,1,-,-,-,-,-,-,-,7,-,7
多摩,稲城市,1,1,-,1,1,-,-,-,-,-,-,-,-,4,-,4
