月,出場件数（件）,１日平均（件）
1,72384,2335
2,61975,2137
3,59320,1914
4,49363,1645
5,50659,1634
6,54783,1826
7,58961,1902
8,69817,2252
9,60124,2004
10,61112,1971
11,59198,1973
12,63269,2041
合計,720965,1970
