業態,火災件数・計,火災件数・建物・小計,火災件数・建物・全焼,火災件数・建物・半焼,火災件数・建物・部分焼,火災件数・建物・ぼや,火災件数・林野,火災件数・車両,火災件数・船舶,火災件数・航空機,火災件数・その他,"焼損床面積(㎡)",損害額（円）・建物(収容物含む),損害額（円）・建物以外,死者,負傷者
平成23年,"3,980","2,766",75,89,421,"2,181",1,275,3,1,934,"17,529","3,849,698,930","1,074,709,277",83,853
平成24年,"4,204","2,837",84,77,474,"2,202",3,216,-,-,"1,148","20,719","4,837,506,613","309,542,939",79,758
平成25年,"3,972","2,696",64,87,447,"2,098",2,225,3,-,"1,046","18,604","5,830,089,126","240,893,724",86,798
平成26年,"4,085","2,904",81,83,455,"2,285",5,206,1,-,969,"18,295","7,510,880,651","178,060,769",108,705
平成27年,"3,693","2,667",63,73,404,"2,127",1,216,-,-,809,"16,136","5,492,835,521","108,686,656",86,710
業態別計,"1,131",898,9,13,107,769,-,83,-,-,150,"5,910","3,378,071,338","46,135,965",5,132
農業,4,2,-,-,-,2,-,1,-,-,1,-,"26,000","470,992",-,1
農業_農業,4,2,-,-,-,2,-,1,-,-,1,-,"26,000","470,992",-,1
鉱業,1,1,-,-,1,-,-,-,-,-,-,-,"42,100",3280,-,1
鉱業_鉱業,1,1,-,-,1,-,-,-,-,-,-,-,"42,100",3280,-,1
建設業,70,33,2,1,12,18,-,10,-,-,27,3492,"1,904,684,751","3,746,923",-,17
建設業_総合工事業,38,19,2,-,8,9,-,7,-,-,12,3396,"1,887,584,362","1,093,123",-,12
建設業_職別工事業（設備工事業を除く）,22,7,-,-,3,4,-,2,-,-,13,53,"4,828,100","2,462,000",-,4
建設業_設備工事業,10,7,-,1,1,5,-,1,-,-,2,43,"12,272,289","191,800",-,1
製造業,64,60,2,3,5,50,-,1,-,-,3,433,"117,678,790","321,100",1,16
製造業_食料品製造業,6,6,1,-,1,4,-,-,-,-,-,156,"16,151,477","131,000",-,3
製造業・衣類・その他の繊維製品製造業,2,2,-,-,-,2,-,-,-,-,-,-,"1,300","27,000",-,-
製造業_木材・木製品製造業,4,3,-,-,-,3,-,-,-,-,1,-,"616,400",-,-,1
製造業_家具・装備品製造業,2,2,-,-,-,2,-,-,-,-,-,-,300,-,-,-
製造業_パルプ・紙・紙加工品製造業,1,1,1,-,-,-,-,-,-,-,-,102,2956000,-,1,1
製造業_印刷・同関連業,9,9,-,-,2,7,-,-,-,-,-,1,"6,435,060",-,-,2
製造業_化学工業,6,6,-,-,-,6,-,-,-,-,-,-,"362,020",-,-,-
製造業_プラスチック製品製造業（別掲を除く）,3,3,-,-,-,3,-,-,-,-,-,-,"2,723,560",-,-,2
製造業_ゴム製品製造業,2,2,-,-,-,2,-,-,-,-,-,-,"156,000",-,-,-
製造業_なめし革・同製品・毛皮製造業,1,1,-,-,-,1,-,-,-,-,-,-,800,-,-,-
製造業_窯業・土石製品製造業,1,1,-,-,-,1,-,-,-,-,-,-,800,-,-,-
製造業_鉄鋼業,3,3,-,-,-,3,-,-,-,-,-,-,4000,-,-,2
製造業_非鉄金属製造業,1,1,-,-,-,1,-,-,-,-,-,-,"114,108",-,-,-
製造業_金属製品製造業,6,6,-,2,-,4,-,-,-,-,-,132,"36,540,006",60100,-,4
製造業_一般機械器具製造業,6,4,-,-,1,3,-,-,-,-,2,2,"1,042,000",-,-,1
製造業_電気機械器具製造業,2,2,-,-,-,2,-,-,-,-,-,-,"31,120",-,-,-
製造業_情報通信機械器具製造業,1,1,-,-,-,1,-,-,-,-,-,-,"4,500",-,-,-
製造業_電子部品・デバイス製造業,1,1,-,-,-,1,-,-,-,-,-,-,442,-,-,-
製造業_輸送用機械器具製造業,1,-,-,-,-,-,-,1,-,-,-,-,-,"103,000",-,-
製造業_精密機械器具製造業,1,1,-,-,-,1,-,-,-,-,-,-,800,-,-,-
製造業_その他の製造業,5,5,-,1,1,3,-,-,-,-,-,40,"50,538,097",-,-,-
電気・ガス・熱供給・水道業,24,7,-,-,-,7,-,2,-,-,15,-,"14,400","360,030",-,1
電気・ガス・熱供給・水道業_電気業,17,4,-,-,-,4,-,-,-,-,13,-,9900,37430,-,1
電気・ガス・熱供給・水道業_ガス業,3,2,-,-,-,2,-,1,-,-,-,-,"4,500",20000,-,-
電気・ガス・熱供給・水道業_熱供給業,1,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-
電気・ガス・熱供給・水道業_水道業,3,-,-,-,-,-,-,1,-,-,2,-,-,302600,-,-
情報通信業,36,32,-,-,1,31,-,-,-,-,4,-,"5,070,210",2537160,-,3
情報通信業_通信業,8,5,-,-,-,5,-,-,-,-,3,-,"30,980",2537160,-,-
情報通信業_情報サービス業,14,14,-,-,-,14,-,-,-,-,-,-,"54,700",-,-,-
情報通信業_インターネット附随サービス業,6,6,-,-,1,5,-,-,-,-,-,-,"3,743,090",-,-,2
情報通信業_映像・音声・文字情報制作業,8,7,-,-,-,7,-,-,-,-,1,-,1241440,-,-,1
運輸業,96,47,1,-,3,43,-,26,-,-,23,123,"85,723,160","34,574,746",-,4
運輸業_鉄道業,62,35,-,-,-,35,-,6,-,-,21,-,159560,"232,246",-,3
運輸業_道路旅客運送業,4,-,-,-,-,-,-,3,-,-,1,-,-,"3,646,200",-,-
運輸業_道路貨物運送業,22,6,1,-,-,5,-,16,-,-,-,37,"11,256,500",27446300,-,1
運輸業_航空運輸業,1,1,-,-,-,1,-,-,-,-,-,-,"9,800",-,-,-
運輸業_倉庫業,4,4,-,-,2,2,-,-,-,-,-,45,"53,877,300",-,-,-
運輸業_運輸に附帯するサービス業,3,1,-,-,1,-,-,1,-,-,1,41,"20,420,000",3250000,-,-
卸売・小売業,163,146,3,1,16,126,-,4,-,-,13,604,"291,249,278",532096,3,15
卸売・小売業_各種商品卸売業,2,2,-,-,1,1,-,-,-,-,-,-,"26,100",-,-,1
卸売・小売業_繊維・衣服等卸売業,1,1,-,-,1,-,-,-,-,-,-,6,"1,021,200",-,-,-
卸売・小売業_飲食料品卸売業,6,4,-,-,-,4,-,-,-,-,2,-,"47,028","108,000",-,-
卸売・小売業_建築材料・鉱物・金属材料等卸売業,4,2,-,-,1,1,-,-,-,-,2,-,1833650,200,-,1
卸売・小売業_機械器具卸売業,2,1,-,-,1,-,-,1,-,-,-,-,"14,300",50000,-,-
卸売・小売業_各種商品小売業,50,45,-,-,-,45,-,-,-,-,5,-,"190,659,293",67700,-,2
卸売・小売業_織物・衣服・身の回り品小売業,14,14,-,-,-,14,-,-,-,-,-,-,"30,758","3,300",-,-
卸売・小売業_飲食料品小売業,46,42,2,-,6,34,-,2,-,-,2,384,"37,843,517",182220,2,10
卸売・小売業_自動車・自転車小売業,6,6,-,-,2,4,-,-,-,-,-,-,"643,710",-,-,-
卸売・小売業_家具・じゅう器・機械器具小売業,8,8,1,1,1,5,-,-,-,-,-,186,"51,157,152",-,-,1
卸売・小売業_その他の小売業,24,21,-,-,3,18,-,1,-,-,2,28,"7,972,570",120676,1,-
金融・保険業,19,18,-,-,-,18,-,-,-,-,1,-,"108,480",350,-,1
金融・保険業_銀行業,10,9,-,-,-,9,-,-,-,-,1,-,"32,720",350,-,-
金融・保険業_貸金業・投資業等非預金信用機関,3,3,-,-,-,3,-,-,-,-,-,-,"1,360",-,-,-
金融・保険業_証券業・商品先物取引業,1,1,-,-,-,1,-,-,-,-,-,-,2500,-,-,-
金融・保険業_保険業（保険媒介代理業・保険サービス業を含む）,5,5,-,-,-,5,-,-,-,-,-,-,"71,900",-,-,1
不動産業,35,24,-,-,2,22,-,-,-,-,11,-,"528,177,751","336,280",-,4
不動産業・不動産取引業,6,6,-,-,-,6,-,-,-,-,-,-,"57,500",1200,-,1
不動産業・不動産賃貸業_管理業,29,18,-,-,2,16,-,-,-,-,11,-,"528,120,251","335,080",-,3
飲食店・宿泊業,297,290,-,6,42,242,-,-,-,-,7,512,"209,729,619","710,028",1,54
飲食店・宿泊業_一般飲食店,185,179,-,2,24,153,-,-,-,-,6,235,"129,947,839","698,000",1,31
飲食店・宿泊業_遊興飲食店,86,86,-,4,16,66,-,-,-,-,-,277,"79,004,715","8,928",-,20
飲食店・宿泊業_宿泊業,26,25,-,-,2,23,-,-,-,-,1,-,"777,065","3,100",-,3
医療・福祉,51,51,-,-,3,48,-,-,-,-,-,1,"6,160,015",-,-,3
