消防署,出場件数・計,出場件数・危険排除・小計,出場件数・危険排除・電気,出場件数・危険排除・ガス,出場件数・危険排除・危険物,出場件数・危険排除・毒物劇物,出場件数・危険排除・ＲＩ,出場件数・危険排除・火気取扱,出場件数・危険排除・異臭等,出場件数・応急措置・小計,出場件数・応急措置・洗浄,出場件数・応急措置・救援,出場件数・応急措置・排水,出場件数・応急措置・照明,出場件数・応急措置・除去,出場件数・警戒,出場件数・その他・小計,出場件数・その他・哺乳類,出場件数・その他・昆虫類,出場件数・その他・その他の動物,出場件数・その他・左記以外,出場車両・計,出場車両・ポンプ車,出場車両・化学車,出場車両・救助車,出場車両・はしご車,出場車両・空中作業車,出場車両・救急車,出場車両・救援車,出場車両・照明車,出場車両・消防艇,出場車両・ヘリコプター,出場車両・指揮隊車,出場車両・査察広報車,出場車両・その他,出場人員・計,出場人員・従事・当番,出場人員・従事・非番,出場人員・不従事・当番,出場人員・不従事・非番
日本橋,27,18,3,4,9,2,-,-,-,3,-,-,-,-,3,1,5,-,-,1,4,86,41,2,2,4,-,8,-,-,-,-,26,-,3,370,244,-,124,2
臨港,25,20,-,2,18,-,-,-,-,1,-,-,-,-,1,-,4,3,-,-,1,112,20,12,2,1,-,10,-,1,32,1,29,3,1,571,501,12,58,-
芝,70,54,5,8,34,5,-,2,-,6,-,-,3,-,3,-,10,4,3,-,3,188,82,12,4,6,-,23,-,-,-,-,57,-,4,877,659,5,213,-
麻布,36,23,-,4,15,-,-,1,3,3,-,-,1,-,2,-,10,3,1,-,6,87,47,-,2,2,-,4,-,-,-,-,30,-,2,394,316,2,75,1
赤坂,40,26,1,7,15,-,-,-,3,1,-,-,-,-,1,-,13,5,2,1,5,95,49,-,1,1,-,9,-,-,-,-,31,-,4,419,321,6,91,1
高輪,27,19,-,6,12,1,-,-,-,-,-,-,-,-,-,1,7,1,4,1,1,59,22,12,-,-,-,1,-,-,-,-,21,-,3,290,218,-,72,-
品川,45,34,1,6,18,6,-,2,1,-,-,-,-,-,-,-,11,1,1,1,8,158,75,8,5,3,-,11,-,1,2,-,42,1,10,689,511,1,177,-
大井,40,25,2,5,16,2,-,-,-,2,-,-,1,-,1,-,13,8,1,-,4,97,49,4,1,3,-,6,-,-,-,-,30,-,4,451,356,5,90,-
荏原,48,27,4,8,12,1,-,1,1,1,-,-,-,-,1,-,20,9,-,-,11,109,57,-,2,-,-,7,-,-,-,-,39,1,3,507,303,5,199,-
大森,73,48,4,12,25,3,-,3,1,3,-,-,-,-,3,-,22,4,1,-,17,212,91,26,5,5,-,15,-,-,-,-,64,-,6,935,510,7,416,2
田園調布,44,30,6,7,13,3,-,-,1,-,-,-,-,-,-,-,14,6,-,-,8,134,63,8,3,1,-,7,-,1,-,-,39,1,11,572,407,7,158,-
蒲田,67,43,6,10,22,1,-,1,3,2,-,-,-,-,2,6,16,7,-,-,9,208,104,16,5,2,-,14,-,1,1,-,60,1,4,923,422,2,495,4
矢口,45,28,4,9,9,1,-,3,2,2,-,-,-,-,2,-,15,5,-,-,10,133,58,14,3,2,-,11,-,-,-,-,38,1,6,590,376,3,210,1
目黒,84,56,4,22,22,4,-,3,1,5,-,-,1,-,4,-,23,8,1,-,14,238,120,2,12,3,-,15,-,-,-,-,71,1,14,"1,059",753,4,302,-
世田谷,148,88,8,32,40,1,-,6,1,11,-,-,1,-,10,1,48,22,5,2,19,346,173,14,11,3,-,27,-,-,-,-,110,-,8,"1,501",937,7,549,8
玉川,66,46,1,9,33,2,-,1,-,2,-,-,1,-,1,1,17,9,1,-,7,172,88,1,6,-,-,20,-,-,-,-,49,2,6,726,488,7,223,8
成城,57,34,2,12,15,2,-,3,-,-,-,-,-,-,-,1,22,13,2,-,7,122,69,-,2,-,-,6,-,-,-,-,39,-,6,527,293,-,233,1
渋谷,105,67,8,11,40,1,-,3,4,2,-,-,1,-,1,-,36,6,6,-,24,292,141,-,12,5,-,30,-,-,-,-,84,1,19,"1,292",820,4,466,2
四谷,37,29,-,10,14,2,-,3,-,3,-,-,-,-,3,-,5,3,-,-,2,103,51,-,3,2,-,10,-,-,-,-,32,1,4,447,344,1,102,-
牛込,36,23,-,9,13,-,-,1,-,1,-,-,-,-,1,1,11,3,1,-,7,86,46,-,1,1,-,6,-,-,-,-,31,-,1,395,224,2,169,-
新宿,119,86,8,31,32,10,-,4,1,4,-,-,-,-,4,-,29,5,3,1,20,356,163,-,20,5,-,30,-,-,-,-,106,3,29,"1,594",980,5,608,1
中野,60,37,3,14,14,1,-,3,2,3,1,-,2,-,-,-,20,3,1,-,16,148,77,-,7,1,-,9,-,-,-,-,49,-,5,666,475,2,189,-
野方,54,35,5,17,10,1,-,-,2,2,-,-,2,-,-,-,17,9,1,1,6,139,56,12,4,-,-,14,-,-,-,-,41,1,11,582,369,6,207,-
杉並,98,69,7,27,24,8,-,2,1,4,-,-,-,1,3,3,22,7,4,2,9,273,134,2,12,5,-,21,-,-,-,-,75,-,24,"1,130",738,-,390,2
荻窪,88,72,5,19,41,3,-,4,-,1,-,-,-,-,1,-,15,11,1,-,3,265,101,33,10,16,-,24,-,-,-,-,70,-,11,1131,741,6,383,1
小石川,43,29,3,11,15,-,-,-,-,1,-,-,-,-,1,-,13,1,2,-,10,113,58,-,2,-,-,11,-,-,-,-,39,-,3,496,369,-,127,-
本郷,35,26,2,13,10,-,-,-,1,3,-,-,2,-,1,-,6,2,2,-,2,91,46,-,3,1,-,8,-,-,-,-,31,-,2,406,338,4,64,-
豊島,59,44,6,12,19,5,-,1,1,1,-,-,-,-,1,-,14,4,-,-,10,187,87,-,8,3,-,20,-,-,-,-,54,3,12,821,558,9,254,-
池袋,58,37,3,17,10,1,-,3,3,3,-,-,1,-,2,-,18,1,2,-,15,125,62,-,1,-,-,8,-,-,-,-,52,-,2,574,452,9,109,4
王子,36,17,2,5,6,-,-,1,3,1,-,-,-,-,1,-,18,6,1,-,11,73,37,3,2,-,-,5,-,-,-,-,24,-,2,318,221,-,93,4
赤羽,51,35,1,6,16,5,-,5,2,1,-,-,-,-,1,-,15,4,3,-,8,148,74,6,6,1,-,15,-,-,-,-,40,-,6,638,433,2,203,-
滝野川,34,25,5,4,10,3,-,2,1,3,-,-,-,-,3,-,6,3,-,-,3,90,43,1,3,1,-,7,-,-,-,-,30,-,5,387,232,1,154,-
板橋,71,50,7,15,22,2,-,4,-,-,-,-,-,-,-,1,20,10,2,1,7,192,97,19,3,3,-,17,-,-,-,-,50,-,3,826,481,3,341,1
志村,142,93,16,20,44,9,-,3,1,6,1,-,-,-,5,-,43,16,5,1,21,367,144,53,10,3,-,35,-,-,-,-,110,1,11,"1,595",1055,26,511,3
練馬,66,43,4,25,11,-,-,3,-,2,-,-,1,-,1,-,21,13,2,-,6,175,69,25,5,2,-,14,-,-,-,-,50,-,10,759,489,6,257,7
光が丘,37,24,1,3,18,-,-,1,1,2,-,-,1,-,1,-,11,4,-,-,7,87,46,1,2,1,-,7,-,-,-,-,30,-,-,388,194,6,182,6
石神井,81,59,3,15,34,1,-,4,2,1,-,-,-,-,1,-,21,9,2,-,10,189,99,2,4,2,-,11,-,-,-,-,63,1,7,828,678,10,139,1
上野,53,27,-,10,17,-,-,-,-,5,1,-,-,-,4,1,20,6,1,-,13,118,60,-,2,2,-,7,-,-,-,-,45,-,2,586,424,1,161,-
浅草,34,18,3,5,8,2,-,-,-,6,-,-,-,-,6,-,10,2,1,-,7,77,41,-,-,1,-,1,-,-,-,-,31,-,3,384,308,-,75,1
日本堤,31,24,2,9,10,2,-,1,-,2,-,-,1,-,1,-,5,1,-,-,4,98,54,-,3,1,-,7,-,-,-,-,29,-,4,447,268,3,175,1
荒川,40,30,4,13,6,3,-,4,-,2,-,-,1,-,1,-,8,3,-,-,5,134,71,6,3,2,-,7,-,-,-,-,39,-,6,630,375,4,251,-
尾久,28,14,2,5,2,3,-,-,2,-,-,-,-,-,-,1,13,1,1,1,10,78,28,10,-,-,-,5,1,-,-,-,23,3,8,328,295,4,29,-
千住,47,23,1,3,15,1,-,2,1,3,-,-,-,-,3,-,21,7,6,1,7,135,58,6,1,1,-,5,-,-,-,-,31,13,20,497,330,1,165,1
足立,131,96,12,16,58,6,-,3,1,6,-,-,-,-,6,-,29,19,2,-,8,339,152,33,8,5,-,36,-,-,-,-,97,-,8,"1,449",1013,7,429,-
西新井,111,45,2,3,34,2,-,3,1,5,-,-,1,-,4,29,32,10,4,-,18,268,141,4,8,2,-,16,-,-,-,-,92,-,5,"1,181",684,-,491,6
本所,47,30,1,11,14,2,-,1,1,8,-,-,-,-,8,-,9,3,-,-,6,131,68,1,4,3,2,9,-,-,-,-,42,-,2,615,425,-,189,1
向島,37,21,2,9,7,1,-,2,-,8,-,-,-,-,8,-,8,5,-,-,3,80,28,15,1,-,-,3,-,-,-,-,30,1,2,358,302,2,54,-
深川,50,31,1,6,23,-,-,-,1,3,-,-,-,-,3,-,16,5,1,-,10,130,44,15,8,2,-,21,-,-,-,-,39,-,1,572,453,1,117,1
城東,88,56,-,10,35,7,-,3,1,2,-,-,-,-,2,-,30,10,2,2,16,199,75,35,5,-,-,11,-,-,-,-,66,-,7,862,651,6,205,-
本田,102,71,10,17,36,5,-,1,2,4,-,-,-,-,4,1,26,7,3,1,15,293,133,34,5,9,-,22,-,-,-,-,79,-,11,1282,806,13,462,1
金町,67,41,-,11,22,2,-,4,2,1,-,-,-,-,1,-,25,12,2,-,11,178,58,43,5,2,-,14,-,-,-,-,46,1,9,760,536,3,221,-
江戸川,96,60,2,11,36,4,-,3,4,3,-,-,-,-,3,2,31,5,11,-,15,240,75,50,10,1,-,27,-,-,-,-,67,2,8,1044,671,7,366,-
葛西,83,44,5,8,27,-,-,2,2,7,-,-,3,-,4,-,32,8,2,-,22,229,82,25,11,3,-,24,-,1,-,-,59,7,17,941,710,18,213,-
小岩,134,38,3,7,20,4,-,2,2,1,-,-,-,-,1,73,22,9,-,1,12,289,122,26,5,1,-,15,-,-,-,-,117,-,3,"1,282",509,3,762,8
受託地区,"1,422",908,35,176,534,41,-,91,31,38,-,1,7,-,30,32,444,98,205,7,134,"3,728","1,674",262,128,22,-,429,-,-,-,-,996,30,187,"15,912","11,411",93,"4,389",19
立川,70,33,1,9,20,2,-,-,1,2,-,-,-,-,2,-,35,8,18,-,9,139,84,-,3,-,-,11,-,-,-,-,37,-,4,617,459,8,150,-
武蔵野,27,17,1,9,4,2,-,1,-,3,-,1,2,-,-,1,6,1,-,-,5,76,27,11,1,2,-,8,-,-,-,-,24,-,3,330,253,8,66,3
三鷹,49,32,4,9,14,2,-,3,-,2,-,-,-,-,2,-,15,8,3,1,3,148,82,2,4,2,-,19,-,-,-,-,33,1,5,611,395,-,215,1
府中,58,36,1,10,19,-,-,4,2,1,-,-,1,-,-,-,21,5,8,-,8,145,71,13,2,1,-,11,-,-,-,-,45,-,2,626,446,3,177,-
昭島,30,17,-,1,14,-,-,2,-,1,-,-,-,-,1,-,12,-,10,-,2,62,33,-,-,-,-,7,-,-,-,-,22,-,-,272,221,-,51,-
調布,78,52,1,19,22,4,-,6,-,5,-,-,1,-,4,-,21,11,7,-,3,210,86,28,4,-,-,25,-,-,-,-,56,-,11,908,659,6,243,-
小金井,47,21,1,5,7,5,-,3,-,3,-,-,-,-,3,-,23,2,17,1,3,145,86,1,7,2,-,11,-,-,-,-,35,-,3,632,417,-,215,-
小平,54,33,-,7,19,2,-,5,-,3,-,-,1,-,2,-,18,6,7,-,5,128,68,-,1,1,-,14,-,-,-,-,40,1,3,542,401,5,136,-
東村山,40,26,1,7,13,-,-,3,2,1,-,-,-,-,1,1,12,2,2,-,8,101,50,-,6,-,-,6,-,-,-,-,32,1,6,460,343,4,113,-
国分寺,28,21,1,2,13,1,-,2,2,-,-,-,-,-,-,1,6,1,1,-,4,90,48,-,3,1,-,11,-,-,-,-,23,1,3,379,251,-,127,1
狛江,14,7,1,4,1,-,-,-,1,2,-,-,-,-,2,-,5,2,1,-,2,28,17,-,-,-,-,1,-,-,-,-,10,-,-,131,64,-,65,2
北多摩西部,56,33,2,3,22,3,-,2,1,1,-,-,-,-,1,-,22,6,10,1,5,150,69,16,3,1,-,17,-,-,-,-,39,1,4,659,459,1,199,-
清瀬,18,17,2,2,9,1,-,3,-,-,-,-,-,-,-,-,1,-,-,-,1,64,34,-,3,2,-,6,-,-,-,-,18,-,1,280,181,-,99,-
東久留米,43,31,2,6,17,-,-,3,3,1,-,-,-,-,1,-,11,3,2,-,6,105,57,-,3,-,-,8,-,-,-,-,34,-,3,468,291,-,177,-
西東京,39,27,3,5,13,4,-,2,-,1,-,-,-,-,1,-,11,3,1,-,7,105,59,-,6,1,-,12,-,-,-,-,23,-,4,454,311,2,141,-
八王子,240,181,8,40,111,3,-,15,4,4,-,-,-,-,4,-,55,13,18,2,22,702,285,46,35,4,-,81,-,-,-,-,181,15,55,"2,924","2,043",25,852,4
青梅,71,40,1,3,27,3,-,4,2,2,-,-,1,-,1,4,25,-,16,1,8,180,60,36,5,-,-,26,-,-,-,-,44,-,9,753,576,6,171,-
町田,182,123,3,21,84,3,-,9,3,1,-,-,-,-,1,1,57,12,34,-,11,470,194,37,19,2,-,56,-,-,-,-,121,5,36,"1,978","1,445",13,517,3
日野,56,32,2,5,15,-,-,7,3,1,-,-,-,-,1,-,23,4,12,-,7,131,51,18,4,-,-,13,-,-,-,-,36,3,6,549,413,3,131,2
福生,54,41,-,3,28,-,-,7,3,-,-,-,-,-,-,-,13,3,2,-,8,145,55,13,1,-,-,27,-,-,-,-,45,1,3,622,491,5,126,-
多摩,69,42,-,5,24,6,-,3,4,3,-,-,1,-,2,-,24,6,12,-,6,191,43,41,12,2,-,23,-,-,-,-,46,-,24,819,628,-,189,2
秋川,72,37,-,1,29,-,-,7,-,1,-,-,-,-,1,19,15,1,13,-,1,168,85,-,6,1,-,27,-,-,-,-,48,1,-,719,531,2,186,-
奥多摩,27,9,-,-,9,-,-,-,-,-,-,-,-,-,-,5,13,1,11,1,-,45,30,-,-,-,-,9,-,-,-,-,4,-,2,179,133,2,43,1
