消防署,木造・防火造・準耐火造・計画件数,木造・防火造・準耐火造・棟数,"木造・防火造・準耐火造・建築面積(㎡)","木造・防火造・準耐火造・延べ面積（㎡）",耐火造・計画件数,耐火造・棟数,"耐火造・建築面積(㎡)","耐火造・延べ面積（㎡）","危険物等関係施設・計画件数","危険物等関係施設・棟数","放射性物質関係施設・計画件数","放射性物質関係施設・棟数",その他の対象物計画件数
計,55,62,35703.61,52668.47,3042,3089,9724262.65,70844235.77,96,108,69,83,236
特別区,35,38,22757.7,34657.23,2228,2223,7011710.19,60269387.14,73,84,57,68,175
丸の内,-,-,-,-,72,72,327029.24,5483518.55,4,4,-,-,10
麹町,1,1,1625,1928,47,50,199740.8,2332082.97,-,-,-,-,3
神田,-,-,-,-,38,37,83752.59,1139030.64,-,-,1,1,8
京橋,1,1,1462,2278,73,72,123350.99,1667208.71,1,1,2,2,-
日本橋,-,-,-,-,48,40,104659.79,1539645.92,-,-,-,-,3
臨港,-,-,-,-,37,37,100314.28,1414386.21,-,2,-,1,-
芝,-,-,-,-,65,68,386355.56,4664759.04,11,11,1,1,3
麻布,-,-,-,-,46,36,108208.4,1376720.68,-,-,-,-,-
赤坂,1,1,168,535.54,47,44,179563,2472676.08,-,-,-,-,3
高輪,-,-,-,-,49,50,201488.45,2435791.16,-,-,3,3,2
品川,-,-,-,-,50,49,251503.11,3148053.29,7,7,-,-,4
大井,-,-,-,-,31,33,108694.22,703765.66,1,1,-,-,3
荏原,1,1,102,204,15,16,30334.69,187055.06,-,-,-,-,1
大森,-,-,-,-,57,55,206857.47,986166.05,1,1,-,-,21
田園調布,-,-,-,-,18,18,33512.1,172110.94,1,1,-,-,1
蒲田,-,-,-,-,42,42,302441.31,1014960.5,2,3,-,-,1
矢口,-,-,-,-,25,25,34473.44,180328.36,-,-,-,-,12
目黒,-,-,-,-,26,29,69134.96,478584.44,-,-,7,16,-
世田谷,1,1,309,320,30,31,65929.58,349353.79,1,1,1,1,4
玉川,1,1,789,473,13,13,52794.96,375035.46,-,-,-,-,4
成城,-,-,-,-,38,40,86474.42,375839.77,-,-,-,-,2
渋谷,2,2,2449,2528,98,94,339959.82,3098985.7,-,-,1,1,4
四谷,1,1,480,480,42,42,58209.27,516232.52,-,-,6,6,-
牛込,1,1,582.86,690.56,30,32,90148.85,602114.68,3,6,2,2,-
新宿,-,-,-,-,152,152,414188.01,6638481.15,-,-,-,-,2
中野,-,-,-,-,30,31,73373.71,674892.92,-,-,-,-,1
野方,-,-,-,-,18,18,31670.44,169959.97,1,1,-,-,-
杉並,1,3,932,968,39,40,85334.87,333365.67,3,3,2,2,4
荻窪,-,-,-,-,26,26,44698.84,204445.55,-,-,-,-,2
小石川,3,3,1679.69,2201.36,41,41,161155.6,973617.69,1,2,2,3,2
本郷,2,2,1161.5,2629,32,33,118205.65,961154.85,6,6,23,23,6
豊島,1,1,317.16,317.16,44,43,118802.5,1488401.55,-,-,-,-,1
池袋,2,2,3514.57,7502.26,43,43,86205.85,734694.68,-,-,1,1,1
王子,-,-,-,-,16,16,53591.79,202026.08,1,1,-,-,1
赤羽,-,-,-,-,26,29,76079.46,379558.52,4,4,1,1,-
滝野川,-,-,-,-,10,10,17147.3,87876.23,1,1,-,-,-
板橋,-,-,-,-,22,22,65301.48,405529.56,2,2,-,-,-
志村,-,-,-,-,68,68,156185.93,525796.76,3,3,1,1,5
練馬,-,-,-,-,26,26,25049.64,163242.65,-,-,-,-,3
光が丘,-,-,-,-,19,18,63216.77,339618.73,-,-,-,-,-
石神井,2,2,312,516,51,48,88428.16,346106.25,-,-,-,-,3
上野,6,7,3757,6303,26,28,89719.6,427158.14,-,-,-,-,-
浅草,-,-,-,-,12,12,6729.64,69913.79,-,-,-,-,-
日本堤,2,2,455,869,22,22,36491.76,274241.54,-,-,-,-,-
荒川,2,2,800,1615,24,25,37142.15,341426.1,1,1,-,-,1
尾久,-,-,-,-,14,14,16574.54,74000.28,-,-,-,-,2
千住,-,-,-,-,26,25,77180.75,395631.16,1,1,-,-,2
足立,2,2,1199.92,1173.35,51,55,100402.53,410984.49,-,-,-,-,7
西新井,-,-,-,-,46,45,90309.62,382627.08,2,4,-,-,5
本所,-,-,-,-,20,20,93907.6,550344.6,-,-,-,-,22
向島,-,-,-,-,23,23,54302.52,358293.32,1,1,-,-,-
深川,1,1,418,822,92,86,665677.8,3338201.12,10,10,1,1,7
城東,-,-,-,-,33,35,138102.97,750381.01,3,3,1,1,4
