消防署,計,（一）・イ,（一）・ロ,（二）・イ,（二）・ロ,（二）・ハ,（二）・ニ,（三）・イ,（三）・ロ,（四）,（五）・イ,（五）・ロ,（六）・イ,（六）・ロ・（1）,（六）・ロ・（2）,（六）・ロ・（3）,（六）・ロ・（4）,（六）・ロ・（5）,（六）・ハ・（1）,（六）・ハ・（2）,（六）・ハ・（3）,（六）・ハ・（4）,（六）・ハ・（5）,（六）・ニ,（七）,（八）,（九）・イ,（九）・ロ,（十）,十一,十二・イ,十二・ロ,十三・イ,十三・ロ,十四,十五,十六・イ,十六・ロ,十七,十八,十九,二十,その他,危険物製造所等・製造所,危険物製造所等・貯蔵所,危険物製造所等・取扱所,少量危険物等・運搬,少量危険物等・貯蔵取扱所少量危険物,少量危険物等・貯蔵取扱所指定可燃物,,,,
令和2年度,"15,711",2,1,-,3,-,-,1,52,104,55,"9,031",1,1,6,9,11,-,-,1,5,6,1,35,-,11,15,249,17,-,3,32,314,103,2,113,4,114,1033,307,3215,-,-,65,2,-,-,2,225,560,-,-,-
特別区,"11,058",2,1,-,2,-,-,1,29,47,40,"6,732",-,-,1,2,1,-,-,-,-,1,1,22,-,6,11,129,6,-,2,22,246,64,2,93,4,66,712,246,1948,-,-,27,2,-,-,1,177,412,-,-,-
丸の内,96,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,30,3,-,-,-,2,-,-,-,-,23,33,-,-,-
麹町,61,-,-,-,-,-,-,-,2,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,2,-,2,20,2,7,-,-,-,-,-,-,-,9,10,-,-,-
神田,40,-,-,-,-,-,-,-,1,-,-,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,21,1,6,-,-,2,-,-,-,-,-,-,-,-,-
京橋,101,-,-,-,-,-,-,-,-,1,4,37,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,1,-,-,21,17,14,-,-,-,-,-,-,-,2,2,-,-,-
日本橋,41,-,-,-,-,-,-,-,-,-,-,31,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,1,-,1,1,-,-,-,-,-,-,-,3,1,-,-,-
臨港,55,1,-,-,-,-,-,-,-,-,1,28,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,4,1,5,-,-,-,-,-,-,-,2,12,-,-,-
芝,117,-,-,-,-,-,-,-,-,-,-,109,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,1,-,2,-,-,2,-,-,-,-,-,-,-,-,-
麻布,144,-,-,-,-,-,-,-,-,-,-,88,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,2,-,-,16,1,15,-,-,-,-,-,-,-,10,3,-,-,-
