月別,救急出場件数・計,救急出場件数・交通事故,救急出場件数・火災,救急出場件数・運動競技,救急出場件数・自然災害,救急出場件数・水難事故,救急出場件数・労働災害,救急出場件数・一般負傷,救急出場件数・自損行為,救急出場件数・加害事故,救急出場件数・急病,救急出場件数・転院搬送,救急出場件数・資器材輸送,救急出場件数・医師搬送,救急出場件数・その他,救護人員・計,救護人員・交通事故,救護人員・火災,救護人員・運動競技,救護人員・自然災害,救護人員・水難事故,救護人員・労働災害,救護人員・一般負傷,救護人員・自損行為,救護人員・加害事故,救護人員・急病,救護人員・転院搬送
計,"720,965","38,829","3,209","2,933",7,730,"4,535","133,902","5,700","5,223","476,455","38,980",503,160,"9,799","626,536","35,769",619,"2,917",7,365,"4,478","119,814","4,000","3,930","416,078","38,559"
1月,"72,384","3,393",319,309,-,120,367,"13,102",452,496,"48,786","4,150",41,14,835,"64,180","3,172",78,306,-,71,364,"11,768",296,402,"43,614","4,109"
2月,"61,975","3,362",309,348,2,77,362,"11,293",414,490,"41,092","3,436",31,15,744,"54,523","3,129",56,348,2,43,359,"10,131",290,361,"36,405","3,399"
3月,"59,320","3,287",263,132,-,77,331,"10,863",470,482,"39,341","3,233",34,12,795,"51,842","3,048",41,130,-,41,329,"9,700",334,367,"34,641","3,211"
4月,"49,363","2,266",288,23,-,51,296,"8,379",309,297,"34,199","2,557",39,14,645,"42,075","2,064",66,23,-,25,290,"7,443",224,205,"29,237","2,498"
5月,"50,659","2,513",242,47,-,45,274,"8,923",426,363,"34,452","2,618",37,11,708,"43,681","2,278",42,45,-,24,272,"7,984",298,268,"29,879","2,591"
6月,"54,783","3,011",215,106,-,45,397,"10,076",492,453,"36,432","2,776",50,8,722,"47,465","2,787",44,105,-,17,392,"8,978",359,336,"31,700","2,747"
7月,"58,961","3,279",227,190,3,26,386,"10,675",519,446,"39,331","2,967",40,12,860,"51,445","3,068",37,189,3,11,380,"9,588",349,331,"34,540","2,949"
8月,"69,817","3,431",268,357,-,60,534,"14,394",540,442,"45,492","3,226",48,16,1009,"59,640","3,151",39,354,-,21,534,"13,118",388,336,"38,525","3,174"
9月,"60,124","3,397",216,330,1,34,426,"10,938",538,420,"39,532","3,324",54,12,902,"52,305","3,119",39,327,1,10,423,"9,814",389,320,"34,562","3,301"
10月,"61,112","3,529",256,383,-,58,379,"11,721",586,436,"39,377","3,492",51,14,830,"53,342","3,256",51,384,-,28,376,"10,428",409,327,"34,624","3,459"
11月,"59,198","3,592",255,397,-,52,389,"11,255",492,457,"38,016","3,427",43,13,810,"51,598","3,283",39,393,-,26,378,"10,018",354,346,"33,361","3,400"
12月,"63,269","3,769",351,311,1,85,394,"12,283",462,441,"40,405","3,774",35,19,939,"54,440","3,414",87,313,1,48,381,"10,844",310,331,"34,990","3,721"
