消防署,計,（一）・イ,（一）・ロ,（二）・イ,（二）・ロ,（二）・ハ,（二）・ニ,（三）・イ,（三）・ロ,（四）,（五）・イ,（五）・ロ,（六）・イ,（六）・ロ・（1）,（六）・ロ・（2）,（六）・ロ・（3）,（六）・ロ・（4）,（六）・ロ・（5）,（六）・ハ・（1）,（六）・ハ・（2）,（六）・ハ・（3）,（六）・ハ・（4）,（六）・ハ・（5）,（六）・ニ,（七）,（八）,（九）・イ,（九）・ロ,（十）,十一,十二・イ,十二・ロ,十三・イ,十三・ロ,十四,十五,十六・イ,十六・ロ,十七,危険物製造所等・製造所,危険物製造所等・貯蔵所,危険物製造所等・取扱所,,,,,,,,,,,
令和2年度,"3,224",6,2,1,16,-,4,3,166,228,102,203,5,1,10,5,30,-,-,-,4,15,1,42,-,18,27,44,8,35,3,58,29,45,-,13,-,26,179,1230,176,2,-,26,-,-,-,-,345,116,-,-,-
特別区,"2,495",4,2,1,12,-,3,3,128,120,94,146,4,1,3,3,25,-,-,-,1,8,-,34,-,9,22,28,8,35,2,57,19,37,-,9,-,22,126,1022,129,2,-,21,-,-,-,-,279,76,-,-,-
丸の内,34,-,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,-,3,16,-,-,-,-,-,-,-,-,-,-,-,-,-
麹町,39,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,5,22,3,-,-,-,-,-,-,-,5,1,-,-,-
神田,30,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,20,1,-,-,-,-,-,-,-,7,-,-,-,-
京橋,36,-,-,-,-,-,-,-,3,-,3,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,2,-,-,-,-,-,-,-,2,-,-,-,-
日本橋,9,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-
臨港,20,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,4,-,-,-,-,-,-,-,6,-,-,-,-
芝,28,-,-,-,-,-,-,-,5,-,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10,-,-,-,-,-,-,-,-,-,-,-,-,-
麻布,42,-,-,-,-,-,-,-,3,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,-,-,-,-,-,-,-,25,1,-,-,-,-,-,-,-,7,-,-,-,-
赤坂,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,1,2,-,-,-,-,-,-,-,-,5,-,-,-,-
高輪,63,-,-,-,-,-,-,1,6,-,1,6,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,2,-,-,4,-,-,-,2,-,2,11,13,7,-,-,-,-,-,-,-,4,1,-,-,-
品川,32,-,-,-,1,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,17,2,-,-,-,-,-,-,-,3,1,-,-,-
