消防署,事業所,計,製造所,貯蔵所・屋内,貯蔵所・屋外タンク,貯蔵所・屋内タンク,貯蔵所・地下タンク,貯蔵所・簡易タンク,貯蔵所・移動タンク,貯蔵所・屋外,取扱所・給油・営業用・自動車,取扱所・給油・営業用・その他,取扱所・給油・自家用・自動車,取扱所・給油・自家用・その他,取扱所・販売・第１種,取扱所・販売・第２種,取扱所・移送,取扱所・一般,危険物保安監督者,危険物取扱者,少量危険物貯蔵取扱所,指定可燃物貯蔵取扱所
平成28年度,"8,282","12,631",75,"1,762",371,"1,147","2,911",8,"1,585",169,"1,037",65,649,-,231,94,13,"2,514","7,243","26,412","26,620","5,903"
平成29年度,"8,278","12,626",70,"1,748",366,"1,168","2,928",8,"1,552",171,"1,000",66,649,-,225,92,13,"2,570","7,080","25,777","27,090","5,910"
平成30年度,"8,220","12,599",68,"1,724",352,"1,165","2,958",7,"1,546",162,969,67,654,-,216,91,12,"2,608","6,887","26,123","27,334","5,965"
令和元年度,"8,034","12,516",65,"1,695",345,"1,146","2,971",7,"1,497",158,945,66,650,-,207,89,11,"2,664","6,806","25,603","27,388","6,004"
令和2年度,7919,12492,64,1666,338,1141,2970,10,1512,159,928,66,645,-,197,87,11,2698,6688,25172,27502,6032
特別区,5283,8372,45,1002,137,1009,1941,5,968,62,593,36,408,-,174,72,1,1919,4082,16316,18492,4699
丸の内,211,398,0,0,0,104,105,0,0,0,0,0,4,0,0,0,0,185,64,869,198,5
麹町,137,246,0,5,0,51,102,0,1,0,4,0,4,0,0,0,0,79,53,352,556,18
神田,107,145,0,12,0,27,45,0,0,0,9,0,2,0,10,0,0,40,47,162,197,19
京橋,119,201,0,1,2,71,52,0,0,0,5,0,1,0,1,0,0,68,24,577,358,20
日本橋,118,206,0,0,0,89,47,0,0,0,8,0,1,0,7,0,0,54,27,222,439,13
臨港,71,121,1,11,11,14,29,2,3,2,4,1,12,0,0,0,0,31,169,181,203,40
芝,200,370,0,7,0,86,121,0,0,1,10,1,5,0,1,0,0,138,60,213,686,79
麻布,72,88,0,0,0,20,32,0,1,0,7,0,3,0,0,0,0,25,28,81,136,6
赤坂,71,130,0,0,0,21,52,0,0,0,5,0,3,0,0,0,0,49,34,345,243,15
高輪,93,149,0,11,1,30,48,0,3,0,5,1,5,0,1,0,0,44,50,258,152,20
品川,151,221,0,39,7,26,61,0,2,0,7,0,7,0,5,3,0,64,95,280,530,55
大井,93,295,0,21,0,9,20,0,210,0,2,2,12,0,0,0,0,19,50,420,171,45
荏原,37,53,0,12,0,3,15,0,0,0,7,0,3,0,4,1,0,8,31,141,218,30
大森,189,266,2,67,2,13,46,0,18,4,25,1,27,0,3,1,0,57,202,797,453,262
田園調布,45,61,0,14,0,6,16,0,6,0,9,0,2,0,2,2,0,4,39,90,424,36
蒲田,218,343,10,68,39,20,47,0,51,6,12,19,9,0,4,4,1,53,267,432,441,56
矢口,38,46,0,14,0,4,9,0,1,0,8,0,1,0,0,0,0,9,25,126,176,28
目黒,91,125,0,22,0,12,35,0,3,0,18,0,7,0,3,1,0,24,66,188,214,26
世田谷,76,100,0,17,0,6,25,0,3,1,17,0,10,0,1,1,0,19,65,204,247,23
玉川,61,77,0,9,0,6,18,1,2,2,23,0,5,0,1,0,0,10,47,215,264,25
成城,67,101,0,16,3,4,16,0,30,0,13,0,6,0,3,0,0,10,50,441,363,57
渋谷,198,276,0,6,0,60,98,0,1,0,13,0,4,0,3,0,0,91,69,445,391,4
四谷,31,46,0,1,0,8,19,0,0,0,1,0,2,0,1,0,0,14,9,65,283,14
牛込,79,103,0,8,0,17,34,0,3,0,8,0,5,0,1,0,0,27,54,226,138,124
新宿,154,220,0,12,0,53,70,0,5,0,10,0,3,0,3,0,0,64,67,357,426,31
中野,35,51,0,5,0,6,15,0,2,0,5,0,4,0,2,0,0,12,24,85,99,20
野方,23,29,0,2,0,3,7,0,0,0,5,0,3,0,2,2,0,5,23,66,250,28
杉並,53,61,0,3,0,5,16,0,1,0,12,0,9,0,2,2,0,11,40,134,359,37
荻窪,37,43,0,4,0,4,11,0,2,0,12,0,4,0,0,0,0,6,28,119,235,38
小石川,65,89,0,11,0,12,31,0,0,0,6,0,1,0,2,0,0,26,34,176,382,79
本郷,54,101,0,23,0,7,30,0,0,0,6,0,2,0,1,1,0,31,43,218,537,9
豊島,58,89,0,6,0,12,32,0,4,0,6,0,3,0,0,1,0,25,31,271,251,22
池袋,29,30,0,2,0,8,8,0,0,0,4,0,2,0,1,1,0,4,14,74,194,20
王子,54,65,1,16,1,3,14,0,2,1,6,0,3,0,1,0,0,17,57,87,118,48
赤羽,65,102,2,27,6,6,21,0,3,0,6,0,10,0,2,2,0,17,94,150,221,68
滝野川,48,84,0,24,2,3,21,0,0,0,4,3,3,0,2,1,0,21,46,202,219,50
板橋,64,79,0,8,0,4,17,0,4,0,12,0,2,0,9,4,0,19,63,103,369,87
志村,150,283,11,72,6,22,41,0,21,20,22,0,14,0,4,3,0,47,267,749,743,249
練馬,51,60,0,9,0,3,10,0,13,0,8,0,6,0,1,0,0,10,35,109,258,48
光が丘,56,78,0,13,0,3,11,0,20,0,13,0,7,0,2,1,0,8,60,139,87,21
石神井,49,66,0,2,0,1,11,0,19,0,13,0,8,0,1,1,0,10,38,154,237,41
上野,51,58,0,6,0,10,16,0,4,0,8,0,1,0,2,3,0,8,21,86,216,37
浅草,29,37,0,6,0,5,7,0,0,0,5,0,1,0,6,3,0,4,39,60,138,33
日本堤,38,46,0,0,0,9,6,0,0,0,5,0,0,0,8,11,0,7,28,115,314,28
荒川,63,99,0,26,0,3,18,0,24,1,7,1,6,0,5,1,0,7,50,273,237,203
尾久,44,77,1,14,5,7,4,0,24,0,7,0,0,0,7,2,0,6,37,1258,128,65
千住,63,98,2,22,0,5,19,0,8,2,8,0,9,0,4,1,0,18,59,557,185,94
足立,133,210,3,32,6,2,44,0,58,1,28,0,12,0,3,1,0,20,117,325,556,156
西新井,151,222,4,25,0,2,26,0,76,4,22,0,26,0,3,1,0,33,146,283,360,378
本所,73,95,0,15,0,10,27,0,0,0,13,0,2,0,7,3,0,18,65,193,320,141
向島,69,186,2,29,2,15,13,0,88,0,9,0,5,0,6,4,0,13,79,453,386,238
深川,274,498,0,54,3,36,144,2,21,11,17,1,31,0,6,4,0,168,175,571,846,362
城東,160,302,1,48,37,11,52,0,33,2,18,4,31,0,3,1,0,61,192,356,540,572
本田,147,215,0,50,0,14,37,0,42,1,15,0,12,0,10,2,0,32,123,273,808,163
金町,53,64,1,8,0,3,11,0,9,0,9,0,11,0,0,0,0,12,47,98,210,51
江戸川,108,164,4,32,2,7,18,0,37,1,22,1,12,0,10,3,0,15,124,375,519,80
葛西,131,208,0,23,1,6,26,0,84,2,16,1,16,0,3,0,0,30,121,245,119,105
小岩,78,96,0,12,1,2,15,0,26,0,14,0,9,0,5,0,0,12,70,272,144,77
受託地区,2437,3685,19,644,96,115,975,4,489,45,300,7,231,0,23,15,0,722,2069,8051,9010,1333
立川,153,267,0,28,6,9,88,0,40,2,15,4,16,0,1,0,0,58,107,280,814,51
武蔵野,36,49,0,2,0,5,19,0,0,0,3,0,5,0,1,0,0,14,21,64,357,13
三鷹,66,139,0,22,1,6,45,0,7,2,8,0,7,0,0,2,0,39,74,227,209,48
府中,151,233,0,61,2,17,61,0,9,0,15,0,16,0,0,3,0,49,155,358,559,56
昭島,105,161,0,29,11,6,32,0,16,5,10,0,13,0,1,0,0,38,111,214,465,35
調布,96,136,0,24,1,5,45,0,3,0,15,2,7,0,1,3,0,30,78,437,271,48
小金井,34,41,0,15,0,1,12,0,0,0,4,0,4,0,0,0,0,5,22,74,116,10
小平,75,150,1,18,0,4,45,1,37,2,10,0,6,0,1,0,0,25,55,279,394,77
東村山,78,91,1,28,0,1,25,0,6,0,5,0,8,0,0,0,0,17,56,147,362,55
国分寺,30,35,0,8,0,0,8,0,1,1,11,0,2,0,0,0,0,4,22,79,204,10
狛江,14,17,0,1,0,0,5,0,0,0,4,0,2,0,0,1,0,4,13,36,55,27
北多摩西部,96,131,0,21,1,3,27,0,26,0,17,0,13,0,0,2,0,21,80,258,405,99
清瀬,25,39,0,5,2,2,14,0,2,0,2,1,1,0,0,0,0,10,22,53,139,18
