消防署,警報設備・自動火災報知設備・対象物数,警報設備・自動火災報知設備・設備数,警報設備・ガス漏れ火災警報設備・対象物数,警報設備・ガス漏れ火災警報設備・設備数,警報設備・漏電火災警報器・対象物数,警報設備・漏電火災警報器・設備数,警報設備・消防機関へ通報する火災通報装置・対象物数,警報設備・消防機関へ通報する火災通報装置・設備数,警報設備・非常ベル・自動式サイレン対象物数,警報設備・非常ベル・自動式サイレン設備数,警報設備・放送設備・対象物数,警報設備・放送設備・設備数,避難設備・救助袋・対象物数,避難設備・救助袋・設備数,避難設備・緩降機・対象物数,避難設備・緩降機・設備数,避難設備・避難はしご・対象物数,避難設備・避難はしご・設備数,避難設備・誘導灯・対象物数
平成28年度,"217,619","299,704","4,959","7,865","20,791","22,485","9,294","7,090","62,055","92,931","25,892","27,193","4,733","10,198","26,872","44,154","164,214","437,221","168,806"
平成29年度,"220,401","305,435","5,060","7,963","20,561","23,282","9,781","7,599","62,115","92,708","26,242","27,484","4,793","10,113","27,126","43,989","167,766","441,177","171,836"
平成30年度,"224,250","278,742","5,168","6,820","20,361","20,269","10,423","8,182","62,268","91,796","26,726","24,176","4,871","10,023","27,507","42,563","172,416","417,697","177,370"
令和元年度,"227,830","200,466","5,265","5,037","20,230","19,681","10,882","8,600","62,366","81,325","27,178","22,829","4,953","8,483","27,846","35,606","176,163","226,867","181,850"
令和2年度,"230,268","205,505","5,339","4,943","20,030","20,322","11,217","8,903","62,376","78,561","27,540","22,959","5,001","8,134","28,131","33,293","179,631","212,665","185,175"
特別区,171024,155960,4292,3888,12806,12409,7693,6037,45719,59088,20831,17611,3775,6230,24795,29105,146089,171256,145506
丸の内,341,387,105,105,8,9,38,29,45,46,186,191,20,66,41,114,61,122,377
麹町,"1,796","1,949",169,148,10,12,87,59,322,554,501,530,70,158,317,604,"1,038","2,038","1,856"
神田,"3,615","3,535",104,86,18,21,91,90,958,1150,686,619,78,120,1185,"1,427","2,727","2,472","4,267"
京橋,"3,015","2,981",178,145,12,18,88,70,525,676,794,665,61,123,771,"1,561","2,192","3,139","3,308"
日本橋,3063,"3,036",112,111,18,21,116,99,634,812,599,549,96,283,780,1748,2235,"2,702",3357
臨港,712,"1,694",47,44,5,5,21,18,102,188,139,138,21,26,81,111,482,"1,775",625
芝,"3,435","3,414",285,257,20,17,147,115,643,999,864,739,85,147,832,965,"2,462","5,419","3,679"
麻布,"2,330","2,271",95,78,30,28,130,72,531,760,403,321,39,64,461,555,"1,856","2,070","2,550"
赤坂,"2,162","2,096",122,116,17,17,79,72,345,382,401,384,42,89,462,824,"1,414","2,523","2,329"
高輪,"1,511","1,601",85,97,37,40,88,55,256,345,328,256,37,57,219,293,"1,118","1,037","1,364"
品川,"2,890","2,513",103,87,75,78,139,108,538,610,464,363,57,82,403,447,"1,574","1,197","2,571"
大井,"1,841","1,648",51,34,129,129,98,68,432,652,193,165,33,48,206,258,"1,491","1,871","1,555"
荏原,"2,009","1,710",22,20,216,214,73,44,589,748,180,149,38,48,402,249,"2,883","2,293","1,992"
大森,"3,923","3,702",70,69,334,336,164,115,894,"1,272",293,277,75,163,414,578,"3,339","5,629","3,084"
田園調布,"2,761","2,283",27,15,248,242,118,102,785,797,158,133,60,64,306,164,"2,422","1,213","2,027"
蒲田,"2,995","2,541",63,61,166,151,163,128,845,835,278,248,46,93,304,270,"2,881","1,839","2,503"
矢口,"1,882","1,657",31,26,201,192,80,68,594,873,163,151,42,100,278,351,"2,128","2,986","1,653"
目黒,"4,948","4,258",144,164,413,413,146,133,"1,306","1,763",446,406,95,167,647,659,"4,794","4,755","4,582"
世田谷,"6,779","5,524",141,161,887,855,213,163,"1,901","2,898",567,514,126,190,649,820,"6,159","10,799","5,251"
玉川,"3,597","4,094",82,88,371,377,160,145,984,"1,249",290,219,86,92,397,334,"3,235","3,812","2,699"
成城,"3,500","2,853",44,39,217,204,248,215,943,"1,050",307,275,98,150,280,276,"2,377","3,059","2,162"
渋谷,"7,949","7,386",319,293,145,147,215,151,1919,3204,1146,1009,164,324,1828,2800,"6,424","10,993","8,300"
四谷,"1,938","1,843",85,68,38,36,56,53,468,344,324,293,40,33,462,321,"1,596",870,"2,068"
牛込,"2,424","2,253",76,25,63,58,94,79,739,396,312,227,41,31,502,175,"2,534",655,"2,548"
新宿,"5,209","4,886",174,178,252,240,269,237,1226,"1,988",886,830,99,219,965,1773,"4,113","7,380","4,695"
中野,"2,782","2,306",79,78,273,269,92,79,926,937,236,200,49,55,564,274,"3,574","1,808","2,506"
野方,"2,330","1,784",26,18,615,577,121,101,700,657,101,78,42,50,259,145,"2,650","1,625","1,617"
杉並,"4,546","3,825",83,76,1194,1171,201,162,"1,415","1,975",335,282,88,161,503,597,"4,786","6,206","3,645"
荻窪,"3,462","2,726",44,37,914,836,182,148,1066,"1,800",253,182,63,96,368,400,"2,885","2,749","2,519"
小石川,"2,390","2,156",85,81,63,63,79,60,591,1032,362,319,50,79,491,453,"2,442","2,275","2,145"
本郷,"2,446","2,215",82,76,91,93,98,70,708,926,385,311,54,110,441,500,"2,170","1,773","2,300"
豊島,"3,320","2,946",93,85,115,106,159,98,873,940,528,430,75,139,768,942,"3,131","2,607","3,166"
池袋,"2,827","2,509",67,71,275,271,183,102,749,1044,315,262,47,58,529,581,"3,205","4,024","2,447"
王子,"1,583","1,383",32,27,141,150,82,55,440,708,203,181,54,91,238,252,"1,566","1,835","1,339"
赤羽,"1,954","1,569",42,36,99,93,80,64,588,842,250,207,46,73,221,281,"1,748","2,735","1,455"
滝野川,"1,434","1,302",22,18,157,161,50,41,454,738,154,130,43,63,256,224,"1,747","2,260","1,280"
板橋,"3,001","2,430",37,16,281,247,122,97,"1,156",873,276,216,83,74,450,202,"3,443","1,085","2,551"
志村,"5,234","4,225",76,65,663,630,277,219,"1,703","2,118",564,389,113,214,423,515,"3,869","4,109","3,811"
練馬,"3,612","3,074",25,25,316,320,154,121,1185,1493,243,191,83,124,345,306,"3,134","2,532","2,445"
光が丘,"1,925","1,544",23,16,234,223,88,72,636,792,213,128,59,90,157,157,"1,398","1,843","1,226"
石神井,"3,448","2,776",47,33,540,520,256,180,1344,"1,509",314,249,90,152,219,227,"2,788","3,720","2,304"
上野,"3,100","2,806",69,57,84,83,149,100,844,"1,342",549,423,52,111,717,910,"2,600","3,162","3,263"
浅草,"2,032","1,908",16,5,22,18,64,54,533,412,218,167,21,13,544,280,"1,739",960,"2,206"
日本堤,"1,764","1,686",26,26,98,98,151,134,339,554,188,180,22,34,317,246,"1,470","1,271","1,721"
荒川,2077,"1,867",50,46,147,168,109,87,637,730,240,165,57,85,295,293,1881,"1,891",1904
尾久,"1,012",853,19,8,112,104,65,56,306,274,83,54,35,35,115,40,"1,092",255,972
千住,"1,458","1,819",16,12,98,107,63,53,358,570,181,134,34,53,168,209,"1,347","3,751","1,212"
足立,"5,431","4,218",44,37,310,307,293,211,1848,"1,867",453,357,153,247,320,323,"4,106","5,992","3,286"
西新井,"3,102","2,653",51,48,291,301,184,156,836,"1,143",298,265,83,121,130,132,"2,059","2,913","2,252"
本所,"3,869","3,361",49,45,71,68,156,126,996,1136,458,291,57,119,646,597,"3,704","3,260","3,228"
向島,"1,617","1,926",28,23,82,86,89,78,390,713,176,134,51,76,120,100,"1,301","1,232","1,327"
深川,"4,063","5,175",144,190,42,48,168,147,926,"1,976",552,767,89,139,488,833,"2,840","7,825","3,431"
城東,"3,322","2,917",52,37,84,80,140,111,639,"1,061",536,315,71,143,313,282,"2,000","1,907","2,625"
本田,"3,586","3,258",37,10,419,354,166,151,1194,862,270,167,98,92,278,155,"3,249",991,"2,875"
金町,"2,254","2,118",19,17,268,277,136,109,773,1058,194,159,61,89,185,261,"1,743","2,778","1,484"
江戸川,"2,900","2,580",24,17,175,122,122,101,608,530,237,173,71,109,240,206,"2,002","1,660","1,870"
葛西,"3,787","3,456",36,29,272,279,150,98,854,1230,344,275,58,114,273,283,"2,664","3,458","1,949"
小岩,"2,731","2,474",15,8,330,319,143,108,580,655,214,179,74,84,222,222,"2,221","2,116","1,743"
受託地区,"59,244","49,545",1047,1055,7224,7913,3524,2866,"16,657","19,473",6709,5348,1226,1904,3336,4188,"33,542","41,409","39,669"
立川,"4,317","3,792",88,91,223,224,261,217,1343,1849,563,524,90,113,436,626,"2,826","4,603","3,168"
武蔵野,"2,618","3,294",63,64,340,1322,109,92,738,812,324,273,55,78,317,453,"1,992","2,266","2,074"
三鷹,"2,663","2,385",54,60,802,769,149,124,710,"1,109",242,215,65,111,105,128,"1,840","2,076","1,682"
府中,"3,831","3,033",110,97,326,319,214,135,894,1002,374,279,91,142,242,291,2325,"3,166","2,234"
昭島,"1,547","1,274",28,37,128,127,107,63,456,604,196,166,17,22,75,88,873,"1,425","1,141"
調布,"3,302","2,756",63,70,495,499,149,122,960,1012,303,237,67,97,175,181,2187,"2,204",2145
小金井,"1,648","1,350",21,22,336,315,82,65,442,595,143,130,45,81,91,109,952,"1,263",975
小平,"2,547","1,877",46,36,421,417,159,126,882,"1,088",338,267,85,156,125,148,"1,535","1,979","1,747"
東村山,"1,877","1,438",47,50,213,204,143,105,652,810,244,189,16,23,92,141,"1,107","1,716",1347
国分寺,1635,1187,25,13,267,225,96,74,422,272,124,89,46,38,144,73,1134,334,1097
狛江,"1,018",797,17,18,406,398,55,47,257,366,79,64,20,43,36,36,653,606,586
北多摩西部,"2,082",1796,28,23,220,221,102,89,676,678,268,256,26,33,50,49,943,728,1537
清瀬,"1,085",636,27,20,161,155,100,66,307,363,115,78,21,38,48,47,529,606,597
東久留米,"1,428","1,157",28,23,254,248,112,104,365,462,156,153,27,32,53,37,798,432,886
西東京,"2,453","2,094",45,81,396,363,140,112,754,778,226,148,68,82,125,125,"1,802","1,153","1,615"
八王子,"8,501","7,466",141,134,564,573,555,438,2238,3128,1166,830,149,267,486,654,4589,"7,059","5,809"
青梅,"2,245","1,795",20,21,323,302,134,123,570,427,221,173,47,92,78,97,840,"1,223","1,622"
町田,"5,259","4,278",74,107,442,443,358,331,1554,"1,306",636,546,125,179,307,469,"2,383","3,826","3,606"
日野,"2,554","1,960",28,16,455,358,167,142,653,697,238,156,36,46,118,104,"1,453","1,130","1,499"
福生,"2,636","2,231",19,14,150,146,103,98,792,1117,208,185,50,89,80,111,"1,149","1,818","1,961"
