消防署,消防用水・対象物数,消防用水・設備数,消防活動上必要な設備・排煙設備・対象物数,消防活動上必要な設備・排煙設備・設備数,消防活動上必要な設備・連結散水設備・対象物数,消防活動上必要な設備・連結散水設備・設備数,消防活動上必要な設備・連結送水管・対象物数,消防活動上必要な設備・連結送水管・設備数,消防活動上必要な設備・非常コンセント設備・対象物数,消防活動上必要な設備・非常コンセント設備・設備数,消防活動上必要な設備・無線通信補助設備・対象物数,消防活動上必要な設備・無線通信補助設備・設備数
渋谷,87,98,116,159,180,293,3108,"3,168",605,407,43,35
四谷,19,13,33,22,41,37,1012,1009,205,194,10,7
牛込,29,19,25,19,67,67,"1,013","1,032",274,272,15,14
新宿,77,88,73,110,89,120,2037,2149,546,563,47,31
中野,33,33,62,63,43,39,818,791,175,148,14,12
野方,3,4,6,3,19,19,320,313,31,31,2,4
杉並,41,31,43,48,48,122,778,791,108,63,5,5
荻窪,12,11,23,22,32,34,424,434,52,38,2,2
小石川,42,43,41,55,64,86,"1,097","1,135",351,257,19,15
本郷,38,35,35,39,83,67,"1,334","1,366",416,358,16,18
豊島,32,35,45,49,59,66,1697,1639,410,381,11,8
池袋,16,15,28,28,19,21,783,793,142,122,12,12
王子,16,18,7,25,12,17,511,547,141,144,3,3
赤羽,18,22,22,22,12,23,586,546,179,172,6,6
滝野川,6,9,8,5,14,12,544,585,166,149,1,1
板橋,18,14,12,9,33,28,848,752,270,215,6,5
志村,74,49,26,40,42,40,959,1069,246,76,5,1
練馬,6,6,18,29,19,22,653,628,112,89,8,5
光が丘,5,4,16,23,14,17,305,315,95,54,9,2
石神井,6,9,26,24,17,15,339,317,36,29,1,-
上野,33,34,20,18,32,55,"1,765","1,671",464,405,19,15
浅草,10,1,9,4,7,7,1469,1411,430,390,9,5
日本堤,16,16,13,11,8,8,760,799,210,207,4,4
荒川,25,21,9,12,10,10,915,931,264,202,5,4
尾久,2,2,2,2,7,5,311,300,93,95,1,2
千住,25,30,11,22,11,16,406,456,169,353,4,5
足立,16,13,21,22,20,24,966,983,177,153,2,2
西新井,13,13,8,7,3,2,398,410,64,87,1,1
本所,34,37,39,62,18,29,2242,2167,450,362,26,19
向島,72,52,6,15,3,6,465,501,135,152,7,1
深川,244,310,69,124,51,82,"2,073","2,462",608,815,39,52
城東,76,85,23,34,21,46,1331,1446,444,497,5,3
本田,14,6,10,7,10,9,689,691,169,168,-,-
金町,16,21,6,11,7,19,332,347,96,109,2,3
江戸川,6,5,11,13,7,7,554,574,140,124,5,5
葛西,29,39,19,28,15,47,1181,1288,292,269,5,5
小岩,1,1,10,12,7,14,402,401,90,87,2,1
受託地区,338,438,380,487,444,615,6876,7382,1389,1314,31,26
立川,42,62,36,44,43,58,672,760,115,128,-,-
武蔵野,23,21,25,56,35,44,485,496,75,51,4,2
三鷹,13,13,6,3,15,23,379,409,63,50,-,-
府中,40,56,32,33,28,31,620,581,121,84,7,5
昭島,18,33,10,18,10,22,188,248,52,41,-,-
調布,10,16,20,21,33,30,396,407,74,94,4,3
小金井,2,3,7,5,15,16,174,182,35,29,-,-
小平,6,8,7,8,14,20,162,180,26,34,1,1
東村山,9,14,8,10,11,27,193,202,54,51,2,7
国分寺,8,6,4,4,13,13,202,196,41,25,-,-
狛江,6,7,2,3,6,5,76,91,14,13,-,-
北多摩西部,9,15,13,12,14,12,168,205,32,27,-,-
清瀬,6,15,3,6,6,6,69,79,12,9,-,-
東久留米,3,2,7,7,4,3,125,139,25,24,-,-
西東京,18,18,17,21,19,22,309,317,52,103,-,-
八王子,54,55,69,85,67,78,1220,1270,275,322,8,5
青梅,11,16,11,12,9,8,141,158,25,32,-,-
町田,21,30,41,65,35,42,510,533,116,84,3,3
日野,7,7,9,8,12,28,236,236,50,43,-,-
福生,4,4,15,27,10,22,127,150,15,20,-,-
多摩,27,31,32,30,34,85,399,520,117,50,-,-
秋川,1,6,6,9,9,18,25,23,-,-,1,-
奥多摩,-,-,-,-,2,2,-,-,-,-,1,-
