区分,件数・出場,件数・従事,救助人員・計,救助人員・重症,救助人員・中等症,救助人員・軽症,救助人員・無症,救助人員・死亡,出場車両数・計,出場車両数・ポンプ車,出場車両数・救助車,出場車両数・化学車,出場車両数・はしご車,出場車両数・救急車,出場車両数・照明車,"出場車両数・救出救助車、水難救助車、指揮統制車",出場車両数・ヘリコプター,出場車両数・消防艇,出場車両数・指揮隊車,出場車両数・その他,従事台数,出場人員,従事人員
平成28年,"21,980","17,078","18,958","2,641","6,028","7,231",1703,1355,"69,978","23,270","7,245","3,463",319,"23,557",68,231,60,302,"10,496",967,"43,607","284,536","173,731"
平成29年,"21,984","16,829","18,568","2,657","5,892","6,907","1,618",1494,"69,402","22,870","7,250","3,328",304,"23,226",44,155,42,251,"11,100",832,"41,995","281,640","168,130"
平成30年,"23,543","17,730","19,381","2,814","6,095","6,897","1,724",1851,"75,639","24,576","8,207","3,727",313,"24,710",74,262,79,365,"12,230","1,096","43,807","307,763","176,655"
令和元年,"24,327","17,852","19,435","2,899","5,961","6,718","1,815",2042,"78,858","24,999","9,155","3,918",310,"25,547",84,245,55,370,"13,152","1,023","43,432","320,770","175,718"
令和2年,"23,856","17,359","18,197","2,844","5,858","5,422","1,794","2,279","78,152","24,542","9,444","3,753",282,"24,798",94,261,57,331,"13,332","1,258","40,869","319,565","168,016"
火災_逃げ遅れ,126,126,134,22,22,14,18,58,"2,518","1,290",148,110,160,301,1,11,9,3,277,208,"1,969","10,542","8,341"
火災_自損,4,4,4,2,-,-,-,2,71,38,5,3,4,9,-,-,-,-,8,4,62,283,249
交通_自動車_自動車との衝突,"2,589","2,360","3,473",197,604,"2,484",177,11,"7,705","2,712",291,439,55,"3,404",-,2,-,-,712,90,"5,404","29,014","20,856"
交通_自動車_ガードレール等との衝突（単独横転含む）,703,577,651,85,172,323,66,5,"2,458",981,196,116,27,804,-,-,1,-,306,27,"1,529","9,739","6,103"
交通_自動車_人との衝突,87,71,88,22,16,42,1,7,337,116,38,18,-,107,-,-,-,-,43,15,202,"1,321",823
交通_列車・電車_列車・電車との衝突,95,77,71,19,4,1,-,47,798,340,179,27,-,96,-,-,-,-,97,59,485,"3,326","2,034"
交通_列車・電車_自動車との衝突,2,2,2,1,-,1,-,-,11,4,2,1,-,2,-,-,-,-,1,1,9,44,37
交通_列車・電車_飛び込み自損等,108,73,69,21,3,4,-,41,833,363,179,23,-,109,-,-,-,-,108,51,467,"3,462","1,956"
交通_列車・電車_転覆・脱線,1,1,1,1,-,-,-,-,5,3,-,-,-,1,-,-,-,-,1,-,5,22,22
交通_航空機墜落等その他,37,32,34,-,4,24,6,-,97,42,-,6,4,40,-,-,-,-,5,-,65,371,258
水難_海・河川等_船舶と船舶との衝突,1,1,1,-,-,-,-,1,9,2,1,-,-,1,-,-,-,4,1,-,9,41,41
水難_海・河川等_河川等への転落,175,132,124,17,7,11,17,72,"1,612",407,167,116,-,193,53,158,9,220,209,80,770,"7,177","3,523"
水難_池・プール・井戸等への転落,9,8,7,3,-,-,-,4,67,20,7,4,-,9,2,6,-,9,9,1,30,301,132
水難_飛び込み自損等,42,24,20,8,1,5,2,4,379,92,43,26,-,44,19,37,2,53,45,18,142,"1,678",635
水難_その他,34,18,18,1,3,1,5,8,284,74,28,22,-,38,9,27,1,32,35,18,81,"1,226",355
機械_昇降機_エレベーターに閉じ込められ,50,24,36,-,-,2,34,-,212,55,53,5,1,44,-,-,-,-,51,3,69,935,329
機械_昇降機_エレベーターに挟まれ,5,3,4,1,-,2,1,-,23,6,6,-,-,5,-,-,-,-,5,1,13,102,55
機械_昇降機_エスカレーターに挟まれ等,2,1,1,-,-,1,-,-,8,2,2,-,-,2,-,-,-,-,2,-,3,36,14
機械_昇降機_リフト・ダムウェータに挟まれ,1,1,1,1,-,-,-,-,6,2,1,-,-,1,-,-,-,-,1,1,5,24,22
機械_プレス機械に挟まれ,4,3,3,2,-,1,-,-,36,12,8,1,-,4,-,-,-,-,5,6,27,147,106
機械_回転機械_印刷機械ローラーに挟まれ,3,2,2,-,2,-,-,-,19,6,5,-,-,3,-,-,-,-,3,2,11,79,47
機械_回転機械_その他の回転機械・かくはん機,15,6,7,3,3,1,-,-,83,28,16,2,-,15,-,-,1,-,17,4,35,350,146
機械_ベルトコンベアー_挟まれ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
機械_ベルトコンベアー_巻き込まれ,3,3,3,2,1,-,-,-,22,7,7,1,-,3,-,-,-,-,3,1,15,91,64
機械_コンクリートミキサー等の機械に挟まれ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
機械_その他の機械_自動販売機等,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
機械_その他の機械_その他,36,23,24,5,4,11,4,-,162,45,34,9,-,35,-,-,-,-,34,5,64,692,280
"建物・
工作物_建物・工作物_居室等閉じ込められ","10,473","6,287","5,782",575,"1,740",843,1065,1559,"36,474","8,981","6,438",1613,17,"10,230",-,-,-,-,"9,089",106,"14,428","155,795","63,961"
"建物・
工作物_建物・工作物_ドア等に挟まれ",120,77,79,5,15,28,29,2,410,99,68,21,-,117,-,-,-,-,104,1,178,"1,746",773
"建物・
工作物_家庭器具・洗濯機・扇風機等に挟まれ",145,100,101,1,14,20,65,1,465,130,55,15,-,143,-,-,-,-,121,1,185,"1,953",821
"建物・
工作物_その他建物内事故（階段が狭く搬出不能）","7,659","6,513","6,624","1,710","3,062","1,360",156,336,"17,119","6,807",674,996,3,"7,598",-,-,-,-,961,80,"11,789","64,317","44,191"
崩壊_土砂崩れ,1,-,-,-,-,-,-,-,6,2,2,-,-,1,-,-,-,-,1,-,-,26,-
崩壊_建物・工作物の倒壊,5,4,6,3,1,-,-,2,57,12,11,-,-,11,-,2,-,-,8,13,47,223,187
崩壊_工事作業車（クレーン車等）の転倒,2,1,1,-,-,-,-,1,46,9,7,2,-,3,1,2,-,-,5,17,39,221,194
崩壊_荷崩れ,1,1,1,-,1,-,-,-,4,1,1,-,-,1,-,-,-,-,1,-,4,17,-
崩壊_物体の飛来落下,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
墜落_高所からの転落,114,78,79,26,15,13,9,16,536,188,96,13,3,116,-,1,-,1,110,8,295,"2,303","1,288"
墜落_地下への転落,27,21,21,6,9,6,-,-,126,41,24,6,-,27,-,-,-,-,26,2,78,540,330
墜落_飛び降り自損等,228,79,80,29,10,8,15,18,1156,416,219,38,3,229,2,3,2,2,226,16,319,"5,030",1407
ガス_酸素欠乏,2,2,2,-,-,-,-,2,15,4,2,1,-,2,-,-,-,-,2,4,13,59,51
ガス_シンナー中毒,1,1,1,-,1,-,-,-,9,2,2,-,-,1,-,-,-,-,1,3,9,38,38
ガス_一酸化炭素中毒,17,15,19,7,5,2,-,5,85,27,10,2,-,26,-,-,-,-,18,2,64,348,265
ガス_自損行為によるガス中毒,27,26,23,3,4,1,-,15,157,56,19,4,-,29,-,-,-,-,27,22,117,650,496
ガス_高圧ガス（塩素、アンモニア）中毒,3,3,3,1,2,-,-,-,25,8,4,-,-,4,-,-,-,-,3,6,20,101,84
ガス_その他,11,8,4,-,-,3,1,-,87,23,12,3,-,16,-,-,-,-,11,22,42,351,176
電気_電気事故,2,1,1,-,1,-,-,-,5,2,-,-,-,2,-,-,-,-,1,-,2,20,7
山岳_沢に転落・滑落,25,22,21,6,7,4,1,3,207,59,2,3,-,40,-,3,9,-,27,64,152,853,623
山岳_傷者,74,68,68,5,27,31,3,2,452,131,3,5,3,93,-,-,14,-,63,140,347,"1,762","1,347"
山岳_その他,52,43,44,6,9,10,13,6,339,104,4,2,-,78,-,-,6,-,40,105,203,"1,229",746
その他_土管・ヒューム管等に挟まれ,10,7,4,-,1,-,3,-,38,10,8,2,-,10,-,-,-,-,8,-,18,162,83
その他_自転車のリム等に挟まれ,72,46,46,-,5,30,11,-,213,60,17,11,-,71,-,-,-,-,54,-,99,878,416
その他_自動車内で病気になった等,149,93,93,7,22,38,17,9,468,167,63,19,1,148,-,-,-,-,67,3,218,"1,915",900
その他_その他の屋外での事故,504,291,316,41,61,97,75,42,"1,898",556,287,68,1,532,7,9,3,7,380,48,732,"8,025","3,204"
