施設区分,件数（件）,割合（%）
屋内貯蔵所,1666,13.3
屋外タンク貯蔵所,338,2.7
屋内タンク貯蔵所,1141,9.1
地下タンク貯蔵所,2970,23.8
簡易タンク貯蔵所,10,0.1
移動タンク貯蔵所,1512,12.1
屋外貯蔵所,159,1.3
給油取扱所,1639,13.1
販売取扱所,284,2.3
移送取扱所,11,0.1
一般取扱所,2698,21.6
製造所,64,0.5
合計,12492,100
