年/前年比,２年,前年比
火災件数_合計（件）,3694,-395
火災種別_建物（件）,2667,-237
火災種別_林野（件）,1,-4
火災種別_車両（件）,216,10
火災種別_船舶（件）,0,-1
火災種別_航空機（件）,0,-
火災種別_その他（件）,809,-160
治外法権（件）,1,-2
管外からの延焼火災（件）,0,-1
火災による死者（人）,86,-22
火災による負傷者（人）,710,5
焼損床面積（?）,16136,-2159
焼損棟数（棟）,3028,-256
り災世帯数（世帯）,2239,-96
損害額（円）,5601522177,-2087419243
