消防署,計,（一）・イ,（一）・ロ,（二）・イ,（二）・ロ,（二）・ハ,（二）・ニ,（三）・イ,（三）・ロ,（四）,（五）・イ,（五）・ロ,（六）・イ,（六）・ロ・（1）,（六）・ロ・（2）,（六）・ロ・（3）,（六）・ロ・（4）,（六）・ロ・（5）,（六）・ハ・（1）,（六）・ハ・（2）,（六）・ハ・（3）,（六）・ハ・（4）,（六）・ハ・（5）,（六）・ニ,（七）,（八）,（九）・イ,（九）・ロ,（十）,十一,十二・イ,十二・ロ,十三・イ,十三・ロ,十四,十五,十六・イ,十六・ロ,十七,危険物製造所等・製造所,危険物製造所等・貯蔵所,危険物製造所等・取扱所,貯蔵取扱所少量危険物,貯蔵取扱所指定可燃物,,,,,,,,,
令和2年度,"8,219",4,3,-,6,-,2,1,237,355,169,"2,782",-,7,6,37,17,-,-,-,3,9,1,82,3,30,50,211,13,-,11,63,174,371,-,50,-,269,548,1049,852,-,-,20,-,-,-,1,191,592,-,-,-
特別区,"5,888",2,2,-,4,-,-,-,164,196,73,"2,178",-,4,3,22,10,-,-,-,-,5,1,51,2,12,26,144,8,-,7,46,141,251,-,40,-,183,386,805,565,-,-,15,-,-,-,-,126,416,-,-,-
丸の内,96,-,2,-,1,-,-,-,51,6,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,2,7,14,-,-,-,-,-,-,-,-,7,4,-,-,-
麹町,33,-,-,-,-,-,-,-,3,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,3,11,6,-,-,-,-,-,-,-,8,-,-,-,-
神田,80,-,-,-,-,-,-,-,1,-,-,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-,3,-,-,41,4,16,-,-,-,-,-,-,-,3,2,-,-,-
京橋,122,-,-,-,-,-,-,-,10,3,2,14,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11,71,6,-,-,-,-,-,-,-,3,-,-,-,-
日本橋,10,-,-,-,-,-,-,-,-,-,2,1,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4,1,-,-,-,-,-,-,-,-,1,-,-,-
臨港,20,-,-,-,-,-,-,-,6,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,1,2,-,-,-,-,-,-,-,1,1,-,-,-
芝,73,-,-,-,-,-,-,-,1,-,1,62,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,1,2,2,-,-,-,-,-,-,-,2,-,-,-,-
麻布,39,-,-,-,-,-,-,-,2,3,-,16,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,-,8,6,1,-,-,-,-,-,-,-,-,-,-,-,-
赤坂,31,-,-,-,-,-,-,-,4,1,2,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,11,-,-,-,4,-,-,-,-,-,-,-,-,-
高輪,37,-,-,-,-,-,-,-,2,-,1,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,1,-,-,-,2,3,6,1,-,-,-,-,-,-,-,9,8,-,-,-
品川,71,-,-,-,-,-,-,-,-,1,-,15,-,-,-,-,1,-,-,-,-,-,-,3,-,-,-,-,-,-,-,-,2,8,-,1,-,4,3,12,7,-,-,-,-,-,-,-,9,5,-,-,-
大井,232,-,-,-,-,-,-,-,-,1,-,152,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,4,5,-,1,-,2,23,3,23,-,-,-,-,-,-,-,4,9,-,-,-
荏原,10,-,-,-,-,-,-,-,3,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,2,-,-,-,-,-,-,-,-,-,-,-,-
大森,83,-,-,-,1,-,-,-,1,4,-,12,-,-,-,-,-,-,-,-,-,-,-,3,-,-,6,2,1,-,-,3,11,6,-,-,-,5,9,11,4,-,-,-,-,-,-,-,1,3,-,-,-
田園調布,57,-,-,-,-,-,-,-,1,1,-,25,-,-,-,-,-,-,-,-,-,-,-,1,-,-,3,2,-,-,-,-,3,-,-,1,-,-,3,9,1,-,-,-,-,-,-,-,-,7,-,-,-
蒲田,238,-,-,-,1,-,-,-,6,16,3,99,-,1,-,1,1,-,-,-,-,-,1,-,-,2,1,1,-,-,-,2,7,9,-,-,-,3,9,19,24,-,-,1,-,-,-,-,2,29,-,-,-
矢口,321,-,-,-,-,-,-,-,1,10,-,167,-,-,-,1,-,-,-,-,-,-,-,6,-,-,2,-,-,-,-,4,3,17,-,5,-,-,9,34,58,-,-,-,-,-,-,-,2,2,-,-,-
目黒,80,-,-,-,-,-,-,-,1,-,-,28,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-,1,-,-,-,-,10,18,7,-,-,-,-,-,-,-,12,1,-,-,-
世田谷,96,-,-,-,-,-,-,-,-,3,-,82,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,3,-,-,-,-,-,-,-,-,2,-,-,-
玉川,74,-,-,-,-,-,-,-,2,16,-,1,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,2,3,1,-,-,-,-,3,30,6,-,-,-,-,-,-,-,1,7,-,-,-
成城,97,1,-,-,-,-,-,-,2,10,-,9,-,-,2,2,2,-,-,-,-,1,-,2,1,-,-,6,-,-,-,-,1,-,-,-,-,2,8,20,3,-,-,-,-,-,-,-,5,20,-,-,-
渋谷,256,1,-,-,-,-,-,-,1,-,-,199,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,8,11,32,-,-,-,-,-,-,-,1,1,-,-,-
四谷,10,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,2,-,-,-,-
牛込,80,-,-,-,-,-,-,-,2,1,-,32,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,6,-,-,-,-,-,6,17,5,-,-,-,-,-,-,-,2,8,-,-,-
新宿,30,-,-,-,-,-,-,-,-,1,1,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,-,1,1,-,-,-,-,4,3,3,-,-,-,-,-,-,-,-,-,-,-,-
中野,19,-,-,-,-,-,-,-,-,-,-,12,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,3,-,-,-,-,-,-,-,-,3,-,-,-
野方,61,-,-,-,-,-,-,-,2,1,-,22,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,6,-,-,-,-,5,1,-,2,-,-,9,8,3,-,-,-,-,-,-,-,-,1,-,-,-
杉並,78,-,-,-,-,-,-,-,4,-,-,16,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-,7,-,-,1,-,4,1,-,1,-,2,6,15,8,-,-,-,-,-,-,-,-,10,-,-,-
荻窪,104,-,-,-,-,-,-,-,1,2,-,28,-,-,-,1,1,-,-,-,-,-,-,-,-,1,-,2,-,-,-,-,-,8,-,-,-,1,7,19,23,-,-,-,-,-,-,-,8,2,-,-,-
小石川,81,-,-,-,-,-,-,-,-,-,1,36,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,1,4,7,2,-,-,-,-,5,8,4,-,-,-,-,-,-,-,5,6,-,-,-
本郷,100,-,-,-,-,-,-,-,-,-,-,33,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,17,-,-,-,-,3,-,-,-,-,2,8,14,4,-,-,5,-,-,-,-,-,14,-,-,-
豊島,17,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9,-,-,-,-,-,-,-,-,-,6,-,-,-
池袋,70,-,-,-,-,-,-,-,1,2,2,5,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,5,2,3,-,-,-,3,2,31,6,-,-,2,-,-,-,-,-,4,-,-,-
王子,31,-,-,-,-,-,-,-,-,2,-,4,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-,3,-,2,4,5,3,-,-,-,-,-,-,-,2,4,-,-,-
赤羽,154,-,-,-,-,-,-,-,1,6,3,42,-,1,-,-,-,-,-,-,-,-,-,1,-,-,4,8,-,-,-,5,11,11,-,3,-,13,8,14,8,-,-,-,-,-,-,-,-,15,-,-,-
滝野川,102,-,-,-,-,-,-,-,-,3,1,42,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,3,-,-,-,1,7,10,20,-,-,-,-,-,-,-,-,8,-,-,-
板橋,105,-,-,-,-,-,-,-,-,1,3,63,-,-,-,-,-,-,-,-,-,-,-,2,-,1,-,4,-,-,-,3,3,-,-,-,-,-,4,3,1,-,-,-,-,-,-,-,9,8,-,-,-
志村,245,-,-,-,-,-,-,-,2,8,-,97,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,35,-,3,-,7,18,15,51,-,-,-,-,-,-,-,-,7,-,-,-
練馬,123,-,-,-,-,-,-,-,2,4,-,66,-,-,-,1,1,-,-,-,-,-,-,3,-,1,-,-,-,-,-,-,1,1,-,-,-,-,5,11,18,-,-,-,-,-,-,-,-,9,-,-,-
