類別,計,製造所,貯蔵所・小計,貯蔵所・屋内,貯蔵所・屋外タンク,貯蔵所・屋内タンク,貯蔵所・地下タンク,貯蔵所・簡易タンク,貯蔵所・移動タンク,貯蔵所・屋外,取扱所・小計,取扱所・給油,取扱所・第１種販売,取扱所・第２種販売,取扱所・移送,取扱所・一般
平成27年度末,"12,741",78,"8,029","1,789",384,"1,133","2,910",8,"1,633",172,"4,634","1,790",245,93,13,"2,493"
平成27年度末（島しょ）,436,-,307,23,104,17,59,1,58,45,129,64,-,-,11,54
平成28年度末,"12,631",75,"7,953","1,762",371,"1,147","2,911",8,"1,585",169,"4,603","1,751",231,94,13,"2,514"
平成28年度末（島しょ）,432,-,302,23,105,17,56,1,55,45,130,65,-,-,11,54
平成29年度末,"12,626",70,"7,941","1,748",366,"1,168","2,928",8,"1,552",171,"4,615","1,715",225,92,13,"2,570"
平成29年度末（島しょ）,441,-,313,23,104,16,57,1,56,56,128,65,-,-,11,52
平成30年度末,"12,599",68,"7,914","1,724",352,"1,165","2,958",7,"1,546",162,"4,617","1,690",216,91,12,"2,608"
平成30年度末（島しょ）,436,-,309,23,104,17,55,1,57,52,127,64,-,-,11,52
令和元年度末,12516,65,7819,1695,345,1146,2971,7,1497,158,4632,1661,207,89,11,2664
令和元年度末（島しょ）,432,-,303,20,104,17,55,1,55,51,129,64,-,-,10,55
5倍以下,4762,21,3581,971,63,616,1003,7,872,49,1160,28,77,-,-,1055
5倍以下（島しょ）,124,-,97,8,12,8,27,1,28,13,27,8,-,-,-,19
5倍をこえ10倍以下,2682,20,1628,362,39,465,618,-,77,67,1034,116,50,-,-,868
5倍をこえ11倍以下（島しょ）,79,-,58,2,4,9,11,-,4,28,21,3,-,-,-,18
10倍をこえ50倍以下,2913,15,1644,310,87,65,930,-,217,35,1254,432,80,89,-,653
10倍をこえ51倍以下（島しょ）,88,-,63,6,24,-,11,-,14,8,25,13,-,-,-,12
50倍をこえ100倍以下,783,5,530,24,31,-,250,-,224,1,248,204,-,-,4,40
50倍をこえ101倍以下（島しょ）,66,-,33,4,14,-,5,-,9,1,33,26,-,-,4,3
100倍をこえ150倍以下,334,-,197,11,31,-,78,-,76,1,137,132,-,-,-,5
100倍をこえ151倍以下（島しょ）,37,-,26,-,26,-,-,-,-,-,11,10,-,-,-,1
150倍をこえ200倍以下,238,-,62,3,11,-,39,-,5,4,176,172,-,-,-,4
150倍をこえ201倍以下（島しょ）,6,-,1,-,-,-,-,-,-,1,5,4,-,-,-,1
"200倍をこえ1,000倍以下",740,3,136,13,46,-,50,-,26,1,601,573,-,-,4,24
"200倍をこえ1,001倍以下（島しょ）",23,-,18,-,17,-,1,-,-,-,5,-,-,-,4,1
"1,000倍をこえ5,000倍以下",41,1,22,1,18,-,3,-,-,-,18,4,-,-,2,12
"1,000倍をこえ5,001倍以下（島しょ）",9,-,7,-,7,-,-,-,-,-,2,-,-,-,2,-
"5,000倍をこえ10,000倍以下",17,-,16,-,16,-,-,-,-,-,1,-,-,-,-,1
"5,000倍をこえ10,001倍以下（島しょ）",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"10,000倍をこえるもの",6,-,3,-,3,-,-,-,-,-,3,-,-,-,1,2
"10,001倍をこえるもの（島しょ）",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
