科目,令和2年度（千円）,令和元年度（千円）,対前年増減（千円）,増減率 （％）
合計,252278859,263376056,-11097197,-4.213441863
消防費,252272376,263376056,-11103680,-4.215903362
消防費_消防管理費,197904971,199851755,-1946784,-0.974114038
消防費_消防活動費,24096405,26029000,-1932595,-7.424776211
消防費_消防団費,3927000,3927000,0,0
消防費_退職手当及年金費,8539000,11574301,-3035301,-26.22448647
消防費_建設費,17805000,21994000,-4189000,-19.04610348
諸支出金,6483,0,6483,-
諸支出金_諸費,6483,0,6483,-
