年次,放置・忘れるの理由・計,放置・忘れるの理由・電話,放置・忘れるの理由・来客,放置・忘れるの理由・外出,放置・忘れるの理由・食事,"放置・忘れるの理由・他の部屋での仕事","放置・忘れるの理由・他の部屋で片付け",放置・忘れるの理由・その場を離れて雑談,放置・忘れるの理由・子供の世話,放置・忘れるの理由・テレビ,放置・忘れるの理由・新聞等,放置・忘れるの理由・用便,放置・忘れるの理由・洗濯,放置・忘れるの理由・掃除,"放置・忘れるの理由・寝込んだ",放置・忘れるの理由・その他
平成28年,178,3,7,17,10,38,10,11,7,19,2,11,3,-,17,23
平成29年,192,6,4,13,15,54,13,16,3,20,2,8,7,-,23,8
平成30年,140,3,4,12,13,55,4,10,3,15,-,2,-,1,10,8
令和元年,140,1,5,9,10,42,3,10,1,9,-,6,2,2,11,29
令和2年,142,2,2,9,10,30,9,12,6,12,-,11,3,1,15,20
