風速,計・火災件数,計・建物火災・件数(A),計・建物火災・全、半、部分焼・件数(B),計・建物火災・全、半、部分焼・焼損床面積（㎡）(C),計・比率・延焼率(％)(B)/(A),"計・比率・焼損床面積1件当たりの延焼火災（㎡）(C)/(B)",湿度50％未満・火災件数,湿度50％未満・建物火災・件数(A),湿度50％未満・建物火災・全、半、部分焼・件数(B),湿度50％未満・建物火災・全、半、部分焼・焼損床面積（㎡）(C),湿度50％未満・比率・延焼率(％)(B)/(A),"湿度55％未満・比率・焼損床面積1件当たりの延焼火災（㎡）(C)/(B)",湿度50％以上60％未満・火災件数,湿度50％以上60％未満・建物火災・件数(A),湿度50％以上60％未満・建物火災・全、半、部分焼・件数(B),湿度50％以上60％未満・建物火災・全、半、部分焼・焼損床面積（㎡）(C),湿度50％以上60％未満・比率・延焼率(％)(B)/(A),"湿度50％以上60％未満・比率・焼損床面積
1件当たりの
延焼火災（㎡）(C)/(B)",湿度60％以上70％未満・火災件数,湿度60％以上70％未満・建物火災・件数(A),湿度60％以上70％未満・建物火災・全、半、部分焼・件数(B),湿度60％以上70％未満・建物火災・全、半、部分焼・焼損床面積（㎡）(C),湿度60％以上70％未満・比率・延焼率(％)(B)/(A),"湿度60％以上70％未満・比率・焼損床面積1件当たりの延焼火災（㎡）(C)/(B)",湿度70％以上・火災件数,湿度70％以上・建物火災・件数(A),湿度70％以上・建物火災・全、半、部分焼・件数(B),湿度70％以上・建物火災・全、半、部分焼・焼損床面積（㎡）(C),湿度70％以上・比率・延焼率(％)(B)/(A),"湿度75％以上・比率・焼損床面積1件当たりの延焼火災（㎡）(C)/(B)"
平成28年,"3,581","2,526",576,"17,512",22.8,30.4,584,407,115,"4,910",28.3,42.7,760,521,115,"2,761",22.1,24,776,559,129,"3,673",23.1,28.5,1461,1039,217,"6,168",20.9,28.4
平成29年,"3,740","2,573",629,"20,712",24.4,32.9,830,544,140,"5,072",25.7,36.2,730,492,125,"5,483",25.4,43.9,806,551,135,"3,189",24.5,23.6,"1,374",986,229,"6,968",23.2,30.4
平成30年,"3,545","2,430",587,"18,576",24.2,31.6,599,411,121,"3,942",29.4,32.6,589,408,106,"3,404",26,32.1,825,529,111,"4,513",21,40.7,1532,1082,249,"6,717",23,27
令和元年,"3,671","2,597",617,"18,293",23.8,29.6,749,519,146,"4,772",28.1,32.7,666,453,130,"3,525",28.7,27.1,757,530,113,"3,841",21.3,34,"1,499",1095,228,"6,155",20.8,27
令和2年,"3,258","2,395",537,"16,133",22.4,30,561,413,113,"2,768",27.4,24.5,530,387,89,"1,963",23,22.1,706,498,112,"5,536",22.5,49.4,"1,461","1,097",223,"5,866",20.3,26.3
１m/sec未満,89,68,14,322,20.6,23,10,10,1,50,10,50,16,13,5,170,38.5,34,22,15,1,5,6.7,5,41,30,7,97,23.3,13.9
１m/sec以上２m/sec未満,543,417,108,"2,736",25.9,25.3,69,55,18,478,32.7,26.6,92,72,17,710,23.6,41.8,113,83,18,247,21.7,13.7,269,207,55,"1,301",26.6,23.7
２～３m/sec,933,695,162,"7,090",23.3,43.8,133,100,26,780,26,30,160,115,22,75,19.1,3.4,210,154,43,3835,27.9,89.2,430,326,71,"2,400",21.8,33.8
３～４m/sec,730,555,110,"2,349",19.8,21.4,124,97,27,477,27.8,17.7,110,88,17,469,19.3,27.6,157,111,24,700,21.6,29.2,339,259,42,703,16.2,16.7
４～５m/sec,426,294,64,"1,518",21.8,23.7,91,61,17,252,27.9,14.8,77,49,14,253,28.6,18.1,88,68,16,214,23.5,13.4,170,116,17,799,14.7,47
５～６m/sec,264,182,39,1034,21.4,26.5,66,47,10,111,21.3,11.1,36,27,9,87,33.3,9.7,54,28,4,515,14.3,128.8,108,80,16,321,20,20.1
６～７m/sec,114,79,20,385,25.3,19.3,26,18,8,219,44.4,27.4,17,9,3,22,33.3,7.3,27,17,1,-,5.9,-,44,35,8,144,22.9,18
７～８m/sec,70,45,10,365,22.2,36.5,17,10,4,167,40,41.8,10,8,1,175,12.5,175,14,6,3,20,50,6.7,29,21,2,3,9.5,1.5
８～９m/sec,47,33,6,295,18.2,49.2,14,9,2,234,22.2,117,6,3,-,-,-,-,13,10,-,-,-,-,14,11,4,61,36.4,15.3
９～10m/sec,17,8,1,2,12.5,2,5,2,-,-,-,-,2,1,1,2,100,2,2,-,-,-,-,-,8,5,-,-,-,-
10m/sec以上,25,19,3,37,15.8,12.3,6,4,-,-,-,-,4,2,-,-,-,-,6,6,2,-,33.3,-,9,7,1,37,14.3,37
