発火源,火災件数
合計,3693
電気を使用する道具・装置,1247
電気を使用する道具・装置_電熱器,186
電気を使用する道具・装置_電熱器_電気こんろ,7
電気を使用する道具・装置_電熱器_電気クッキングヒータ,23
電気を使用する道具・装置_電熱器_電気ポット,4
電気を使用する道具・装置_電熱器_電気魚焼器,1
電気を使用する道具・装置_電熱器_電気トースタ,17
電気を使用する道具・装置_電熱器_電子ジャー・ジャー炊飯器,3
電気を使用する道具・装置_電熱器_電気オーブン,4
電気を使用する道具・装置_電熱器_ホットプレート,2
電気を使用する道具・装置_電熱器_電気なべ,3
電気を使用する道具・装置_電熱器_電気コーヒー沸器,1
電気を使用する道具・装置_電熱器_電気蒸器,2
電気を使用する道具・装置_電熱器_電気湯（茶）沸器,2
電気を使用する道具・装置_電熱器_コーヒー焙煎器,1
電気を使用する道具・装置_電熱器_電気温水機,2
電気を使用する道具・装置_電熱器_電気フライヤ,1
電気を使用する道具・装置_電熱器_ハロゲンヒータ（厨房器具）,2
電気を使用する道具・装置_電熱器_電気ストーブ,48
電気を使用する道具・装置_電熱器_温風機,4
電気を使用する道具・装置_電熱器_電気こたつ,1
電気を使用する道具・装置_電熱器_電気布団,1
電気を使用する道具・装置_電熱器_電気毛布,1
電気を使用する道具・装置_電熱器_カーペット類,2
電気を使用する道具・装置_電熱器_オイルヒータ,3
電気を使用する道具・装置_電熱器_電気足温器,1
電気を使用する道具・装置_電熱器_便所用温水温風機（洗浄含む）,3
電気を使用する道具・装置_電熱器_電気アイロン,6
電気を使用する道具・装置_電熱器_ヘアードライヤ,13
電気を使用する道具・装置_電熱器_鑑賞魚用ヒータ,1
電気を使用する道具・装置_電熱器_電気布団乾燥機,3
電気を使用する道具・装置_電熱器_電気乾燥機,1
電気を使用する道具・装置_電熱器_サウナヒータ,3
電気を使用する道具・装置_電熱器_電気滅菌器　　　　　　　　　,1
電気を使用する道具・装置_電熱器_電気溶接器　　　　　　　　　,10
電気を使用する道具・装置_電熱器_小型電気炉　　　　　　　　　,1
電気を使用する道具・装置_電熱器_投込湯沸器　　　　　　　　　,6
電気を使用する道具・装置_電熱器_熱風機（ホットエアガン）,2
電気を使用する道具・装置_電気機器,532
電気を使用する道具・装置_電気機器_電気冷蔵庫　　　　　　　　　,5
電気を使用する道具・装置_電気機器_電磁調理器　　　　　　　　　,23
電気を使用する道具・装置_電気機器_電子レンジ　　　　　　　　　,51
電気を使用する道具・装置_電気機器_換気扇　　　　　　　　　　　,7
電気を使用する道具・装置_電気機器_冷凍庫　　　　　　　　　　　,5
電気を使用する道具・装置_電気機器_冷蔵ショーケース　　　　　　,4
電気を使用する道具・装置_電気機器_冷凍ショーケース　　　　　　,2
電気を使用する道具・装置_電気機器_ジューサ　　　　　　　　　,9
電気を使用する道具・装置_電気機器_食器洗器　　　　　　　　　　,9
電気を使用する道具・装置_電気機器_電気温蔵庫,2
電気を使用する道具・装置_電気機器_扇風機　　　　　　　　　　　,3
電気を使用する道具・装置_電気機器_冷房機　　　　　　　　　　　,3
電気を使用する道具・装置_電気機器_冷暖房機　　　　　　　　　　,19
電気を使用する道具・装置_電気機器_サーキュレータ　　　　　　,2
電気を使用する道具・装置_電気機器_空気清浄機　　　　　　　　　,1
電気を使用する道具・装置_電気機器_除湿機　　　　　　　　　　　,1
電気を使用する道具・装置_電気機器_加湿機　　　　　　　　　　　,1
電気を使用する道具・装置_電気機器_ハロゲンヒータ（暖房器具）,4
電気を使用する道具・装置_電気機器_カーボンヒータ,13
電気を使用する道具・装置_電気機器_白熱電球　　　　　　　　　　,8
電気を使用する道具・装置_電気機器_白熱灯スタンド　　　　　　　,2
電気を使用する道具・装置_電気機器_蛍光灯　　　　　　　　　　　,39
電気を使用する道具・装置_電気機器_蛍光灯スタンド　　　　　　　,2
電気を使用する道具・装置_電気機器_ブラケット　　　　　　　　　,4
電気を使用する道具・装置_電気機器_シーリングライト　　　　　　,4
電気を使用する道具・装置_電気機器_ダウンライト　　　　　　　　,6
電気を使用する道具・装置_電気機器_スポットライト　　　　　　　,1
電気を使用する道具・装置_電気機器_投光器　　　　　　　　　　　,2
電気を使用する道具・装置_電気機器_水銀灯　　　　　　　　　　　,2
電気を使用する道具・装置_電気機器_器具外付け安定器　　　　　　,4
電気を使用する道具・装置_電気機器_看板灯　　　　　　　　　　　,3
電気を使用する道具・装置_電気機器_ネオン灯配線　　　　　　　　,3
電気を使用する道具・装置_電気機器_ネオントランス　　　　　　　,1
電気を使用する道具・装置_電気機器_電気表示板（盤）　　　　　　,2
電気を使用する道具・装置_電気機器_ペンダントライト,7
電気を使用する道具・装置_電気機器_ハロゲンランプ,8
電気を使用する道具・装置_電気機器_メタルハライドランプ,1
電気を使用する道具・装置_電気機器_クリップライト,4
電気を使用する道具・装置_電気機器_クリプトン電球,3
電気を使用する道具・装置_電気機器_ＬＥＤ,22
電気を使用する道具・装置_電気機器_ステレオ　　　　　　　　　　,1
電気を使用する道具・装置_電気機器_スピーカ　　　　　　　　　,2
電気を使用する道具・装置_電気機器_レコードプレーヤ　,1
電気を使用する道具・装置_電気機器_ＬＤ・ＣＤ・ＭＤ・ＤＶＤプレーヤ　　　　,2
電気を使用する道具・装置_電気機器_無線通信用設備機器　　　　　,1
電気を使用する道具・装置_電気機器_インターホン　　　　　　　　,3
電気を使用する道具・装置_電気機器_テレビ（液晶モニタ式）,1
電気を使用する道具・装置_電気機器_テレビ（プラズマ式）,1
電気を使用する道具・装置_電気機器_洗濯機　　　　　　　　　　　,3
電気を使用する道具・装置_電気機器_脱水機　　　　　　　　　　　,1
電気を使用する道具・装置_電気機器_掃除機　　　　　　　　　　　,14
電気を使用する道具・装置_電気機器_充電式カミソリ　　　　　　　,1
電気を使用する道具・装置_電気機器_鑑賞魚用ポンプモータ,1
電気を使用する道具・装置_電気機器_洗濯乾燥機　　　　　　　　　,2
電気を使用する道具・装置_電気機器_電気美容器具　　　　　　　　,3
電気を使用する道具・装置_電気機器_電動ミシン　　　　　　　　　,1
電気を使用する道具・装置_電気機器_浴室換気・乾燥・暖房機,1
電気を使用する道具・装置_電気機器_光線治療機　　　　　　　　　,1
電気を使用する道具・装置_電気機器_Ｘ線装置（周辺機器を含む）　,1
電気を使用する道具・装置_電気機器_電話機　　　　　　　　　　　,1
電気を使用する道具・装置_電気機器_直流電源装置（ＡＣアダプタ含む）,24
電気を使用する道具・装置_電気機器_コンピュータ（本体）　　　　,15
電気を使用する道具・装置_電気機器_コンピュータ（ハードディスク）,1
電気を使用する道具・装置_電気機器_コンピュータ（モニタ）　　,3
電気を使用する道具・装置_電気機器_コンピュータ（プリンタ）　,2
電気を使用する道具・装置_電気機器_加算機　　　　　　　　　　　,2
電気を使用する道具・装置_電気機器_携帯電話機,18
電気を使用する道具・装置_電気機器_ネットワーク関係（ルータ等）,4
電気を使用する道具・装置_電気機器_自動販売機　　　　　　　　　,2
電気を使用する道具・装置_電気機器_自動現金支払機　　　　　　　,1
電気を使用する道具・装置_電気機器_電気ドリル　　　　　　　　　,3
電気を使用する道具・装置_電気機器_印刷機　　　　　　　　　　　,3
電気を使用する道具・装置_電気機器_送（排）風機　　　　　　　　,1
電気を使用する道具・装置_電気機器_洗浄機　　　　　　　　　　　,3
電気を使用する道具・装置_電気機器_研磨機（グラインダ含む）,3
電気を使用する道具・装置_電気機器_電動遊技（戯）機器　　　　　,3
電気を使用する道具・装置_電気機器_電気のこぎり　　　　　　　　,1
電気を使用する道具・装置_電気機器_旋盤　　　　　　　　　　　　,1
電気を使用する道具・装置_電気機器_床みがき機　　　　　　　　　,1
電気を使用する道具・装置_電気機器_レーザー加工機　　　　　　　,2
電気を使用する道具・装置_電気機器_水浄化装置　　　　　　　　　,2
電気を使用する道具・装置_電気機器_空気圧縮機　　　　　　　　　,1
電気を使用する道具・装置_電気機器_水中ポンプ　　　　　　　　　,2
電気を使用する道具・装置_電気機器_包装機（結束機を含む）　　　,2
電気を使用する道具・装置_電気機器_充電式電池　　　　　　　　　,81
電気を使用する道具・装置_電気機器_蓄電池　　　　　　　　　　　,7
電気を使用する道具・装置_電気機器_リチウム電池　　　　　　　　,2
電気を使用する道具・装置_電気機器_無停電電源装置,2
電気を使用する道具・装置_電気機器_太陽光発電装置,1
電気を使用する道具・装置_電気機器_ニッケル水素電池,2
電気を使用する道具・装置_電気機器_燃料ポンプ,3
電気を使用する道具・装置_電気装置,88
電気を使用する道具・装置_電気装置_配電用変圧器　　　　　　　　,5
電気を使用する道具・装置_電気装置_整流器　　　　　　　　　　　,2
電気を使用する道具・装置_電気装置_充電器　　　　　　　　　　　,2
電気を使用する道具・装置_電気装置_計器用変成器　　　　　　　　,1
電気を使用する道具・装置_電気装置_計器用変圧器　　　　　　　　,1
電気を使用する道具・装置_電気装置_計器用変流器　　　　　　　　,1
電気を使用する道具・装置_電気装置_トランス　　　　　　　　　　,7
電気を使用する道具・装置_電気装置_単相モータ　　　　,2
電気を使用する道具・装置_電気装置_三相モータ　,10
電気を使用する道具・装置_電気装置_セルモータ　　　　　　　,6
電気を使用する道具・装置_電気装置_オルタネータ　　,4
電気を使用する道具・装置_電気装置_直流モータ,1
電気を使用する道具・装置_電気装置_コンデンサ（低圧）　　　　,13
電気を使用する道具・装置_電気装置_コンデンサリアクトル　　　,4
電気を使用する道具・装置_電気装置_制御盤　　　　　　　　　　　,16
電気を使用する道具・装置_電気装置_分電盤　　　　　　　　　　　,13
電気を使用する道具・装置_電灯・電話等の配線,162
電気を使用する道具・装置_電灯・電話等の配線_送電線　　　　　　　　　　　,1
電気を使用する道具・装置_電灯・電話等の配線_配電線（高圧）　　　　　　　,20
電気を使用する道具・装置_電灯・電話等の配線_配電線（低圧）　　　　　　　,1
電気を使用する道具・装置_電灯・電話等の配線_き電線（高圧）　　　　　　　,1
電気を使用する道具・装置_電灯・電話等の配線_き電線（低圧）　　　　　　　,1
電気を使用する道具・装置_電灯・電話等の配線_引込線（高圧）　　　　　　　,1
電気を使用する道具・装置_電灯・電話等の配線_引込線（低圧）　　　　　　　,7
電気を使用する道具・装置_電灯・電話等の配線_屋外線　　　　　　　　　　　,5
電気を使用する道具・装置_電灯・電話等の配線_屋側線　　　　　　　　　　　,2
電気を使用する道具・装置_電灯・電話等の配線_屋内線　　　　　　　　　　　,28
電気を使用する道具・装置_電灯・電話等の配線_変電設備内配線　　　　　　　,3
電気を使用する道具・装置_電灯・電話等の配線_コード　　　　　　　　　　　,60
電気を使用する道具・装置_電灯・電話等の配線_接地線（第Ｄ種）　　　　　　,1
電気を使用する道具・装置_電灯・電話等の配線_交通機関内配線　　　　　　　,26
電気を使用する道具・装置_電灯・電話等の配線_スパークプラグ　　　　　　　,1
電気を使用する道具・装置_電灯・電話等の配線_ディストリビュータ,3
電気を使用する道具・装置_電灯・電話等の配線_イグニッションコイル　　　　,1
電気を使用する道具・装置_配線器具関連,274
電気を使用する道具・装置_配線器具関連_タイムスイッチ　　　　　　　,3
電気を使用する道具・装置_配線器具関連_タンブラースイッチ　　　　　,4
電気を使用する道具・装置_配線器具関連_街頭スイッチ　　　　　　　　,4
電気を使用する道具・装置_配線器具関連_調光器,2
電気を使用する道具・装置_配線器具関連_ナイフスイッチ　　　　　　　,1
電気を使用する道具・装置_配線器具関連_箱開閉器　　　　　　　　　　,1
電気を使用する道具・装置_配線器具関連_電磁開閉器　　　　　　　　　,5
電気を使用する道具・装置_配線器具関連_配線用遮断器　　　　　　　　,15
電気を使用する道具・装置_配線器具関連_電流制限器　　　　　　　　　,3
電気を使用する道具・装置_配線器具関連_漏電遮断器　　　　　　　　　,19
電気を使用する道具・装置_配線器具関連_継電器　　　　　　　　　　　,3
電気を使用する道具・装置_配線器具関連_断路器（ジスコン）　　　　　,3
電気を使用する道具・装置_配線器具関連_真空遮断器　　　　　　　　　,3
電気を使用する道具・装置_配線器具関連_電磁接触器,3
電気を使用する道具・装置_配線器具関連_気中開閉器,2
電気を使用する道具・装置_配線器具関連_ガス開閉器,1
電気を使用する道具・装置_配線器具関連_避雷器,1
電気を使用する道具・装置_配線器具関連_差し込みプラグ　　　　　　　,62
電気を使用する道具・装置_配線器具関連_コンセント　　　　　　　　　,59
電気を使用する道具・装置_配線器具関連_電灯付家具・コンセント付家具,5
電気を使用する道具・装置_配線器具関連_テーブルタップ　　　　　　　,30
電気を使用する道具・装置_配線器具関連_マルチタップ　　　　　　　　,21
電気を使用する道具・装置_配線器具関連_コードコネクタ　　　　　,14
電気を使用する道具・装置_配線器具関連_引掛ローゼット　　　　　　　,1
電気を使用する道具・装置_配線器具関連_アダプタ　　　　　　　,2
電気を使用する道具・装置_配線器具関連_ジョイントボックス　　　　　,2
電気を使用する道具・装置_配線器具関連_積算電力計　　　　　　　　　,5
電気を使用する道具・装置_漏電により発熱した部分,3
電気を使用する道具・装置_漏電により発熱した部分_壁に打込んだ釘　　　　　　　,1
電気を使用する道具・装置_漏電により発熱した部分_金属と接地線の接触部　　　　,1
電気を使用する道具・装置_漏電により発熱した部分_金属と金属の接触部　　　　　,1
電気を使用する道具・装置_静電スパーク,2
電気を使用する道具・装置_静電スパーク_その他の静電スパーク　　　　,2
ガス・油等を燃料とする道具装置,664
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置,485
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_ガスこんろ,47
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_ガステーブル,281
ガス・油等を燃料とする道具装置_都市ガスを用いる道具装置_大型ガスこんろ　　　　　　　,65
