年齢(歳),0～2,3～5,6～14,15～19,20～29,30～39,40～49,50～59,60～64,65～69,70～74,75以上
男(人),8740,4743,7649,5580,24222,22295,28895,36465,17801,21883,30491,111636
女(人),6598,3006,4312,5877,29179,22435,21793,23574,10390,12704,20556,144815
合計(人),15338,7749,11961,11457,53401,44730,50688,60039,28191,34587,51047,256451
