消防署,出場・従事件数・計出場,出場・従事件数・計従事,出場・従事件数・火災・出場,出場・従事件数・火災・従事,出場・従事件数・交通・出場,出場・従事件数・交通・従事,出場・従事件数・水難・出場,出場・従事件数・水難・従事,出場・従事件数・機械・出場,出場・従事件数・機械・従事,出場・従事件数・工作物建物・出場,出場・従事件数・工作物建物・従事,出場・従事件数・崩壊・出場,出場・従事件数・崩壊・従事,出場・従事件数・墜落・出場,出場・従事件数・墜落・従事,出場・従事件数・ガス・出場,出場・従事件数・ガス・従事,出場・従事件数・電気・出場,出場・従事件数・電気・従事,出場・従事件数・山岳・出場,出場・従事件数・山岳・従事,出場・従事件数・爆発・出場,出場・従事件数・爆発・従事,出場・従事件数・その他・出場,出場・従事件数・その他・従事,救助人員・計・,救助人員・計・重症,救助人員・計・中等症,救助人員・計・軽症,救助人員・計・無症,救助人員・計・死亡,救助人員・誘導人員・,出場車両数誘導人員・計,誘導人員・計・ポンプ車,誘導人員・計・救助車,誘導人員・計・化学車,誘導人員・計・はしご車,誘導人員・計・救急車,誘導人員・計・照明車,"誘導人員・計・救出救助車、水難救助車、指揮統制車",誘導人員・計・ヘリコプター,誘導人員・計・消防艇,誘導人員・計・指揮隊車,誘導人員・計・その他,従事台数,出場人員,従事人員
大森,385,285,3,3,86,84,1,1,5,4,270,181,-,-,7,5,1,1,-,-,-,-,-,-,12,6,315,46,98,119,22,30,2,"1,269",346,181,114,6,405,1,1,-,2,209,4,718,"5,258","2,839"
田園調布,253,186,2,2,26,21,2,2,3,-,213,157,-,-,2,1,-,-,-,-,-,-,-,-,5,3,170,27,78,45,14,6,-,814,248,106,47,3,252,1,2,-,-,148,7,444,"3,270","1,707"
蒲田,298,186,1,1,62,47,8,3,1,1,204,122,-,-,5,2,-,-,-,-,-,-,-,-,17,10,242,30,95,80,14,23,-,1138,372,163,9,2,359,3,11,-,4,193,22,543,"4,744","2,259"
矢口,203,151,1,1,21,18,6,3,1,1,168,125,-,-,4,2,-,-,-,-,-,-,-,-,2,1,147,21,54,28,13,31,-,692,184,110,55,1,200,2,5,2,-,125,8,382,"2,906","1,563"
目黒,373,253,1,1,49,48,2,1,2,-,304,194,-,-,7,2,2,2,-,-,-,-,-,-,6,5,263,35,90,66,33,39,-,"1,236",407,201,9,3,376,1,1,-,-,229,9,565,"5,232","2,431"
世田谷,607,420,5,5,88,76,-,-,2,1,481,320,-,-,17,10,1,1,-,-,-,-,-,-,13,7,446,81,130,126,54,55,6,"1,960",623,287,73,5,618,-,-,-,-,341,13,973,"7,977","3,863"
玉川,346,276,2,2,68,56,2,-,2,2,259,209,-,-,4,2,-,-,-,-,-,-,-,-,9,5,304,42,120,88,31,23,-,1063,406,126,7,2,362,2,4,-,-,149,5,623,"4,193","2,390"
成城,359,275,2,2,33,27,-,-,1,1,316,241,-,-,2,1,-,-,-,-,-,-,-,-,5,3,283,51,96,61,37,38,-,"1,153",415,170,-,3,362,-,-,-,-,193,10,574,"4,631","2,271"
渋谷,539,392,3,3,135,120,-,-,-,-,379,257,1,1,11,4,-,-,-,-,-,-,-,-,10,7,433,49,100,174,56,54,-,"1,787",643,255,2,6,566,-,-,-,-,290,25,871,"7,462","3,611"
四谷,94,59,1,1,17,16,-,-,1,1,69,40,-,-,5,1,-,-,-,-,-,-,-,-,1,-,67,16,18,21,4,8,-,327,115,48,-,3,98,-,-,-,-,61,2,161,"1,334",651
牛込,150,94,1,1,13,9,-,-,-,-,124,79,-,-,5,2,-,-,-,-,-,-,-,-,7,3,99,18,31,22,11,17,-,516,173,89,-,1,154,-,-,-,-,96,3,216,"2,166",907
新宿,463,265,1,1,64,58,2,2,4,2,347,186,1,-,34,8,1,1,-,-,-,-,-,-,9,7,289,28,79,79,47,56,1,"1,573",547,269,-,2,447,1,1,-,-,290,16,579,"6,805","2,581"
中野,262,190,1,1,31,29,1,1,-,-,215,151,-,-,6,2,-,-,-,-,-,-,-,-,8,6,197,21,65,67,22,22,-,849,307,126,-,3,266,-,-,-,-,142,5,406,"3,530","1,715"
野方,311,194,1,1,23,19,-,-,1,-,280,170,-,-,1,1,1,1,-,-,-,-,-,-,4,2,191,32,65,39,24,31,-,1060,281,183,52,2,316,-,-,-,-,212,14,405,"4,347","1,665"
杉並,505,310,3,3,66,60,1,1,-,-,414,234,2,1,7,2,3,3,-,-,-,-,-,-,9,6,301,43,87,92,43,36,2,"1,612",557,247,1,5,512,1,-,-,-,275,14,654,"6,487","2,676"
荻窪,372,291,6,6,60,55,1,1,2,1,294,224,-,-,3,-,1,1,-,-,-,-,-,-,5,3,297,34,88,97,31,47,8,"1,261",391,154,84,25,389,-,-,-,-,202,16,769,"5,048","3,123"
小石川,192,138,2,2,24,22,2,1,2,1,156,108,-,-,4,3,-,-,-,-,-,-,-,-,2,1,151,28,60,35,17,11,2,648,224,95,-,3,207,1,-,-,-,108,10,364,"2,647","1,460"
本郷,126,90,1,1,21,19,1,1,1,1,99,66,1,1,1,-,1,1,-,-,-,-,-,-,-,-,93,16,27,25,8,17,2,424,149,62,-,2,130,-,-,-,-,77,4,228,"1,751",957
豊島,310,196,2,2,41,33,-,-,4,1,246,153,-,-,11,3,-,-,-,-,-,-,-,-,6,4,201,39,66,35,28,33,-,1131,389,185,-,4,326,-,-,3,-,213,11,566,"4,908","2,498"
池袋,250,153,1,1,50,48,-,-,-,-,188,99,-,-,3,1,1,1,-,-,-,-,-,-,7,3,168,15,49,62,19,23,-,848,301,127,-,3,259,1,-,-,-,146,11,408,"3,497","1,707"
王子,245,179,1,1,16,16,2,2,-,-,219,154,-,-,1,1,-,-,-,-,-,-,-,-,6,5,168,18,51,45,16,38,-,863,222,146,48,7,249,-,6,-,3,174,8,422,"3,632","1,857"
赤羽,297,229,1,1,27,25,4,2,-,-,257,194,-,-,3,2,-,-,-,-,-,-,-,-,5,5,213,22,65,64,16,46,-,1038,276,178,60,1,303,1,6,-,5,202,6,546,"4,388","2,334"
滝野川,138,97,-,-,16,13,1,1,1,1,113,78,-,-,5,2,-,-,-,-,-,-,-,-,2,2,92,17,28,21,13,13,-,457,149,77,-,1,140,-,1,-,-,86,3,236,"1,877",973
板橋,415,289,1,1,75,73,-,-,1,1,316,200,-,-,9,6,2,2,-,-,-,-,-,-,11,6,325,39,115,84,38,49,-,"1,354",353,212,110,2,427,-,1,1,-,240,8,631,"5,567","2,632"
志村,697,525,2,2,99,86,5,1,-,-,574,426,1,1,8,4,-,-,-,-,-,-,-,-,8,5,533,66,194,124,45,104,-,"2,392",593,370,234,3,722,-,9,-,10,431,20,"1,081","9,798","4,592"
練馬,366,264,4,4,39,30,-,-,2,-,309,222,-,-,5,1,2,2,-,-,-,-,-,-,5,5,272,48,80,52,38,54,6,1258,297,200,143,5,364,-,-,1,-,235,13,647,"5,191","2,717"
光が丘,243,179,2,2,32,31,-,-,-,-,196,137,-,-,5,4,-,-,-,-,-,-,-,-,8,5,189,30,62,58,21,18,-,785,275,112,1,2,254,-,-,-,-,135,6,408,"3,232","1,680"
石神井,513,365,2,2,41,32,3,3,2,2,445,315,-,-,6,2,2,2,-,-,-,-,-,-,12,7,359,59,140,76,30,54,-,"1,631",572,252,2,4,516,-,4,-,-,274,7,866,"6,732","3,585"
上野,200,158,1,1,28,26,-,-,-,-,162,124,-,-,3,2,1,1,-,-,-,-,-,-,5,4,167,29,57,46,21,14,2,601,221,72,-,1,204,-,-,-,-,101,2,352,"2,609","1,555"
浅草,120,89,1,1,6,5,6,4,3,2,96,71,-,-,3,3,-,-,-,-,-,-,-,-,5,3,89,16,25,22,12,14,-,431,139,68,1,2,120,2,2,-,22,73,2,229,"1,920",1033
日本堤,127,89,3,3,3,1,5,5,2,2,105,72,-,-,4,3,2,2,-,-,-,-,-,-,3,1,88,18,22,16,14,18,-,480,173,71,2,3,128,2,2,-,15,78,6,255,"2,039","1,112"
荒川,228,168,-,-,21,19,4,3,3,-,189,139,-,-,1,1,-,-,-,-,-,-,-,-,10,6,171,41,54,38,19,19,-,736,233,112,29,1,222,1,5,-,7,121,5,357,"3,115","1,518"
尾久,165,111,-,-,1,1,6,4,3,-,147,101,-,-,3,3,-,-,-,-,-,-,-,-,5,2,115,36,35,12,20,12,-,568,115,97,67,-,164,2,12,-,6,102,3,250,"2,396",1049
千住,218,167,3,3,34,33,13,9,2,1,157,118,-,-,2,2,-,-,-,-,-,-,-,-,7,1,179,39,42,41,20,37,4,997,271,128,27,3,232,3,20,-,25,150,138,539,"3,781","2,020"
足立,698,521,5,5,97,85,10,5,4,2,546,396,-,-,5,3,1,1,-,-,-,-,-,-,30,24,454,105,142,186,-,21,-,"2,308",685,370,127,6,737,5,16,-,2,342,18,"1,104","9,291","4,547"
西新井,403,309,2,2,71,63,7,5,3,2,303,228,-,-,3,-,2,-,-,-,-,-,-,-,12,9,348,46,83,117,42,60,1,"1,385",474,213,9,3,420,3,12,1,8,234,8,676,"5,686","2,760"
本所,300,210,2,2,46,38,10,7,1,1,219,151,-,-,4,1,-,-,-,-,-,-,-,-,18,10,231,32,69,74,19,37,1,998,358,134,3,4,309,4,3,-,26,152,5,485,"4,253","2,113"
向島,261,167,3,3,33,28,8,3,-,-,211,131,-,-,3,1,-,-,-,-,-,-,-,-,3,1,160,27,46,45,17,25,-,881,250,111,89,7,268,6,9,-,12,125,4,429,"3,546","1,727"
深川,446,321,3,3,81,74,10,6,6,3,312,215,-,-,11,7,-,-,-,-,-,-,-,-,23,13,345,82,92,119,23,29,-,"1,532",486,209,65,6,468,3,3,1,18,248,25,858,"6,458","3,555"
城東,492,359,3,3,62,52,7,5,2,2,403,290,1,-,4,1,-,-,-,-,-,-,-,-,10,6,381,61,134,96,34,56,-,"1,646",369,264,188,6,504,3,5,1,9,283,14,747,"6,676","3,072"
本田,520,398,3,3,79,70,14,14,3,2,385,299,-,-,4,3,-,-,-,-,-,-,-,-,32,7,444,60,139,126,57,62,-,"1,730",494,224,148,7,536,6,23,-,9,249,34,951,"6,985","3,756"
金町,316,234,2,2,27,19,5,4,2,1,263,200,-,-,5,-,3,3,-,-,-,-,-,-,9,5,236,42,78,60,19,37,-,1008,171,143,201,4,318,1,10,-,-,155,5,565,"4,024","2,242"
江戸川,359,263,2,2,55,55,8,6,3,2,269,181,-,-,1,-,1,1,-,-,-,-,-,-,20,16,268,49,91,71,20,37,-,"1,190",273,177,145,2,371,2,8,-,15,189,8,707,"4,908","2,896"
葛西,307,211,1,1,60,49,6,2,1,-,218,147,1,1,5,3,2,2,-,-,-,-,-,-,13,6,230,38,62,65,30,35,1,"1,077",297,161,74,2,319,6,9,-,12,178,19,529,"4,409","2,168"
小岩,295,210,1,1,24,22,6,1,2,2,251,179,-,-,4,1,1,1,-,-,-,-,-,-,6,3,215,35,83,47,23,27,-,980,300,148,40,2,295,2,9,-,-,180,4,534,"4,019","2,197"
受託地区,"7,225",5437,30,30,"1,061",918,45,37,25,14,"5,519",4063,-,-,92,54,27,24,2,1,151,133,-,-,273,163,"5,763",922,"1,951","1,738",518,634,77,"21,994","7,374","1,205","1,185",45,"7,612",10,40,42,-,"3,894",587,"12,293","87,496","49,758"
立川,512,404,-,-,64,58,-,-,1,1,422,328,-,-,8,5,1,1,-,-,-,-,-,-,16,11,413,76,125,121,30,61,-,"1,458",558,86,8,-,528,-,-,-,-,267,11,874,"5,970","3,556"
武蔵野,209,150,-,-,14,13,-,-,-,-,183,128,-,-,2,1,1,1,-,-,-,-,-,-,9,7,164,18,54,50,21,21,-,622,185,47,48,1,205,-,-,-,-,133,3,313,"2,574","1,345"
三鷹,286,226,1,1,32,30,-,-,-,-,239,183,-,-,2,1,1,1,-,-,-,-,-,-,11,10,243,35,77,70,32,29,-,777,304,32,11,1,293,-,1,-,-,132,3,457,"3,011","1,807"
府中,353,265,4,4,68,59,-,-,-,-,259,194,-,-,6,1,1,1,-,-,-,-,-,-,15,6,277,55,89,100,12,21,-,"1,061",338,61,105,6,363,-,2,1,-,175,10,629,"4,136","2,424"
昭島,201,155,1,1,34,29,3,2,1,1,148,115,-,-,6,2,-,-,1,-,-,-,-,-,7,5,171,22,57,57,14,21,-,614,236,40,1,1,209,-,1,-,-,116,10,375,"2,552","1,540"
調布,382,284,3,3,70,62,3,3,-,-,289,204,-,-,3,2,2,2,-,-,-,-,-,-,12,8,325,58,102,99,30,36,1,"1,136",337,69,124,4,399,-,5,1,-,189,8,636,"4,486","2,482"
小金井,163,110,1,1,12,11,-,-,-,-,144,95,-,-,1,1,2,2,-,-,-,-,-,-,3,-,122,23,49,28,10,12,-,459,184,21,-,1,167,-,-,-,-,80,6,233,"1,806",944
小平,334,276,3,3,26,21,1,1,1,-,287,241,-,-,6,4,2,2,-,-,-,-,-,-,8,4,254,42,123,61,7,21,-,962,389,48,1,3,346,-,-,-,-,163,12,624,"3,757","2,469"
東村山,307,249,1,1,20,14,1,-,1,1,271,224,-,-,5,4,1,1,-,-,-,-,-,-,7,4,251,45,85,53,27,41,-,877,348,42,1,2,310,-,1,-,-,168,5,524,"3,589","2,205"
国分寺,171,120,1,1,14,9,1,1,-,-,149,106,-,-,2,1,-,-,-,-,-,-,-,-,4,2,119,23,37,30,11,18,2,519,202,32,-,1,176,-,-,-,-,102,6,257,"2,051",1013
狛江,121,91,-,-,6,6,3,1,-,-,108,81,-,-,2,2,-,-,-,-,-,-,-,-,2,1,86,17,31,23,6,9,-,335,133,11,2,-,120,1,3,1,-,62,2,206,"1,346",835
北多摩西部,316,255,2,2,34,30,-,-,4,1,262,214,-,-,4,2,1,1,-,-,-,-,-,-,9,5,240,46,99,52,22,21,-,937,305,60,61,3,329,-,-,-,-,168,11,565,"3,841","2,292"
清瀬,154,108,-,-,14,10,2,1,-,-,131,94,-,-,2,1,1,1,-,-,-,-,-,-,4,1,81,17,27,26,4,7,-,478,172,29,2,-,156,1,2,-,-,112,4,265,"1,946",1107
東久留米,199,147,1,1,10,8,1,1,-,-,182,134,-,-,-,-,2,1,-,-,-,-,-,-,3,2,149,26,63,24,13,23,1,596,221,39,-,1,205,-,-,-,-,129,1,343,"2,423","1,431"
西東京,378,271,-,-,33,28,-,-,2,1,339,240,-,-,1,1,-,-,-,-,-,-,-,-,3,1,282,50,122,51,30,29,-,1016,406,56,-,-,386,-,-,-,-,164,4,484,"4,090","2,073"
八王子,"1,071",795,6,6,205,175,5,5,4,2,707,493,-,-,11,8,7,6,1,1,79,75,-,-,46,24,891,117,314,270,94,96,65,"3,450","1,201",190,136,11,"1,171",1,1,8,-,557,174,"1,807","13,433","7,356"
青梅,235,183,-,-,45,37,10,9,1,1,138,101,-,-,5,3,1,1,-,-,23,21,-,-,12,10,196,32,62,78,16,8,-,859,204,51,116,1,256,1,7,2,-,140,81,577,"3,327","2,181"
町田,699,505,2,2,95,80,3,3,3,2,563,396,-,-,4,1,3,3,-,-,1,1,-,-,25,17,537,91,160,167,53,66,-,"2,025",581,110,205,2,722,-,-,1,-,380,24,957,"8,030","4,006"
日野,275,192,2,2,42,35,-,-,2,1,212,142,-,-,3,2,-,-,-,-,-,-,-,-,14,10,205,32,69,59,18,27,1,828,224,42,98,3,294,-,-,-,-,157,10,458,"3,232","1,768"
福生,281,217,1,1,74,65,2,1,2,-,193,145,-,-,2,2,-,-,-,-,-,-,-,-,7,3,268,29,88,126,13,12,6,827,228,32,93,1,315,-,-,-,-,153,5,500,"3,327","2,028"
多摩,266,200,1,1,47,42,-,-,-,-,196,145,-,-,7,2,1,-,-,-,-,-,-,-,14,10,212,25,57,60,37,33,1,823,148,70,148,2,273,-,-,-,-,176,6,445,"3,376","1,931"
秋川,205,150,-,-,60,55,4,3,3,3,84,55,-,-,6,4,-,-,-,-,21,16,-,-,27,14,182,31,40,94,6,11,-,777,293,31,7,1,235,1,4,12,-,120,73,451,"3,113","1,797"
奥多摩,107,84,-,-,42,41,6,6,-,-,13,5,-,-,4,4,-,-,-,-,27,20,-,-,15,8,95,12,21,39,12,11,-,558,177,6,18,-,154,5,13,16,-,51,118,313,"2,080","1,168"
