年,2016,2017,2018,2019,2020,全国（2019 )
出場件数(件),777382,785184,818062,825929,720965,6639767
1日平均件数(件),2124,2151,2241,2263,1970,18191
出場頻度(秒),41,40,39,38,44,4.7
