消防署,火災件数・計,火災件数・建物・小計,火災件数・建物・全焼,火災件数・建物・半焼,火災件数・建物・部分焼,火災件数・建物・ぼや,火災件数・林野,火災件数・車両,火災件数・船舶,火災件数・航空機,火災件数・その他,火災件数・治外法権,"火災件数・管外からの延焼火災",り災世帯数・計,り災世帯数・全損,り災世帯数・半損,り災世帯数・小損,り災人員,焼損棟数・計,焼損棟数・全焼,焼損棟数・半焼,焼損棟数・部分焼,焼損棟数・ぼや,焼損床面積(㎡),林野焼損面積(ａ)
平成28年,"3,982","2,766",75,89,421,"2,181",1,275,3,1,934,2,-,"2,133",137,146,"1,850","4,123","3,107",100,102,521,"2,384","17,529",1
平成29年,"4,205","2,837",84,77,474,"2,202",3,216,-,-,"1,148",1,-,"2,486",208,219,"2,059","4,884","3,266",115,94,614,"2,443","20,719",32
平成30年,"3,973","2,696",64,87,447,"2,098",2,225,3,-,"1,046",1,-,"2,200",174,169,"1,857","4,239","2,999",84,102,539,"2,274","18,604",420
令和元年,"4,089","2,904",81,83,455,"2,285",5,206,1,-,969,3,1,"2,335",203,171,"1,961","4,395","3,284",107,100,583,"2,494","18,295",782
令和2年,"3,694","2,667",63,73,404,"2,127",1,216,-,-,809,1,-,"2,239",160,127,"1,952","4,270","3,028",73,85,518,"2,352","16,136",14
特別区,"2,737","2,061",30,53,316,"1,662",-,129,-,-,546,1,-,"1,664",103,89,"1,472","3,114","2,306",33,60,400,"1,813","10,514",-
丸の内,26,20,-,-,-,20,-,1,-,-,5,-,-,-,-,-,-,-,20,-,-,-,20,-,-
麹町,29,22,-,-,2,20,-,1,-,-,6,-,-,1,-,1,-,1,22,-,-,2,20,16,-
神田,28,19,-,-,1,18,-,-,-,-,9,-,-,6,-,-,6,6,20,-,-,2,18,-,-
京橋,42,32,-,-,4,28,-,1,-,-,9,-,-,9,-,-,9,19,33,-,-,4,29,1,-
日本橋,45,36,-,-,4,32,-,2,-,-,7,-,-,8,1,-,7,11,37,-,-,4,33,31,-
臨港,24,21,-,-,-,21,-,1,-,-,2,-,-,11,-,-,11,20,21,-,-,-,21,-,-
芝,73,59,-,-,7,52,-,2,-,-,12,-,-,18,2,2,14,45,60,-,-,7,53,2893,-
麻布,45,34,-,1,5,28,-,3,-,-,7,1,-,20,-,1,19,43,37,-,1,8,28,105,-
赤坂,33,28,-,-,3,25,-,-,-,-,5,-,-,12,-,1,11,31,28,-,-,3,25,7,-
高輪,31,20,-,-,1,19,-,2,-,-,9,-,-,10,-,-,10,20,20,-,-,1,19,-,-
品川,45,40,-,2,2,36,-,-,-,-,5,-,-,21,-,1,20,33,40,-,2,2,36,100,-
大井,39,21,-,1,3,17,-,6,-,-,12,-,-,18,-,1,17,38,24,-,1,3,20,88,-
荏原,39,31,-,1,8,22,-,2,-,-,6,-,-,25,1,2,22,58,35,-,1,10,24,107,-
大森,55,43,1,2,6,34,-,2,-,-,10,-,-,30,2,1,27,64,49,1,2,9,37,230,-
田園調布,37,29,1,2,4,22,-,-,-,-,8,-,-,28,2,4,22,56,37,1,3,7,26,243,-
蒲田,36,28,-,1,4,23,-,3,-,-,5,-,-,12,-,1,11,34,31,-,1,4,26,50,-
矢口,40,23,-,1,3,19,-,4,-,-,13,-,-,20,4,-,16,35,29,-,1,5,23,66,-
目黒,46,39,1,-,5,33,-,1,-,-,6,-,-,37,4,-,33,73,43,1,-,5,37,127,-
世田谷,82,66,-,2,10,54,-,3,-,-,13,-,-,63,3,2,58,109,73,-,2,12,59,201,-
玉川,36,25,-,1,3,21,-,1,-,-,10,-,-,22,-,4,18,44,29,-,1,4,24,188,-
成城,51,35,4,2,5,24,-,1,-,-,15,-,-,29,3,1,25,64,44,5,2,7,30,296,-
渋谷,147,112,1,2,8,101,-,6,-,-,29,-,-,62,6,1,55,111,122,1,2,9,110,289,-
四谷,24,19,-,-,3,16,-,-,-,-,5,-,-,7,-,-,7,12,19,-,-,3,16,42,-
牛込,27,22,-,-,5,17,-,-,-,-,5,-,-,26,-,-,26,42,23,-,-,5,18,28,-
新宿,129,108,2,1,17,88,-,5,-,-,16,-,-,49,1,3,45,89,116,2,2,20,92,266,-
中野,46,38,-,2,11,25,-,2,-,-,6,-,-,37,2,2,33,57,42,-,2,14,26,144,-
野方,46,38,1,-,7,30,-,1,-,-,7,-,-,37,2,5,30,53,41,1,-,7,33,107,-
杉並,75,59,2,4,11,42,-,4,-,-,12,-,-,64,5,3,56,106,74,2,5,14,53,439,-
荻窪,41,31,1,2,8,20,-,2,-,-,8,-,-,34,1,1,32,61,37,2,2,10,23,259,-
小石川,36,31,-,-,6,25,-,1,-,-,4,-,-,33,1,1,31,56,33,-,-,6,27,88,-
本郷,20,13,-,1,2,10,-,2,-,-,5,-,-,13,1,2,10,26,14,-,1,3,10,81,-
豊島,74,59,2,2,8,47,-,4,-,-,11,-,-,52,2,2,48,91,79,2,1,24,52,541,-
池袋,57,40,-,2,6,32,-,3,-,-,14,-,-,25,-,2,23,45,43,-,2,6,35,145,-
王子,33,20,1,-,3,16,-,2,-,-,11,-,-,22,14,1,7,27,21,1,-,4,16,227,-
赤羽,36,25,2,-,9,14,-,3,-,-,8,-,-,21,3,2,16,29,32,2,1,11,18,156,-
滝野川,22,13,-,1,2,10,-,1,-,-,8,-,-,18,-,2,16,30,18,-,2,4,12,75,-
板橋,38,33,1,2,7,23,-,1,-,-,4,-,-,39,2,3,34,90,43,1,2,12,28,156,-
志村,85,63,-,3,8,52,-,2,-,-,20,-,-,58,1,4,53,99,72,-,3,12,57,279,-
練馬,36,27,1,-,4,22,-,5,-,-,4,-,-,31,2,-,29,66,33,2,-,5,26,146,-
光が丘,30,24,1,-,4,19,-,2,-,-,4,-,-,33,2,1,30,57,32,1,1,4,26,95,-
石神井,67,48,1,2,8,37,-,5,-,-,14,-,-,66,1,7,58,122,58,1,2,12,43,274,-
上野,28,18,-,-,2,16,-,1,-,-,9,-,-,7,-,-,7,10,18,-,-,2,16,25,-
浅草,18,11,-,1,1,9,-,3,-,-,4,-,-,11,-,1,10,14,15,-,1,2,12,89,-
日本堤,22,17,1,-,6,10,-,1,-,-,4,-,-,19,1,-,18,40,22,1,-,7,14,124,-
荒川,36,32,-,-,3,29,-,1,-,-,3,-,-,20,-,-,20,35,32,-,-,3,29,5,-
尾久,24,15,-,-,5,10,-,-,-,-,9,-,-,10,1,2,7,15,19,-,-,7,12,41,-
千住,22,19,2,-,2,15,-,-,-,-,3,-,-,24,3,-,21,43,25,2,-,4,19,102,-
足立,93,63,-,1,12,50,-,7,-,-,23,-,-,58,1,3,54,113,64,-,1,12,51,94,-
西新井,68,40,1,1,6,32,-,8,-,-,20,-,-,39,1,2,36,94,49,1,2,10,36,185,-
本所,48,42,-,-,12,30,-,2,-,-,4,-,-,40,2,2,36,65,44,-,-,14,30,151,-
向島,29,16,-,2,3,11,-,2,-,-,11,-,-,16,2,1,13,21,16,-,2,3,11,91,-
深川,81,68,2,1,8,57,-,2,-,-,11,-,-,57,10,4,43,116,74,2,2,8,62,371,-
城東,67,51,-,-,10,41,-,2,-,-,14,-,-,39,1,2,36,75,52,-,-,10,42,93,-
本田,70,47,-,2,10,35,-,4,-,-,19,-,-,44,2,2,40,90,49,-,2,11,36,152,-
金町,47,38,-,2,4,32,-,1,-,-,8,-,-,48,4,2,42,90,44,-,2,7,35,103,-
江戸川,41,29,-,1,3,25,-,1,-,-,11,-,-,31,2,1,28,68,30,-,1,3,26,73,-
葛西,49,28,-,-,6,22,-,6,-,-,15,-,-,37,2,2,33,82,31,-,-,6,25,83,-
小岩,43,33,1,2,6,24,-,1,-,-,9,-,-,37,3,1,33,70,38,1,2,7,28,146,-
受託地区,957,606,33,20,88,465,1,87,-,-,263,-,-,575,57,38,480,"1,156",722,40,25,118,539,"5,622",14
立川,70,40,-,1,1,38,-,4,-,-,26,-,-,21,-,-,21,43,40,-,1,1,38,542,-
武蔵野,32,23,1,1,1,20,-,3,-,-,6,-,-,19,3,1,15,29,26,1,1,2,22,302,-
三鷹,53,40,2,1,4,33,-,3,-,-,10,-,-,44,5,-,39,61,45,2,1,7,35,149,-
府中,39,27,2,1,6,18,-,-,-,-,12,-,-,29,4,7,18,64,34,2,1,8,23,373,-
昭島,23,16,1,-,-,15,-,3,-,-,4,-,-,13,1,-,12,37,18,1,-,-,17,85,-
調布,53,41,2,-,5,34,-,6,-,-,6,-,-,40,4,-,36,84,49,2,-,7,40,126,-
小金井,24,20,3,1,1,15,-,1,-,-,3,-,-,26,3,1,22,60,31,3,2,4,22,340,-
小平,40,25,-,1,5,19,-,8,-,-,7,-,-,22,3,1,18,53,26,-,1,5,20,90,-
東村山,35,25,-,3,5,17,-,3,-,-,7,-,-,32,5,3,24,69,30,-,3,7,20,193,-
国分寺,20,16,-,-,5,11,-,1,-,-,3,-,-,14,-,2,12,27,17,-,-,5,12,33,-
狛江,7,6,-,-,1,5,-,-,-,-,1,-,-,3,-,-,3,5,6,-,-,1,5,-,-
北多摩西部,30,19,-,1,7,11,-,2,-,-,9,-,-,23,3,4,16,38,19,-,1,7,11,101,-
清瀬,17,13,-,1,2,10,-,-,-,-,4,-,-,13,-,1,12,22,13,-,1,2,10,65,-
東久留米,23,12,-,1,-,11,-,1,-,-,10,-,-,7,-,1,6,18,13,-,1,1,11,30,-
西東京,48,31,-,2,1,28,-,3,-,-,14,-,-,31,2,2,27,75,39,-,2,3,34,73,-
八王子,147,84,9,2,15,58,-,25,-,-,38,-,-,72,10,5,57,120,113,13,4,21,75,"1,597",-
青梅,36,20,-,1,3,16,-,4,-,-,12,-,-,14,-,1,13,44,23,-,1,4,18,132,-
町田,103,59,3,2,10,44,-,7,-,-,37,-,-,48,4,2,42,113,65,4,2,10,49,460,-
日野,31,21,-,-,3,18,-,4,-,-,6,-,-,21,-,-,21,42,24,-,-,3,21,38,-
福生,43,27,4,-,7,16,-,3,-,-,13,-,-,35,6,4,25,67,33,5,2,7,19,466,-
多摩,38,24,1,-,3,20,-,2,-,-,12,-,-,30,2,-,28,47,24,1,-,3,20,48,-
秋川,40,15,4,1,2,8,1,3,-,-,21,-,-,17,1,3,13,37,31,5,1,9,16,302,14
奥多摩,5,2,1,-,1,-,-,1,-,-,2,-,-,1,1,-,-,1,3,1,-,1,1,77,-
