月別,計・回数,計・聴衆数,本庁行事・回数,本庁行事・聴衆数,消防署行事・回数,消防署行事・聴衆数,東京都関係・回数,東京都関係・聴衆数,官公庁行事・回数,官公庁行事・聴衆数,学校関係・回数,学校関係・聴衆数,一般・回数,一般・聴衆数
平成28年,257,"469,185",78,"29,965",38,"11,540",35,"39,430",35,"33,750",5,"3,050",66,"351,450"
平成29年,276,"389,290",76,"35,040",64,"40,600",33,"40,450",36,"93,900",2,"1,500",65,"177,800"
平成30年,330,"504,155",78,"39,550",70,"22,900",35,"63,500",59,"60,520",4,"1,600",84,"316,085"
令和元年,288,"260,430",74,"43,690",57,"14,650",30,"44,450",57,"39,090",3,"1,500",67,"117,050"
令和2年,36,"26,270",20,"20,420",8,"2,800",-,-,8,"3,050",-,-,-,-
1月,10,"18,970",7,"17,670",-,-,-,-,3,"1,300",-,-,-,-
2月,3,"3,200",1,"2,000",1,100,-,-,1,1100,-,-,-,-
3月,1,150,1,150,-,-,-,-,-,-,-,-,-,-
4月,-,,-,-,-,-,-,-,-,-,-,-,-,-
5月,-,,-,-,-,-,-,-,-,-,-,-,-,-
6月,-,,-,-,-,-,-,-,-,-,-,-,-,-
7月,1,50,1,50,-,-,-,-,-,-,-,-,-,-
8月,1,50,1,50,-,-,-,-,-,-,-,-,-,-
9月,5,"1,950",3,250,1,"1,500",-,-,1,200,-,-,-,-
10月,6,450,3,200,2,200,-,-,1,50,-,-,-,-
11月,6,"1,400",-,-,4,"1,000",-,-,2,400,-,-,-,-
12月,3,50,3,50,-,-,-,-,-,-,-,-,-,-
