"産業大分類","産業大分類 名称","総数 会社企業数","総数 従業者数[人]","資本金階級 300万円未満 会社企業数","資本金階級 300万円未満 従業者数[人]","資本金階級 300万～500万円未満 会社企業数","資本金階級 300万～500万円未満 従業者数[人]","資本金階級 500万～1000万円未満 会社企業数","資本金階級 500万～1000万円未満 従業者数[人]","資本金階級 1000万～3000万円未満 会社企業数","資本金階級 1000万～3000万円未満 従業者数[人]","資本金階級 3000万～5000万円未満 会社企業数","資本金階級 3000万～5000万円未満 従業者数[人]","資本金階級 5000万～1億円未満 会社企業数","資本金階級 5000万～1億円未満 従業者数[人]","資本金階級 1億円～3億円未満 会社企業数","資本金階級 1億円～3億円未満 従業者数[人]","資本金階級 3億円～10億円未満 会社企業数","資本金階級 3億円～10億円未満 従業者数[人]","資本金階級 10億円～50億円未満 会社企業数","資本金階級 10億円～50億円未満 従業者数[人]","資本金階級 50億円以上 会社企業数","資本金階級 50億円以上 従業者数[人]"
"A","農業，林業","15","184","1","1","2","6","2","11","3","56","2","23","2","18","-","-","-","-","-","-","-","-"
"B","漁業","2","13","-","-","-","-","-","-","-","-","-","-","-","-","1","11","-","-","-","-","-","-"
"C","鉱業，採石業，砂利採取業","40","1743","1","10","-","-","-","-","3","2","-","-","-","-","2","8","5","50","12","19","16","1652"
"D","建設業","634","109388","8","35","78","307","21","113","288","3572","50","1640","55","6436","42","13432","28","12505","16","11725","17","58512"
"E","製造業","1144","444669","21","212","154","679","41","260","363","11586","84","28373","99","14435","91","26125","70","18344","60","30051","85","310608"
"F","電気・ガス・熱供給・水道業","36","10765","1","1","1","34","-","-","3","4","1","6","1","7","8","373","9","203","4","408","4","9667"
"G","情報通信業","2422","215856","116","899","275","1688","121","1002","1027","20288","193","7217","184","14302","162","25038","121","37536","63","43135","28","60897"
"H","運輸業，郵便業","477","103929","7","20","22","128","18","347","167","6014","51","2552","65","9810","48","6975","32","6077","22","11189","10","59412"
"I","卸売業，小売業","4151","295319","137","1558","617","3588","236","2646","1615","31809","327","13931","384","26580","231","64627","153","42517","70","32263","38","67862"
"J","金融業，保険業","564","74886","29","147","51","144","32","207","135","1063","22","416","59","1490","62","2433","67","4206","35","3537","42","60701"
"K","不動産業，物品賃貸業","2172","59976","71","192","425","1222","140","529","988","6527","112","1075","141","4241","106","7251","32","7096","35","17213","17","13343"
"L","学術研究，専門・技術サービス業","2485","71500","187","791","437","1617","170","984","1058","11174","127","3596","150","11267","97","7420","62","11854","24","2714","38","18310"
"M","宿泊業，飲食サービス業","2003","257038","121","1229","605","5917","201","2068","470","56566","59","12018","45","5438","39","32273","14","50445","10","42471","1","37268"
"N","生活関連サービス業，娯楽業","1111","60333","58","400","239","1823","95","659","348","8020","57","2795","75","8572","31","16534","11","5036","7","10656","-","-"
"O","教育，学習支援業","256","11124","20","96","50","454","25","429","90","2690","6","148","9","1668","11","3383","3","974","1","190","-","-"
"P","医療，福祉","238","24892","14","171","53","459","25","563","47","4092","5","383","11","4770","6","2808","5","172","-","-","2","9772"
"Q","複合サービス事業","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"R","サービス業（他に分類されないもの）","1169","275429","48","498","136","1422","63","1051","478","23145","108","41956","107","36777","80","59539","32","12200","6","8269","9","85005"

"企業産業(大分類)、資本金階級(10区分)別会社企業数及び企業従業者数","Ver201801","資料：平成26年経済センサス-基礎調査報告(東京都総務局)を加工して作成。","注:資本金額が不詳の企業が含まれるため、各資本金階級の合計が総数に一致しない場合がある。",,,,,,,,,,,,,,,,,,,,
