"選挙名称","時現在","投票者数[人]","投票率[%]"
"平成27年4月26日執行　港区議会議員選挙","8時現在",849,0.46
"平成27年4月26日執行　港区議会議員選挙","9時現在",2563,1.40
"平成27年4月26日執行　港区議会議員選挙","10時現在",5489,3.00
"平成27年4月26日執行　港区議会議員選挙","11時現在",10239,5.59
"平成27年4月26日執行　港区議会議員選挙","12時現在",15586,8.51
"平成27年4月26日執行　港区議会議員選挙","13時現在",20268,11.07
"平成27年4月26日執行　港区議会議員選挙","14時現在",24701,13.49
"平成27年4月26日執行　港区議会議員選挙","15時現在",28973,15.83
"平成27年4月26日執行　港区議会議員選挙","16時現在",33185,18.13
"平成27年4月26日執行　港区議会議員選挙","17時現在",37366,20.41
"平成27年4月26日執行　港区議会議員選挙","18時現在",42209,23.06
"平成27年4月26日執行　港区議会議員選挙","19時現在",46807,25.57
"平成27年4月26日執行　港区議会議員選挙","20時終了",65951,36.02

"平成27年4月26日執行 港区議会議員選挙投票状況速報","Ver201504",,
