施設名,平成29年度,平成30年度,平成31年度,平成32年度
東京体育館,実施設計,改修工事,改修工事,
東京武道館,改修工事（電気）,,,
東京辰巳国際水泳場,実施設計,改修工事,改修工事,
有明テニスの森公園テニス施設,改修工事,改修工事,改修工事,
若洲海浜公園ヨット訓練所,改修整備計画,基本設計,実施設計,改修工事
東京都障害者総合スポーツセンター,改修工事,改修工事,,
東京都多摩障害者スポーツセンター,実施設計、改修工事,改修工事,改修工事,
武蔵野の森総合スポーツプラザ,,実施設計,改修工事,改修工事
東京スタジアム,実施設計,改修工事,改修工事,改修工事
