施設,稼働率(%)
東京体育館（メインアリーナ）,99.7
東京体育館（サブアリーナ）,99.1
駒沢オリンピック公園総合運動場（陸上競技場）,59.4
駒沢オリンピック公園総合運動場（体育館）,98.2
駒沢オリンピック公園総合運動場（第二球技場）,97.7
駒沢オリンピック公園総合運動場（補助競技場）,97.8
東京武道館（大武道場）,87.3
東京辰巳国際水泳場（メインプール）,95.2
東京辰巳国際水泳場（ダイビングプール）,64.2
東京辰巳国際水泳場（サブプール）,91.7
有明テニスの森公園テニス施設（コロシアム）,60.1
有明テニスの森公園テニス施設（屋外コート）,54.0
