年,全世帯に占める単独世帯の割合(%),その他の世帯（万世帯）,単独世帯（万世帯）,夫婦のみの世帯（万世帯）,夫婦と子供からなる世帯（万世帯）,世帯数合計（万世帯）
2015,47.2,83,316,113,156,669
2020（予測）,-,87,331,118,155,691
2025（予測）,-,89,339,121,154,703
2030（予測）,-,91,343,123,152,708
2035（予測）,-,91,346,123,149,708
2040（予測）,-,89,339,126,145,699
2045（予測）,-,88,332,127,141,687
2050（予測）,-,87,323,125,136,671
2055（予測）,-,84,313,121,130,648
2060（予測）,48.4,82,300,115,124,620
