平成(年）,スポーツ実施率／東京都(%),スポーツ実施率／全国(%)
18,-,44.4
19,39.2,-
20,-,-
21,43.4,45.3
22,-,-
23,49.3,-
24,53.9,47.5
25,-,-
26,60.5,-
27,-,40.4
28,56.3,42.5
