施設名,利用時間
東京体育館（トレーニングルーム・屋内プール・陸上競技場）,平日9：00～23：00（陸上競技場は最終入場時間22：00）／土曜9：00～22：00（陸上競技場は最終入場時間21：00）／日祝9：00～21：00（陸上競技場は最終入場時間20：00）
駒沢オリンピック公園総合運動場（トレーニングルーム・弓道場）,（トレーニングルーム）平日9：00～21：30（最終入場時間20：30）／土日・祝日7：30～21：00（最終入場時間20：00）／（弓道場）平日・土日・祝日9：00～21：00（最終入場時間20：30）
東京辰巳国際水泳場（メインプール・サブプール・ダイビングプール）,平日・土9：00～22：30（開場時間は8：45、最終入場時間21：00）／日祝9：00～21：30（開場時間は8：45、最終入場時間20：00）
有明テニスの森公園テニス施設（テニスコート）,平日・土日・祝日9：00～21：00／*早朝テニス7：00～9：00（4月～10月）
