開催年（年）,イベント
平成30（2018）,第18回アジアジュニア陸上競技選手権（６月、岐阜県）／ＦＩＮＡ水球ワールドリーグスーパーファイナル（男子）（６～７月、東京都）／ＦＩＳＵ世界大学空手道選手権（７月、兵庫県）／ソフトボール女子世界選手権（７～８月、千葉県）／パンパシフィック水泳選手権（８月、東京都）／ＩＰＣパワーリフティングアジアオープン選手権大会（９月、福岡県）／バレーボール女子世界選手権（９～10月・全国６都市）
平成31（2019）,世界フィギュアスケート選手権（３月、埼玉県）／世界ジュニアボート選手権（８月、東京都）／柔道世界選手権（８月、東京都）／ラグビーワールドカップ2019（９～11月、東京都ほか全国12都市）／ウィルチェアーラグビーワールドチャレンジ2019（10月、東京都）／ＴＡＦＩＳＡワールドコングレス2019（11月、東京都）／女子ハンドボール世界選手権（12月、熊本県）／ＦＩＶＢバレーボールワールドカップ2019（開催時期・開催場所未定）
平成32（2020）,東京オリンピック・パラリンピック競技大会（７～９月、東京都ほか）
平成33（2021）,ワールドマスターズゲームズ2021関西（５月、関西地域）／世界水泳選手権2021（７～８月予定、福岡県）
平成35（2023）,ＦＩＢＡバスケットボールワールドカップ2023（９月予定、沖縄県ほか）
平成38（2026）,第20回アジア競技大会（開催時期未定・愛知県）
