活動内容,割合（N=4390）(%)
活動はしていない,45.9 
趣味・学習・スポーツ活動,36.4 
自治会、町内会、老人クラブ、ＮＰＯ団体などの役員・事務局活動,15.2 
地域行事（地域の催し物の運営、祭りの世話役など）を支援する活動,12.7 
環境保全、環境美化、リサイクルなどの活動,7.8 
防犯や災害時の救援・支援をする活動,6.2 
地域の伝統や文化を伝える活動,3.9 
一人暮らしなど見守りが必要な高齢者を支援する活動,3.0 
介護が必要な高齢者を支援する活動,2.5 
青少年の健やかな成長・非行防止のための活動,2.1 
障害のある人を支援する活動,1.9 
子育てを支援する活動,1.6 
外国人を支援する活動,0.7 
その他,0.9 
無回答,7.7 
