名称,内容
名誉都民顕彰,社会文化の隆盛に功績があった方に対して、その功績を称え、都民敬愛の対象として顕彰しています。
東京都栄誉賞,特に顕著な業績により、広く都民に敬愛され、社会に明るい夢と希望と活力を与え、東京都の名を高めた方に対して、その栄誉を称え贈呈しています。
都民スポーツ大賞,世界的なスポーツ大会において優秀な成績を収めた東京のトップアスリートの功績を称え顕彰しています。
東京スポーツ奨励賞,世界のトップレベルでの活躍が期待されるユース選手など、世界的なスポーツ大会において優秀な成績を収めた東京のアスリートの功績を称え、更なる活躍を奨励し贈呈しています。
体育の日表彰,社会体育の普及・発展に著しい功績のあった方を「スポーツ振興功労者」、「スポーツ振興功労団体」として表彰しています。
