区分,総数／平成23年（時間．分）,総数／平成28年（時間．分）,総数／増減（時間．分）,男／平成23年（時間．分）,男／平成28年（時間．分）,男／増減（時間．分）,女／平成23年（時間．分）,女／平成28年（時間．分）,女／増減（時間．分）
１次活動,10.4,10.41,0.01,10.33,10.34,0.01,10.46,10.49,0.03
１次活動／睡眠,7.42,7.4,-0.02,7.49,7.45,-0.04,7.36,7.35,-0.01
１次活動／身の回りの用事,1.19,1.22,0.03,1.09,1.11,0.02,1.29,1.31,0.02
１次活動／食事,1.39,1.4,0.01,1.36,1.38,0.02,1.42,1.43,0.01
２次活動,6.53,6.57,0.04,6.49,6.5,0.01,6.57,7.03,0.06
２次活動／仕事等,4.43,4.49,0.06,6.08,6.08,0,3.23,3.35,0.12
２次活動／通勤・通学,0.31,0.34,0.03,0.4,0.43,0.03,0.23,0.25,0.02
２次活動／仕事,3.33,3.33,0,4.46,4.41,-0.05,2.23,2.29,0.06
２次活動／学業,0.39,0.42,0.03,0.42,0.44,0.02,0.37,0.41,0.04
２次活動／家事関連,2.1,2.08,-0.02,0.42,0.44,0.02,3.35,3.28,-0.07
２次活動／家事,1.27,1.23,-0.04,0.18,0.19,0.01,2.32,2.24,-0.08
２次活動／介護・看護,0.03,0.04,0.01,0.02,0.02,0,0.05,0.06,0.01
２次活動／育児,0.14,0.15,0.01,0.05,0.06,0.01,0.23,0.24,0.01
２次活動／買い物,0.26,0.26,0,0.17,0.17,0,0.35,0.34,-0.01
３次活動,6.27,6.22,-0.05,6.38,6.36,-0.02,6.16,6.09,-0.07
３次活動／移動（通勤・通学を除く）,0.3,0.29,-0.01,0.29,0.28,-0.01,0.3,0.3,0
３次活動／テレビ・ラジオ・新聞・雑誌,2.27,2.15,-0.12,2.31,2.19,-0.12,2.24,2.11,-0.13
３次活動／休養・くつろぎ,1.31,1.37,0.06,1.31,1.37,0.06,1.31,1.36,0.05
３次活動／学習・自己啓発・訓練（学業以外）,0.12,0.13,0.01,0.13,0.13,0,0.12,0.12,0
３次活動／趣味・娯楽,0.44,0.47,0.03,0.53,0.57,0.04,0.37,0.37,0
３次活動／スポーツ,0.14,0.14,0,0.18,0.18,0,0.11,0.1,-0.01
３次活動／ボランティア活動・社会参加活動,0.04,0.04,0,0.04,0.04,0,0.04,0.04,0
３次活動／交際・付き合い,0.19,0.17,-0.02,0.18,0.15,-0.03,0.2,0.19,-0.01
３次活動／受診・療養,0.08,0.08,0,0.07,0.07,0,0.1,0.09,-0.01
３次活動／その他,0.17,0.19,0.02,0.15,0.17,0.02,0.18,0.2,0.02
