施設名,主な施設
東京アクアティクスセンター（江東区）,メインプール（50m）、サブプール（50m）、ダイビングプール
海の森水上競技場（江東区）,競技コース（2000m）
有明アリーナ（江東区）,メインアリーナ、サブアリーナ
カヌー・スラロームセンター（江戸川区）,競技施設
大井ふ頭中央海浜公園ホッケー競技場（品川区、大田区）,メインピッチ、サブピッチ
夢の島公園アーチェリー場（江東区）,多目的広場
,
,
,
,
,
,
,
,
,
,
,
,
,
