区分,割合(n=1584)(%)
孫など家族との団らんの時,48.8
趣味やスポーツに熱中している時,44.7
友人や知人と食事、雑談している時,41.8
旅行に行っている時,38.4
おいしい物を食べている時,37.4
テレビを見たり、ラジオを聞いている時,34.8
夫婦団らんの時,30.2
仕事に打ち込んでいる時,26.5
他人から感謝された時,16.9
社会奉仕や地域活動をしている時,14.0
若い世代と交流している時,13.6
勉強や教養などに身を入れている時,10.4
収入があった時,10.0
その他,3.1
わからない,0.7
