区分,スポーツ実施率／平成２８年度調査(%),スポーツ実施率／平成19年度調査(%)
全年代,56.3,39.2
性別／男性,54.7,34.8
性別／女性,57.8,43.2
年代別／２０歳代,40.9,33.5
年代別／３０歳代,47.3,28.9
年代別／４０歳代,54.0,33.6
年代別／５０歳代,55.9,41.2
年代別／６０歳代,64.4,49.9
年代別／７０歳以上,66.3,46.5
