時期,内容
平成28年12月26日,東京都スポーツ振興審議会（第26期第１回）／○知事が「新たな東京都スポーツ推進計画に関する調査審議について」を東京都スポーツ振興審議会に諮問
平成29年3月30日,"東京都スポーツ振興審議会（第26期第２回）／○「東京都スポーツ推進総合計画（仮称）」の策定に係る調査審議／
・スポーツ実施率向上に向けた世代別のスポーツ振興施策について"
平成29年4月19日,東京都スポーツ振興審議会（第26期第３回）／○「東京都スポーツ推進総合計画（仮称）」の策定に係る調査審議／・スポーツを通じた健康増進／・障害者スポーツ振興について
平成29年5月22日,東京都スポーツ振興審議会（第26期第４回）／○「東京都スポーツ推進総合計画（仮称）」の策定に係る調査審議／・ゴールデン／・スポーツイヤーズを通じたスポーツ成長産業化と社会課題解決／・スポーツ・レクリエーションの振興について／・女性・子供のスポーツ振興を考える
平成29年9月14日,東京都スポーツ振興審議会（第26期第５回）／○「東京都スポーツ推進総合計画（仮称）骨子案」に係る調査審議
平成29年11月7日,東京都スポーツ振興審議会（第26期第６回）／○「東京都スポーツ推進総合計画（仮称）中間まとめ素案」に係る調査審議
平成29年12月19日,東京都スポーツ振興審議会（第26期第７回）／○「東京都スポーツ推進総合計画（仮称）中間まとめ」に係る調査審議／「東京都スポーツ推進総合計画（仮称）中間まとめ」を公表
平成29年12月19日～平成30年1月18日,都民及び関係団体等からの意見募集
平成30年1月29日,東京都スポーツ振興審議会（第26期第８回）／○「東京都スポーツ推進総合計画（仮称）について（東京都スポーツ振興審議会答申案）」に係る調査審議
平成30年2月14日,東京都スポーツ振興審議会（第26期第９回）／○「東京都スポーツ推進総合計画（仮称）について（東京都スポーツ振興審議会答申）」を知事に答申
平成30年3月30日,「東京都スポーツ推進総合計画」を公表
