理由,割合（n=67）（%）
年をとったから,53.7 
体が弱いから,23.9 
仕事や家事・育児が忙しくて時間がないから,14.9 
機会がなかったから,9.0 
スポーツ・運動が好きではないから,6.0 
お金がかかるから,1.5 
その他,20.9 
特に理由はない,9.0 
無回答,1.5 
