区分,割合(N=1999)(%)
健康・スポーツ（体操、歩こう会、ゲートボール等）,44.7
趣味（俳句、詩吟、陶芸等）,26.3
地域行事（祭りなどの地域の催しものの世話等）,19.1
生産・就業（生きがいのための園芸・飼育、シルバー人材センターなど）,15.1
生活環境改善（環境美化、緑化推進、まちづくり等）,12.6
高齢者の支援（家事援助、移送等）,11.0
教育関連・文化啓発活動（学習会、子供会の育成、郷土芸能の伝承等）,8.6
安全管理（交通安全、防犯・防災等）,8.1
子育て支援（保育への手伝い等）,8.0
その他,2.0
活動・参加したいものはない,27.5
