区分,政策指針,具体的な施策展開,関心喚起策,実行促進策,継続支援策
するスポーツ,21スポーツクラスターを核とした地域の活性化,スポーツクラスターの整備と活用（臨海地区）,,○,○
するスポーツ,21スポーツクラスターを核とした地域の活性化,スポーツクラスターの整備と活用（神宮外苑地区）,,○,○
するスポーツ,21スポーツクラスターを核とした地域の活性化,スポーツクラスターの整備と活用（武蔵野の森地区）,,○,○
するスポーツ,21スポーツクラスターを核とした地域の活性化,スポーツクラスターの整備と活用（駒沢地区）,,○,○
するスポーツ,21スポーツクラスターを核とした地域の活性化,都立スポーツ施設等の管理運営,,○,○
するスポーツ,22官民連携によるスポーツ気運の醸成,官民連携による気運醸成,○,○,
するスポーツ,22官民連携によるスポーツ気運の醸成,情報発信を通じた気運醸成,○,,
するスポーツ,22官民連携によるスポーツ気運の醸成,企業等のスポーツイベント支援を呼び込む取組,○,○,
するスポーツ,23東京を活性化させるスポーツイベント等の展開,多くの人が参加可能なスポーツイベントの開催,○,○,
するスポーツ,23東京を活性化させるスポーツイベント等の展開,多摩・島しょの自然等を活用したスポーツの振興,○,○,
するスポーツ,24地域におけるスポーツ活動の推進,地域スポーツの推進,,○,○
みるスポーツ,25スポーツ観戦の魅力発信,大規模スポーツ大会を活用した魅力発信,○,,
みるスポーツ,26アスリートの活躍を通じたスポーツ気運の醸成,才能ある選手の発掘,○,○,
みるスポーツ,26アスリートの活躍を通じたスポーツ気運の醸成,東京育ちのアスリートの競技力向上,,○,○
みるスポーツ,26アスリートの活躍を通じたスポーツ気運の醸成,アスリートの競技力向上のサポート,,,○
みるスポーツ,26アスリートの活躍を通じたスポーツ気運の醸成,優秀な成績を収めた東京のトップアスリートの表彰,,,○
みるスポーツ,27スポーツ施設における観客の満足度向上,都立スポーツ施設等への民間活力の導入,,○,○
みるスポーツ,27スポーツ施設における観客の満足度向上,スポーツ施設のＩＣＴ化への対応,,○,○
みるスポーツ,27スポーツ施設における観客の満足度向上,スポーツ施設のアクセシビリティの向上,,○,○
支えるスポーツ,28スポーツに関する技術開発・市場開拓への支援,スポーツに関する技術開発等への支援,○,○,
支えるスポーツ,28スポーツに関する技術開発・市場開拓への支援,スポーツに関する企業の市場開拓への支援,,○,○
支えるスポーツ,29地域や経済の活性化に寄与した団体等の顕彰,スポーツによる地域・経済の活性化に寄与した団体等の顕彰,,,○
支えるスポーツ,30スポーツを通じた国際交流,スポーツを通じた国際交流の推進,,,○
